Time	AMP.ParticleNumber	CDK5.ParticleNumber	CK1.ParticleNumber	CK1P.ParticleNumber	CK1P_PP2B.ParticleNumber	Ca.ParticleNumber	D.ParticleNumber	D137.ParticleNumber	D137_CDK5.ParticleNumber	D137_PKA.ParticleNumber	D137_PP2C.ParticleNumber	D34.ParticleNumber	D34:137.ParticleNumber	D34:137_CDK5.ParticleNumber	D34:137_PP2B.ParticleNumber	D34:137_PP2C.ParticleNumber	D34:75.ParticleNumber	D34:75:137.ParticleNumber	D34:75:137_PP2A.ParticleNumber	D34:75:137_PP2ACa.ParticleNumber	D34:75:137_PP2AP.ParticleNumber	D34:75:137_PP2APCa.ParticleNumber	D34:75:137_PP2B.ParticleNumber	D34:75:137_PP2C.ParticleNumber	D34:75_CK1.ParticleNumber	D34:75_PP2A.ParticleNumber	D34:75_PP2ACa.ParticleNumber	D34:75_PP2AP.ParticleNumber	D34:75_PP2APCa.ParticleNumber	D34:75_PP2B.ParticleNumber	D34_CDK5.ParticleNumber	D34_CK1.ParticleNumber	D34_PP2B.ParticleNumber	D75.ParticleNumber	D75:137.ParticleNumber	D75:137_PKA.ParticleNumber	D75:137_PP2A.ParticleNumber	D75:137_PP2ACa.ParticleNumber	D75:137_PP2AP.ParticleNumber	D75:137_PP2APCa.ParticleNumber	D75:137_PP2C.ParticleNumber	D75_CK1.ParticleNumber	D75_PKA.ParticleNumber	D75_PP2A.ParticleNumber	D75_PP2ACa.ParticleNumber	D75_PP2AP.ParticleNumber	D75_PP2APCa.ParticleNumber	D_CDK5.ParticleNumber	D_CK1.ParticleNumber	D_PKA.ParticleNumber	Empty.ParticleNumber	PDE.ParticleNumber	PDEP.ParticleNumber	PDE_PKA.ParticleNumber	PKA.ParticleNumber	PP2A.ParticleNumber	PP2ACa.ParticleNumber	PP2ACa_PKA.ParticleNumber	PP2AP.ParticleNumber	PP2APCa.ParticleNumber	PP2A_PKA.ParticleNumber	PP2B.ParticleNumber	PP2Binactive.ParticleNumber	PP2BinactiveCa2.ParticleNumber	PP2C.ParticleNumber	R2C2.ParticleNumber	cAMP.ParticleNumber	cAMP2_R2C2.ParticleNumber	cAMP3_R2C2.ParticleNumber	cAMP4_R2.ParticleNumber	cAMP4_R2C.ParticleNumber	cAMP4_R2C2.ParticleNumber	cAMP_PDE.ParticleNumber	cAMP_PDEP.ParticleNumber	cAMP_R2C2.ParticleNumber	Ca.ParticleNumberRate
0	0	120	100	0	0	0	2999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1204	0	0	0	120	0	0	0	0	0	0	200	0	80	3999	0	0	0	0	0	0	0	0	0	15.0554
0.5	0	43	44	20	0	2	2695	74	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	2	0	0	0	0	0	0	2	0	1	0	0	0	76	34	0	0	1204	0	0	0	119	0	0	0	0	0	0	199	1	72	3999	0	0	0	0	0	0	0	0	0	9.12037
1	0	50	36	31	0	2	2557	119	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	5	0	0	0	0	0	0	2	0	10	0	0	0	68	31	0	0	1204	0	0	0	110	0	0	0	0	0	0	196	4	73	3999	0	0	0	0	0	0	0	0	0	14.994
1.5	0	45	22	45	0	6	2429	141	5	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	19	0	2	0	0	0	0	4	0	7	0	0	0	70	29	0	0	1204	0	0	0	111	0	0	0	0	0	0	196	4	64	3999	0	0	0	0	0	0	0	0	0	-28.6605
2	0	38	12	58	0	3	2341	155	8	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	20	0	0	0	0	0	5	6	0	12	0	0	0	74	24	0	0	1204	0	0	0	108	0	0	0	0	0	1	194	5	63	3999	0	0	0	0	0	0	0	0	0	11.4744
2.5	0	51	13	73	0	2	2287	168	7	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408	31	0	0	0	0	0	2	1	0	8	0	0	0	62	13	0	0	1204	0	0	0	111	1	0	0	0	0	0	194	6	66	3999	0	0	0	0	0	0	0	0	0	19.9051
3	0	43	9	77	0	5	2218	169	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	34	0	2	0	0	0	3	3	0	9	1	0	0	67	11	0	0	1204	0	0	0	108	0	0	0	0	0	0	193	7	67	3999	0	0	0	0	0	0	0	0	0	-9.12806
3.5	0	43	12	82	0	3	2152	178	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	528	43	0	1	0	0	0	2	1	0	7	0	0	0	72	5	0	0	1204	0	0	0	111	1	0	0	0	0	1	190	9	73	3999	0	0	0	0	0	0	0	0	0	20.0744
4	0	55	11	84	0	4	2115	165	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	581	47	0	0	0	0	0	4	0	0	7	0	0	0	64	5	0	0	1204	0	0	0	112	1	0	0	0	0	4	190	6	66	3999	0	0	0	0	0	0	0	0	0	10.7534
4.5	0	51	2	87	1	3	2068	141	8	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	632	55	0	0	0	0	0	3	2	0	9	0	0	0	61	8	0	0	1204	0	0	0	111	0	0	0	0	0	2	187	10	65	3999	0	0	0	0	0	0	0	0	0	23.0744
5	0	57	7	88	0	6	2040	140	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	667	61	0	0	0	0	0	1	2	0	17	0	0	0	58	3	0	0	1204	0	0	0	103	0	0	0	0	0	3	187	10	74	3999	0	0	0	0	0	0	0	0	0	-12.4314
5.5	0	53	4	90	0	10	1992	137	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	718	58	0	0	0	0	0	2	1	0	11	0	0	0	64	5	0	0	1204	0	0	0	109	0	0	0	0	0	3	186	11	70	3999	0	0	0	0	0	0	0	0	0	-95.0803
6	0	56	7	88	0	4	1983	126	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	741	56	0	2	0	0	0	2	1	0	13	0	0	0	60	4	0	0	1204	0	0	0	105	0	0	0	0	0	3	181	16	71	3999	0	0	0	0	0	0	0	0	0	25.9097
6.5	0	62	2	90	0	4	1963	116	3	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	769	55	0	0	0	0	0	1	6	0	17	0	0	0	55	2	0	0	1204	0	0	0	103	0	0	0	0	0	4	182	14	67	3999	0	0	0	0	0	0	0	0	0	24.3536
7	0	59	7	90	0	7	1935	124	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	787	56	0	2	0	0	0	2	2	0	23	0	0	0	59	1	0	0	1204	0	0	0	95	0	0	0	0	0	4	181	15	72	3999	0	0	0	0	0	0	0	0	0	-20.1362
7.5	0	53	8	89	0	4	1907	118	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	825	56	0	1	0	0	0	3	0	0	15	1	0	0	67	3	0	0	1204	0	0	0	103	0	0	0	0	0	6	180	14	74	3999	0	0	0	0	0	0	0	0	0	28.53
8	0	54	6	85	3	11	1915	99	6	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	832	52	0	0	0	0	0	2	4	0	16	1	0	0	60	2	0	0	1204	0	0	0	102	1	0	0	0	0	4	184	9	68	3999	0	0	0	0	0	0	0	0	0	-117.815
8.5	0	54	3	86	2	6	1905	103	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	846	43	0	2	0	0	0	4	4	0	16	0	0	0	64	5	0	0	1204	0	0	0	100	2	0	0	0	0	5	180	13	71	3999	0	0	0	0	0	0	0	0	0	-0.822437
9	0	57	4	90	0	2	1890	95	2	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	876	46	0	0	0	0	0	1	0	0	10	0	0	0	61	6	0	0	1204	0	0	0	109	1	0	0	0	0	6	176	18	67	3999	0	0	0	0	0	0	0	0	0	55.5094
9.5	0	65	5	89	0	11	1898	108	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	865	39	0	0	0	0	0	4	1	0	19	0	0	0	54	5	0	0	1204	0	0	0	100	1	0	0	0	0	6	181	13	71	3999	0	0	0	0	0	0	0	0	0	-111.813
10	0	58	1	88	0	6	1913	100	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	836	42	0	3	0	0	0	2	3	0	20	0	0	0	60	8	0	0	1204	0	0	0	96	1	0	0	0	0	6	178	16	68	3999	0	0	0	0	0	0	0	0	0	4.79581
10.5	0	51	6	85	0	6	1896	101	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	857	40	0	2	0	0	0	4	5	0	14	0	0	0	66	4	0	0	1204	0	0	0	103	1	0	0	0	0	6	178	16	69	3999	0	0	0	0	0	0	0	0	0	4.78186
11	0	53	4	88	0	10	1899	97	7	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	858	39	0	0	0	0	0	2	3	0	20	1	0	0	60	5	0	0	1204	0	0	0	99	0	0	0	0	0	4	177	19	70	3999	0	0	0	0	0	0	0	0	0	-85.3193
11.5	0	57	6	89	0	8	1898	98	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	876	39	0	0	0	0	0	3	4	0	11	0	0	0	62	1	0	0	1204	0	0	0	108	1	0	0	0	0	7	179	14	71	3999	0	0	0	0	0	0	0	0	0	-33.8326
12	0	55	3	89	0	6	1886	96	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	868	43	0	1	0	0	0	4	3	0	22	1	0	0	63	5	0	0	1204	0	0	0	96	0	0	0	0	0	6	175	19	71	3999	0	0	0	0	0	0	0	0	0	8.60462
12.5	0	63	6	88	0	7	1910	93	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	867	43	0	0	0	0	0	1	1	0	19	1	0	0	57	5	0	0	1204	0	0	0	100	0	0	0	0	0	7	173	20	77	3999	0	0	0	0	0	0	0	0	0	-6.03936
13	0	49	6	84	1	13	1891	81	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	881	45	0	0	0	0	0	1	5	0	11	0	0	0	70	4	0	0	1204	0	0	0	109	0	0	0	0	0	6	175	18	70	3999	0	0	0	0	0	0	0	0	0	-172.943
13.5	0	54	7	86	1	5	1885	78	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	895	48	0	0	0	0	0	0	2	0	15	0	0	0	63	4	0	0	1204	0	0	0	105	0	0	0	0	0	4	171	24	74	3999	0	0	0	0	0	0	0	0	0	28.8787
14	0	54	4	88	0	7	1868	80	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	914	39	0	2	0	0	0	4	1	0	16	0	0	0	65	7	0	0	1204	0	0	0	102	0	0	0	0	0	5	169	26	74	3999	0	0	0	0	0	0	0	0	0	-1.82715
14.5	0	52	1	89	3	5	1851	80	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	937	39	0	0	0	0	0	0	4	0	14	0	0	0	66	3	0	0	1204	0	0	0	106	0	0	0	0	0	6	172	19	77	3999	0	0	0	0	0	0	0	0	0	24.8072
15	0	53	3	88	0	8	1854	83	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	929	36	0	0	0	0	0	2	4	0	15	0	0	0	65	5	0	0	1204	0	0	0	105	0	0	0	0	0	11	172	17	74	3999	0	0	0	0	0	0	0	0	0	-21.5306
15.5	0	60	5	82	1	5	1850	71	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	935	43	0	4	0	0	0	3	3	0	14	0	0	0	56	9	0	0	1204	0	0	0	102	0	0	0	0	0	9	168	22	70	3999	0	0	0	0	0	0	0	0	0	36.1245
16	0	56	8	77	1	5	1826	81	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	939	50	0	1	0	0	0	1	5	0	15	0	0	0	62	9	0	0	1204	0	0	0	104	0	0	0	0	0	10	167	22	71	3999	0	0	0	0	0	0	0	0	0	38.2591
16.5	0	52	11	79	0	7	1812	92	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938	51	0	2	0	0	0	1	3	0	23	0	0	0	67	7	0	0	1204	0	0	0	95	0	0	0	0	0	12	170	18	77	3999	0	0	0	0	0	0	0	0	0	2.40428
17	0	52	10	76	2	6	1794	93	7	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	959	42	0	1	0	0	0	2	4	0	23	0	0	0	61	8	0	0	1204	0	0	0	96	0	0	0	0	0	12	168	18	73	3999	0	0	0	0	0	0	0	0	0	20.5899
17.5	0	54	8	77	0	4	1786	95	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	964	41	0	2	0	0	0	6	7	0	17	0	0	0	63	8	0	0	1204	0	0	0	101	0	0	0	0	0	12	166	22	67	3999	0	0	0	0	0	0	0	0	0	55.6503
18	0	54	9	81	0	8	1774	105	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	969	47	0	0	0	0	0	3	3	0	19	0	0	0	62	7	0	0	1204	0	0	0	101	0	0	0	0	0	9	165	26	71	3999	0	0	0	0	0	0	0	0	0	-14.5788
18.5	0	38	8	79	2	13	1744	103	5	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	973	54	0	0	0	0	0	4	2	0	20	0	0	0	77	9	0	0	1204	0	0	0	100	0	0	0	0	0	9	165	24	68	3999	0	0	0	0	0	0	0	0	0	-162.36
19	0	56	13	79	1	4	1751	112	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	982	54	0	1	0	0	0	2	1	0	23	0	0	0	59	6	0	0	1204	0	0	0	96	0	0	0	0	0	12	163	24	75	3999	0	0	0	0	0	0	0	0	0	59.3923
19.5	0	60	9	79	3	13	1745	104	3	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	56	0	0	0	0	0	0	3	0	14	0	0	0	57	6	0	0	1204	0	0	0	106	0	0	0	0	0	11	164	22	69	3999	0	0	0	0	0	0	0	0	0	-155.862
20	0	48	10	79	3	9	1740	118	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	985	53	0	1	0	0	0	3	2	0	16	0	0	0	68	6	0	0	1204	0	0	0	103	0	0	0	0	0	13	161	23	74	3999	0	0	0	0	0	0	0	0	0	-31.2929
20.5	0	56	9	76	2	7	1718	114	5	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	60	0	0	0	0	0	0	4	0	19	0	0	0	59	9	0	0	1204	0	0	0	101	0	0	0	0	0	13	160	25	69	3999	0	0	0	0	0	0	0	0	0	15.4179
21	0	53	10	80	0	12	1724	117	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	998	58	0	1	0	0	0	2	6	0	16	0	0	0	64	4	0	0	1204	0	0	0	103	0	0	0	0	0	11	157	32	72	3999	0	0	0	0	0	0	0	0	0	-120.67
21.5	0	50	8	76	3	8	1701	115	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1009	55	0	1	0	0	0	5	9	0	24	0	0	0	64	4	0	0	1204	0	0	0	95	0	0	0	0	0	14	159	24	69	3999	0	0	0	0	0	0	0	0	0	-4.32755
22	0	50	9	72	2	9	1713	120	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	991	64	0	0	0	0	0	2	6	0	18	0	0	0	67	11	0	0	1204	0	0	0	102	0	0	0	0	0	9	150	39	74	3999	0	0	0	0	0	0	0	0	0	-23.8177
22.5	0	42	11	71	2	8	1706	127	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	986	61	0	1	0	0	0	3	5	0	16	0	0	0	74	11	0	0	1204	0	0	0	103	0	0	0	0	0	12	152	34	72	3999	0	0	0	0	0	0	0	0	0	3.53343
23	0	60	14	75	0	7	1723	131	3	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	979	66	0	0	0	0	0	3	1	0	17	0	0	0	57	10	0	0	1204	0	0	0	103	0	0	0	0	0	15	151	34	68	3999	0	0	0	0	0	0	0	0	0	32.5492
23.5	0	54	9	71	2	8	1723	136	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	968	63	0	1	0	0	0	1	6	0	20	0	0	0	64	12	0	0	1204	0	0	0	99	0	0	0	0	0	15	154	29	76	3999	0	0	0	0	0	0	0	0	0	4.13236
24	0	54	8	72	3	10	1724	131	5	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	963	70	0	0	0	0	0	4	6	0	15	0	0	0	61	11	0	0	1204	0	0	0	105	0	0	0	0	0	12	153	32	67	3999	0	0	0	0	0	0	0	0	0	-51.6114
24.5	0	61	10	74	0	4	1730	143	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	951	61	0	1	0	0	0	9	5	0	22	0	0	0	54	11	0	0	1204	0	0	0	97	0	0	0	0	0	18	154	28	64	3999	0	0	0	0	0	0	0	0	0	79.1262
25	0	55	9	72	3	6	1716	146	4	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	964	59	0	2	0	0	0	5	7	0	18	0	0	0	61	9	0	0	1204	0	0	0	100	0	0	0	0	0	15	155	27	67	3999	0	0	0	0	0	0	0	0	0	41.8025
25.5	0	53	9	77	1	9	1742	150	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	937	67	0	1	0	0	0	3	4	0	14	0	0	0	62	9	0	0	1204	0	0	0	105	0	0	0	0	0	18	160	21	72	3999	0	0	0	0	0	0	0	0	0	-22.172
26	0	56	12	79	2	9	1740	148	7	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938	66	0	1	0	0	0	6	1	0	20	0	0	0	57	6	0	0	1204	0	0	0	99	0	0	0	0	0	14	157	27	65	3999	0	0	0	0	0	0	0	0	0	-24.8545
26.5	0	64	5	80	2	7	1741	154	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	940	65	0	0	0	0	0	6	1	0	19	0	0	0	50	12	0	0	1204	0	0	0	101	0	0	0	0	0	14	157	27	69	3999	0	0	0	0	0	0	0	0	0	20.6072
27	0	58	8	80	2	9	1744	145	5	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	943	63	0	1	0	0	0	5	6	0	18	0	0	0	57	4	0	0	1204	0	0	0	101	0	0	0	0	0	10	153	35	67	3999	0	0	0	0	0	0	0	0	0	-25.7944
27.5	0	60	9	75	1	12	1753	146	6	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	927	70	0	0	0	0	0	3	8	0	15	0	0	0	54	7	0	0	1204	0	0	0	105	0	0	0	0	0	10	155	34	67	3999	0	0	0	0	0	0	0	0	0	-121.854
28	0	56	9	73	2	7	1728	143	9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	948	68	0	2	0	0	0	9	2	0	18	0	0	0	55	14	0	0	1204	0	0	0	100	0	0	0	0	0	15	158	25	68	3999	0	0	0	0	0	0	0	0	0	19.9606
28.5	0	56	13	71	3	11	1711	148	5	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	959	76	0	0	0	0	0	4	4	0	15	0	0	0	59	9	0	0	1204	0	0	0	105	0	0	0	0	0	15	159	23	67	3999	0	0	0	0	0	0	0	0	0	-80.17
29	0	58	12	72	2	9	1695	152	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	977	72	0	1	0	0	0	1	3	0	17	0	0	0	56	11	0	0	1204	0	0	0	102	0	0	0	0	0	16	158	24	71	3999	0	0	0	0	0	0	0	0	0	-23.2899
29.5	0	58	10	74	2	5	1693	150	4	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	972	66	0	2	0	0	0	6	8	0	20	0	0	0	58	6	0	0	1204	0	0	0	98	0	0	0	0	0	13	153	32	60	3999	0	0	0	0	0	0	0	0	0	62.0631
30	0	63	9	71	1	10	1717	152	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	953	76	0	1	0	0	0	1	5	0	16	0	0	0	53	14	0	0	1204	0	0	0	103	0	0	0	0	0	13	157	29	72	3999	0	0	0	0	0	0	0	0	0	-52.8473
30.5	0	54	8	74	1	7	1741	154	9	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	919	71	0	2	0	0	0	6	2	0	15	0	0	0	57	15	0	0	1204	0	0	0	103	0	0	0	0	0	11	154	34	66	3999	0	0	0	0	0	0	0	0	0	23.7385
31	0	43	15	70	4	12	1710	165	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	939	74	0	2	0	0	0	2	4	0	12	1	0	0	74	7	0	0	1204	0	0	0	104	1	0	0	0	0	5	156	35	72	3999	0	0	0	0	0	0	0	0	0	-132.027
31.5	0	54	7	79	2	10	1726	167	3	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	927	73	0	2	1	0	0	5	6	0	11	0	0	0	63	6	0	0	1204	0	0	0	106	0	0	0	0	0	10	154	34	66	3999	0	0	0	0	0	0	0	0	0	-55.475
32	0	62	2	79	2	5	1737	163	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	914	73	0	4	0	0	0	6	6	0	22	0	0	0	53	11	0	0	1204	0	0	0	93	1	0	0	0	0	15	158	25	69	3999	0	0	0	0	0	0	0	0	0	55.2773
32.5	0	58	17	74	2	5	1739	168	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	910	80	0	1	0	0	0	5	3	0	23	0	0	0	57	4	0	0	1204	0	0	0	95	1	0	0	0	0	16	160	22	71	3999	0	0	0	0	0	0	0	0	0	52.2391
33	0	58	12	70	4	7	1712	165	5	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	929	80	0	5	0	0	0	6	3	0	16	0	0	0	57	11	0	0	1204	0	0	0	99	0	0	0	0	0	13	163	20	64	3999	0	0	0	0	0	0	0	0	0	8.6652
33.5	0	66	14	74	1	7	1708	161	5	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	935	91	0	2	0	0	0	5	4	0	24	0	0	0	49	7	0	0	1204	0	0	0	93	1	0	0	0	0	14	161	24	67	3999	0	0	0	0	0	0	0	0	0	16.9769
34	0	52	11	74	0	10	1713	168	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	909	97	0	2	0	0	0	3	6	0	19	0	0	0	66	9	0	0	1204	0	0	0	98	1	0	0	0	0	12	161	27	72	3999	0	0	0	0	0	0	0	0	0	-56.7278
34.5	0	58	8	76	0	4	1709	169	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	923	86	0	4	0	0	0	6	4	0	16	1	0	0	58	12	0	0	1204	0	0	0	99	0	0	0	0	0	16	161	23	67	3999	0	0	0	0	0	0	0	0	0	65.8294
35	0	57	10	74	1	12	1714	161	3	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	929	88	0	3	0	0	0	1	6	0	16	0	0	0	60	9	0	0	1204	0	0	0	100	1	0	0	0	0	13	160	26	70	3999	0	0	0	0	0	0	0	0	0	-115.746
35.5	0	56	9	74	3	7	1696	154	4	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	955	86	0	1	0	0	0	6	7	0	14	1	0	0	60	7	0	0	1204	0	0	0	104	0	0	0	0	0	11	157	29	66	3999	0	0	0	0	0	0	0	0	0	16.9789
36	0	59	12	76	1	8	1720	150	4	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	940	85	0	2	0	0	0	3	5	0	15	0	0	0	57	6	0	0	1204	0	0	0	102	1	0	0	0	0	11	156	32	65	3999	0	0	0	0	0	0	0	0	0	-0.758017
36.5	0	55	8	76	2	8	1739	141	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	928	84	0	2	0	0	0	3	6	0	17	0	0	0	59	8	0	0	1204	0	0	0	101	0	0	0	0	0	12	156	30	71	3999	0	0	0	0	0	0	0	0	0	-1.63768
37	0	54	9	71	3	8	1703	143	8	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	947	90	0	2	0	0	0	2	2	0	22	0	0	0	58	15	0	0	1204	0	0	0	96	0	0	0	0	0	13	159	25	71	3999	0	0	0	0	0	0	0	0	0	-5.38905
37.5	0	65	5	78	0	7	1690	153	5	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	956	90	0	1	0	0	0	6	4	0	22	0	0	0	50	13	0	0	1204	0	0	0	97	0	0	0	0	0	16	159	25	65	3999	0	0	0	0	0	0	0	0	0	21.6974
38	0	44	8	78	1	10	1678	155	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	950	97	0	0	0	0	0	6	8	0	18	0	0	0	73	5	0	0	1204	0	0	0	102	0	0	0	0	0	13	159	27	68	3999	0	0	0	0	0	0	0	0	0	-54.6381
38.5	0	54	5	76	2	6	1704	154	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	932	90	0	6	0	0	0	7	6	0	17	0	0	0	63	11	0	0	1204	0	0	0	97	0	0	0	0	0	11	156	31	67	3999	0	0	0	0	0	0	0	0	0	39.2276
39	0	60	5	76	3	16	1723	169	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	921	88	0	0	0	0	0	5	7	0	13	0	0	0	55	9	0	0	1204	0	0	0	107	0	0	0	0	0	12	160	25	71	3999	0	0	0	0	0	0	0	0	0	-270.482
