# time 'cAMP_on' 'free_Ca2+' 'bound_Ca2+!_' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1p~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 1.733333E+01 0 7 134 0 0 62 99 0 0 7 1 0 1949 989 0 41 21 0 0 0 0 1010 62
 1.766667E+01 0 5 136 0 0 69 99 0 0 4 1 0 1958 982 0 37 23 0 0 0 0 1005 60
 1.800000E+01 0 5 138 0 0 67 97 0 0 6 2 0 1956 987 0 34 23 0 0 0 0 1010 57
 1.833333E+01 0 8 136 0 0 68 97 0 0 1 2 0 1960 989 0 31 20 0 0 0 0 1009 51
 1.866667E+01 0 4 140 0 0 66 97 0 0 6 2 0 1952 1000 0 31 17 0 0 0 0 1017 48
 1.900000E+01 0 6 144 0 0 55 98 0 0 2 6 0 1951 1010 0 23 16 0 0 0 0 1026 39
 1.933333E+01 0 5 146 0 0 65 97 0 0 2 8 0 1932 1029 0 21 18 0 0 0 0 1047 39
 1.966667E+01 0 5 146 0 0 62 96 0 0 2 4 0 1923 1032 0 25 20 0 0 0 0 1052 45
 2.000000E+01 0 6 146 0 0 62 95 0 0 8 4 0 1900 1053 0 28 19 0 0 0 0 1072 47
 2.033333E+01 0 6 150 0 0 67 95 0 0 3 7 0 1918 1036 0 27 19 0 0 0 0 1055 46
 2.066667E+01 0 7 153 0 0 73 96 0 1 2 4 0 1908 1046 0 26 20 0 0 0 0 1066 46
 2.100000E+01 0 8 152 0 0 60 94 0 0 1 5 0 1908 1048 0 25 19 0 0 0 0 1067 44
 2.133333E+01 0 7 154 0 0 59 95 0 0 8 2 0 1900 1049 0 28 23 0 0 0 0 1072 51
 2.166667E+01 0 9 156 0 0 72 95 0 0 7 3 0 1899 1048 0 28 25 0 0 0 0 1073 53
 2.200000E+01 0 4 165 0 0 63 96 0 1 3 6 0 1909 1040 0 28 23 0 0 0 0 1063 51
 2.233333E+01 0 6 167 0 0 69 97 0 1 1 5 0 1908 1044 0 28 20 0 0 0 0 1064 48
 2.266667E+01 0 8 168 0 0 61 96 0 0 0 5 0 1894 1059 0 27 20 0 0 0 0 1079 47
 2.300000E+01 0 6 174 0 0 75 96 0 2 4 1 0 1903 1046 0 30 21 0 0 0 0 1067 51
 2.333333E+01 0 5 176 0 0 73 97 0 0 5 5 0 1882 1069 0 28 21 0 0 0 0 1090 49
 2.366667E+01 0 5 178 0 0 77 97 0 0 4 4 0 1876 1076 0 32 16 0 0 0 0 1092 48
 2.400000E+01 0 7 178 0 0 65 95 0 0 6 6 0 1892 1063 0 31 14 0 0 0 0 1077 45
 2.433333E+01 0 6 181 0 0 70 93 0 1 1 2 0 1901 1053 0 32 14 0 0 0 0 1067 46
 2.466667E+01 0 5 184 0 0 60 91 1 0 4 4 0 1892 1054 0 38 16 0 0 0 0 1070 54
 2.500000E+01 0 7 182 0 0 77 93 0 0 6 6 0 1885 1060 0 38 17 0 0 0 0 1077 55
