,cAMP,Ca,PKA,_CDK5,CK1.ParticleNumber,PP2AP,_PP2C,PP2B.ParticleNumber,PDEP,D.ParticleNumber,D34,D75,D137
716,33.868914783,44.251484554,61.14927056,64.47447,37.30338,2.135817194,21.49764,46.66218716,377.49127841,1073.18,992.738258748,690.231230046,179.74713
717,33.819576615,44.177193782,61.06768438,64.47677,37.18985,2.134398062,21.42751,46.445792,377.31525289,1072.6,995.307947155,689.320202747,178.75536
718,33.770452812,44.103597048,60.98623839,64.47913,37.0777,2.132988108,21.35807,46.23295848,377.13922745,1072.01,997.860573359,688.414471879,177.77555
719,33.721462273,44.03084334,60.90520259,64.48134,36.9669,2.13156611,21.28931,46.02359671,376.96320208,1071.42,1000.3969764,687.514937321,176.80771
720,33.672494997,43.958863437,60.82421697,64.48369,36.85736,2.130143267,21.22124,45.81764677,376.78617679,1070.83,1002.91626633,686.620780081,175.85284
721,33.623741976,43.887655208,60.74356152,64.4859,36.74927,2.128720278,21.15385,45.61502846,376.60915157,1070.23,1005.41812384,685.73173986,174.91092
722,33.575121319,43.817230881,60.66300625,64.48813,36.64235,2.127296241,21.08716,45.41593189,376.43212642,1069.64,1007.90303826,684.848776746,173.97996
723,33.526625796,43.747578117,60.58276116,64.49031,36.53678,2.125859047,21.02114,45.22002704,376.25410134,1069.05,1010.36951832,683.971889549,173.06193
724,33.478341637,43.678798014,60.50276623,64.49241,36.43255,2.124422704,20.95581,45.0273138,376.07607633,1068.45,1012.81881605,683.099990258,172.15584
725,33.430081611,43.610670231,60.42287146,64.49465,36.32957,2.122983981,20.89116,44.83776209,375.89805138,1067.86,1015.25096014,682.234046572,171.2607
726,33.381944959,43.543404296,60.34325686,64.4967,36.22785,2.121544006,20.82719,44.65128208,375.72002651,1067.26,1017.66463106,681.3739798,170.37846
727,33.33403042,43.47689965,60.26396242,64.49877,36.12736,2.12009364,20.76391,44.46805369,375.54100169,1066.67,1020.0601084,680.520780632,169.50714
728,33.286129236,43.411236431,60.18466814,64.50075,36.02821,2.118640811,20.70129,44.28777679,375.36197694,1066.07,1022.43917226,679.672326867,168.64773
729,33.238462184,43.346225688,60.10576401,64.50285,35.9303,2.117187498,20.63936,44.1104115,375.18195225,1065.48,1024.79795263,678.830530704,167.80023
