time, D, CDK5, D_CDK5, D75, CK1, D_CK1, D137, PKA, D_PKA, D34, D34_CDK5, D34_CK1, PP2B, D34_PP2B, D34_75, D34_137, D75CK1, D75_PKA, PP2A, D75_PP2A, PP2AP, D75_PP2AP, D75_137, D137_CDK5, D137_PKA, D137_PP2C, PP2C, D34_75_CK1, D34_137_CDK5, D34_75_137, D75_137_PKA, D34_75_PP2B, D34_137_PP2B, D34_75_137_PP2B, D34_75_PP2A, D75_137_PP2A, D34_75_137_PP2A, D34_75_PP2AP, D75_137_PP2AP, D34_75_137_PP2AP, D34_137_PP2C, D75_137_PP2C, PDE, PP2Binactive, D34_75_137_PP2C, CK1P, CK1P_PP2B, PDE_PKA, PDEP, PP2A_PKA, Ca, PP2BinactiveCa2, R2C2, cAMP, cAMP_R2C2, cAMP2_R2C2, cAMP3_R2C2, cAMP4_R2C2, cAMP4_R2C, cAMP4_R2, cAMP_PDE, AMP, cAMP_PDEP, PP2ACa, D34_75_PP2ACa, D34_75_137_PP2ACa, D75_PP2ACa, D75_137_PP2ACa, D34_75_PP2APCa, PP2APCa, D34_75_137_PP2APCa, D75_PP2APCa, D75_137_PP2APCa, PP2ACa_PKA, 
1, 4.23604e-06, 8.3027e-08, 1.07935e-07, 3.43732e-07, 4.15135e-08, 6.14399e-08, 1.87641e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32108e-09, 0, 1.8598e-07, 1.32843e-08, 0, 0, 8.3027e-09, 8.3027e-09, 0, 9.96323e-09, 1.2288e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.23805e-07, 0, 5.97794e-08, 0, 0, 0, 0, 6.64216e-09, 8.3027e-09, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.1, 4.18622e-06, 7.14032e-08, 1.16238e-07, 3.80263e-07, 4.15135e-08, 5.64583e-08, 1.90962e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.98162e-09, 0, 1.89301e-07, 9.96323e-09, 0, 0, 6.64216e-09, 1.16238e-08, 0, 1.66054e-08, 1.16238e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.23805e-07, 0, 6.31005e-08, 0, 0, 0, 0, 4.98162e-09, 8.3027e-09, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.2, 4.13972e-06, 6.64216e-08, 1.29522e-07, 4.15135e-07, 4.3174e-08, 5.31372e-08, 2.05907e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 0, 1.90962e-07, 8.3027e-09, 0, 0, 1.32843e-08, 3.32108e-09, 0, 8.3027e-09, 1.2288e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 1.99929e-06, 3.22145e-07, 0, 6.80821e-08, 0, 0, 0, 0, 3.32108e-09, 9.96323e-09, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.3, 4.11648e-06, 7.80453e-08, 1.17898e-07, 4.43364e-07, 4.98162e-08, 4.64951e-08, 2.22512e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92623e-07, 6.64216e-09, 0, 0, 1.49449e-08, 3.32108e-09, 0, 6.64216e-09, 1.2454e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 1.99929e-06, 3.23805e-07, 0, 6.97426e-08, 0, 0, 0, 0, 9.96323e-09, 8.3027e-09, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.4, 4.06666e-06, 6.97426e-08, 1.2454e-07, 4.54988e-07, 4.81556e-08, 4.48346e-08, 2.37457e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32108e-09, 0, 1.82659e-07, 1.66054e-08, 0, 0, 1.49449e-08, 4.98162e-09, 0, 9.96323e-09, 1.21219e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 1.99929e-06, 3.23805e-07, 0, 6.97426e-08, 0, 0, 0, 0, 1.16238e-08, 8.3027e-09, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.5, 4.04507e-06, 6.97426e-08, 1.17898e-07, 4.64951e-07, 3.48713e-08, 5.14767e-08, 2.44099e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32108e-09, 0, 1.87641e-07, 1.16238e-08, 0, 0, 1.82659e-08, 1.16238e-08, 0, 1.16238e-08, 1.21219e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.18823e-07, 0, 7.63848e-08, 0, 0, 0, 0, 1.66054e-09, 1.32843e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.6, 4.03511e-06, 6.97426e-08, 1.19559e-07, 4.69933e-07, 3.65319e-08, 4.15135e-08, 2.40778e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.98162e-09, 0, 1.8432e-07, 1.49449e-08, 0, 0, 1.99265e-08, 9.96323e-09, 0, 2.1587e-08, 1.09596e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 1.99929e-06, 3.18823e-07, 0, 8.3027e-08, 0, 0, 0, 0, 3.32108e-09, 1.32843e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.7, 4.00688e-06, 7.14032e-08, 1.2454e-07, 4.9318e-07, 3.48713e-08, 3.81924e-08, 2.50741e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.64216e-09, 0, 1.8598e-07, 1.32843e-08, 0, 0, 2.1587e-08, 3.32108e-09, 0, 2.1587e-08, 1.11256e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.18823e-07, 0, 8.6348e-08, 0, 0, 0, 0, 6.64216e-09, 1.32843e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.8, 3.97533e-06, 7.47243e-08, 1.2288e-07, 5.26391e-07, 3.32108e-08, 4.3174e-08, 2.54062e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 0, 1.92623e-07, 6.64216e-09, 0, 0, 1.99265e-08, 1.66054e-09, 0, 2.65686e-08, 1.04614e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 1.99929e-06, 3.17163e-07, 0, 8.80086e-08, 0, 0, 0, 0, 3.32108e-09, 1.49449e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1.9, 3.99526e-06, 9.63113e-08, 9.79718e-08, 5.29712e-07, 3.48713e-08, 3.15502e-08, 2.69007e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.3027e-09, 0, 1.87641e-07, 1.16238e-08, 0, 0, 1.66054e-08, 4.98162e-09, 0, 1.16238e-08, 1.17898e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32108e-09, 1.99929e-06, 3.15502e-07, 0, 9.13296e-08, 0, 0, 0, 0, 1.66054e-09, 1.66054e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2, 3.93216e-06, 6.31005e-08, 1.29522e-07, 5.5462e-07, 4.15135e-08, 2.32475e-08, 2.72328e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.96323e-09, 0, 1.90962e-07, 8.3027e-09, 0, 0, 2.32475e-08, 6.64216e-09, 0, 1.82659e-08, 1.12917e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 1.99929e-06, 3.15502e-07, 0, 9.13296e-08, 0, 0, 0, 0, 3.32108e-09, 1.66054e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
