# time 'Ca' 'D34:75:137_PP2ACa' 'D34:75:137_PP2APCa' 'D34:75_PP2ACa' 'D34:75_PP2APCa' 'D75:137_PP2ACa' 'D75:137_PP2APCa' 'D75_PP2ACa' 'D75_PP2APCa' 'PP2ACa' 'PP2ACa_PKA' 'PP2APCa' 'PP2BinactiveCa2_1' 'PP2BinactiveCa2_2' 'PP2BinactiveCa2_3' 'PP2BinactiveCa2_4' 'PP2BinactiveCa2_5' 'PP2BinactiveCa2_6'
 3.250000E+01 3 0 0 0 0 0 0 0 0 0 0 0 13 16 17 10 23 8
 3.300000E+01 10 0 0 0 0 0 0 0 0 0 0 0 10 13 17 14 17 11
 3.350000E+01 5 0 0 0 0 0 0 0 0 0 0 0 13 21 16 15 10 18
 3.400000E+01 8 0 0 0 0 0 0 0 0 0 0 0 11 8 13 18 15 27
 3.450000E+01 8 0 0 0 0 0 0 0 0 0 0 0 11 16 13 19 14 21
 3.500000E+01 3 0 0 0 0 0 0 0 0 0 0 0 15 13 13 22 15 18
 3.550000E+01 6 0 0 0 0 0 0 0 0 0 0 0 14 13 17 15 12 17
 3.600000E+01 4 0 0 0 0 0 0 0 0 0 0 0 17 15 13 16 16 16
 3.650000E+01 10 0 0 0 0 0 0 0 0 0 0 0 13 16 9 16 23 14
 3.700000E+01 6 0 0 0 0 0 0 0 0 0 0 0 11 11 10 16 21 19
 3.750000E+01 2 0 0 0 0 0 0 0 0 0 0 0 16 8 13 13 22 20
 3.800000E+01 7 0 0 0 0 0 0 0 0 0 0 0 12 14 8 16 12 20
 3.850000E+01 8 0 0 0 0 0 0 0 0 0 0 0 16 14 15 13 17 16
 3.900000E+01 10 0 0 0 0 0 0 0 0 0 0 0 18 7 13 13 14 18
 3.950000E+01 4 0 0 0 0 0 0 0 0 0 0 0 15 14 17 9 19 14
 4.000000E+01 9 0 0 0 0 0 0 0 0 0 0 0 17 15 18 23 12 14
 4.050000E+01 7 0 0 0 0 0 0 0 0 0 0 0 18 19 8 21 12 17
 4.100000E+01 6 0 0 0 0 0 0 0 0 0 0 0 16 16 7 19 11 24
 4.150000E+01 6 0 0 0 0 0 0 0 0 0 0 0 12 15 14 17 14 21
 4.200000E+01 11 0 0 0 0 0 0 0 0 0 0 0 9 13 15 22 18 25
 4.250000E+01 7 0 0 0 0 0 0 0 0 0 0 0 13 16 15 18 15 19
 4.300000E+01 7 0 0 0 0 0 0 0 0 0 0 0 14 13 15 22 21 12
 4.350000E+01 4 0 0 0 0 0 0 0 0 0 0 0 18 15 17 13 17 12
 4.400000E+01 8 0 0 0 0 0 0 0 0 0 0 0 14 16 14 19 13 10
 4.450000E+01 10 0 0 0 0 0 0 0 0 0 0 0 19 14 20 14 17 9
 4.500000E+01 7 0 0 0 0 0 0 0 0 0 0 0 16 20 14 14 21 9
 4.550000E+01 8 0 0 0 0 0 0 0 0 0 0 0 19 16 12 16 18 13
 4.600000E+01 5 0 0 0 0 0 0 0 0 0 0 0 17 13 14 15 14 16
 4.650000E+01 2 0 0 0 0 0 0 0 0 0 0 0 23 14 16 14 15 15
 4.700000E+01 11 0 0 0 0 0 0 0 0 0 0 0 19 13 10 11 18 18
 4.750000E+01 11 0 0 0 0 0 0 0 0 1 0 0 19 16 13 7 16 19
 4.800000E+01 9 0 0 0 0 0 0 1 0 0 0 0 17 18 15 14 16 19
 4.850000E+01 11 0 0 0 0 0 0 2 0 0 0 0 13 14 23 8 14 16
 4.900000E+01 9 0 0 0 0 0 0 1 0 0 0 0 18 12 20 11 19 18
 4.950000E+01 5 0 0 0 0 0 0 0 0 0 0 0 19 11 19 14 21 17
 5.000000E+01 4 0 0 0 0 0 0 0 0 0 0 0 15 14 23 17 18 13
 5.050000E+01 8 0 0 0 0 0 0 0 0 0 0 0 16 18 19 17 16 10
 5.100000E+01 6 0 0 0 0 0 0 0 0 1 0 0 22 20 13 21 10 12
 5.150000E+01 11 0 0 0 0 0 0 1 0 0 0 0 20 19 13 16 14 14
 5.200000E+01 8 0 0 0 0 0 0 0 0 1 0 0 15 16 16 19 16 18
 5.250000E+01 6 0 0 0 0 0 0 0 0 0 0 0 15 14 18 15 12 19
 5.300000E+01 12 0 0 0 0 0 0 0 0 0 0 0 17 14 14 16 10 18
 5.350000E+01 12 0 0 0 0 0 0 0 0 0 0 0 14 14 12 23 7 19
 5.400000E+01 6 0 0 0 0 0 0 0 0 0 0 0 19 16 16 23 10 16
 5.450000E+01 3 0 0 0 0 0 0 0 0 0 0 0 21 15 15 17 10 16
 5.500000E+01 8 0 0 0 0 0 0 0 0 0 0 0 20 16 16 14 15 20
 5.550000E+01 10 0 0 0 0 0 0 0 0 0 0 0 16 17 13 19 16 15
 5.600000E+01 5 0 0 0 0 0 0 0 0 0 0 0 16 17 14 10 26 12
 5.650000E+01 8 0 0 0 0 0 0 0 0 0 0 0 11 22 17 12 13 16
 5.700000E+01 8 0 0 0 0 0 0 0 0 0 0 0 14 19 18 11 13 16
 5.750000E+01 5 0 0 0 0 0 0 1 0 0 0 0 19 18 17 12 15 12
 5.800000E+01 10 0 0 0 0 0 0 0 0 2 0 0 24 16 15 12 18 13
 5.850000E+01 6 0 0 0 0 0 0 1 0 1 0 0 22 9 15 13 19 12
 5.900000E+01 5 0 0 0 0 0 0 0 0 2 0 0 14 11 21 14 16 16
