Time	CDK5(a!1), D(s!1, thr34~u, ser137~p, thr75~u).ParticleNumber	CDK5(a!1), D(s!1, thr34~u, ser137~u, thr75~u).ParticleNumber	CDK5(a).ParticleNumber	CK1(pSite~p).ParticleNumber	CK1(pSite~u).ParticleNumber	Ca2+(a!1), CK1(pSite~p!2), PP2B(ca1!1, ca2!3, ca3!4, ca4!5, state~a!2), Ca2+(a!5), Ca2+(a!4), Ca2+(a!3).ParticleNumber	Ca2+(a!1), D(s!2, thr34~u, ser137~p, thr75~p), PP2A(ca!1, pSite~u!2).ParticleNumber	Ca2+(a!1), D(s!2, thr34~u, ser137~u, thr75~p), PP2A(ca!1, pSite~u!2).ParticleNumber	Ca2+(a!1), PP2A(ca!1, pSite~u).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2!1, ca3, ca4, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2!3, ca3!4, ca4!1, state~a), Ca2+(a!4), Ca2+(a!3), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2, ca3!1, ca4, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2, ca3, ca4!1, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1, ca2!2, ca3!1, ca4, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1, ca2!2, ca3, ca4!1, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1, ca2, ca3!2, ca4!1, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a).ParticleNumber	D(s!1, thr34~u, ser137~p, thr75~p), PP2A(ca, pSite~u!1).ParticleNumber	D(s!1, thr34~u, ser137~p, thr75~p), PP2C(a!1).ParticleNumber	D(s!1, thr34~u, ser137~p, thr75~u), PP2C(a!1).ParticleNumber	D(s!1, thr34~u, ser137~u, thr75~p), CK1(pSite~u!1).ParticleNumber	D(s!1, thr34~u, ser137~u, thr75~p), PP2A(ca, pSite~u!1).ParticleNumber	D(s!1, thr34~u, ser137~u, thr75~u), CK1(pSite~u!1).ParticleNumber	D(s, thr34~u, ser137~p, thr75~p).ParticleNumber	D(s, thr34~u, ser137~p, thr75~u).ParticleNumber	D(s, thr34~u, ser137~u, thr75~p).ParticleNumber	D(s, thr34~u, ser137~u, thr75~u).ParticleNumber	PDE(pSite~u).ParticleNumber	PP2A(ca, pSite~u).ParticleNumber	PP2B(ca1, ca2, ca3, ca4, state~i).ParticleNumber	PP2C(a).ParticleNumber	R2C2(camp1, camp2, camp3, camp4, pka1~off, pka2~off).ParticleNumber
105	2.6604e+24	3.60791e+25	3.35262e+25	4.72421e+25	5.23452e+24	8.73721e+23	4.08446e+21	5.53904e+22	1.50414e+23	1.05352e+25	6.70724e+24	1.05352e+25	1.05352e+25	1.05352e+25	1.05352e+25	1.05352e+25	5.28341e+24	7.94071e+23	2.42823e+24	4.39498e+24	2.44523e+24	1.07682e+25	4.42581e+24	4.25915e+25	7.70886e+25	5.77552e+26	1.04536e+27	7.25066e+26	6.04935e+25	4.96509e+25	4.13539e+25	2.40886e+27
105.5	2.66187e+24	3.60776e+25	3.35263e+25	4.7238e+25	5.23631e+24	8.73987e+23	4.08733e+21	5.53963e+22	1.50437e+23	1.05362e+25	6.70987e+24	1.05362e+25	1.05362e+25	1.05362e+25	1.05362e+25	1.05362e+25	5.28416e+24	7.94508e+23	2.42938e+24	4.39706e+24	2.44596e+24	1.07677e+25	4.42714e+24	4.26149e+25	7.71309e+25	5.77527e+26	1.04531e+27	7.25066e+26	6.04935e+25	4.96415e+25	4.13507e+25	2.40886e+27
106	2.6633e+24	3.60761e+25	3.35263e+25	4.7234e+25	5.23806e+24	8.74247e+23	4.09013e+21	5.54021e+22	1.50459e+23	1.05373e+25	6.71243e+24	1.05373e+25	1.05373e+25	1.05373e+25	1.05373e+25	1.05373e+25	5.28489e+24	7.94935e+23	2.4305e+24	4.39908e+24	2.44668e+24	1.07673e+25	4.42843e+24	4.26378e+25	7.71722e+25	5.77503e+26	1.04526e+27	7.25066e+26	6.04935e+25	4.96323e+25	4.13475e+25	2.40886e+27
106.5	2.6647e+24	3.60746e+25	3.35264e+25	4.72301e+25	5.23977e+24	8.745e+23	4.09286e+21	5.54078e+22	1.5048e+23	1.05383e+25	6.71493e+24	1.05383e+25	1.05383e+25	1.05383e+25	1.05383e+25	1.05383e+25	5.28561e+24	7.95351e+23	2.4316e+24	4.40106e+24	2.44738e+24	1.07668e+25	4.42969e+24	4.26601e+25	7.72124e+25	5.77479e+26	1.04522e+27	7.25066e+26	6.04935e+25	4.96234e+25	4.13445e+25	2.40886e+27
107	2.66607e+24	3.60732e+25	3.35264e+25	4.72263e+25	5.24143e+24	8.74748e+23	4.09552e+21	5.54133e+22	1.50501e+23	1.05393e+25	6.71737e+24	1.05393e+25	1.05393e+25	1.05393e+25	1.05393e+25	1.05393e+25	5.28631e+24	7.95757e+23	2.43266e+24	4.40299e+24	2.44806e+24	1.07664e+25	4.43092e+24	4.26818e+25	7.72517e+25	5.77456e+26	1.04518e+27	7.25066e+26	6.04935e+25	4.96147e+25	4.13415e+25	2.40886e+27
107.5	2.6674e+24	3.60718e+25	3.35265e+25	4.72225e+25	5.24305e+24	8.74989e+23	4.09812e+21	5.54187e+22	1.50522e+23	1.05403e+25	6.71974e+24	1.05403e+25	1.05403e+25	1.05403e+25	1.05403e+25	1.05403e+25	5.28699e+24	7.96153e+23	2.4337e+24	4.40487e+24	2.44873e+24	1.0766e+25	4.43211e+24	4.2703e+25	7.729e+25	5.77434e+26	1.04513e+27	7.25066e+26	6.04935e+25	4.96062e+25	4.13386e+25	2.40886e+27
108	2.6687e+24	3.60704e+25	3.35265e+25	4.72189e+25	5.24463e+24	8.75224e+23	4.10066e+21	5.54239e+22	1.50542e+23	1.05413e+25	6.72206e+24	1.05413e+25	1.05413e+25	1.05413e+25	1.05413e+25	1.05413e+25	5.28765e+24	7.96539e+23	2.43472e+24	4.4067e+24	2.44938e+24	1.07656e+25	4.43328e+24	4.27237e+25	7.73274e+25	5.77412e+26	1.04509e+27	7.25066e+26	6.04935e+25	4.95979e+25	4.13357e+25	2.40886e+27
108.5	2.66997e+24	3.60691e+25	3.35266e+25	4.72154e+25	5.24618e+24	8.75453e+23	4.10313e+21	5.5429e+22	1.50561e+23	1.05422e+25	6.72433e+24	1.05422e+25	1.05422e+25	1.05422e+25	1.05422e+25	1.05422e+25	5.2883e+24	7.96916e+23	2.43571e+24	4.40849e+24	2.45001e+24	1.07652e+25	4.43442e+24	4.27439e+25	7.73639e+25	5.77391e+26	1.04505e+27	7.25066e+26	6.04935e+25	4.95898e+25	4.13329e+25	2.40886e+27
109	2.6712e+24	3.60678e+25	3.35267e+25	4.72119e+25	5.24768e+24	8.75677e+23	4.10555e+21	5.5434e+22	1.5058e+23	1.05431e+25	6.72653e+24	1.05431e+25	1.05431e+25	1.05431e+25	1.05431e+25	1.05431e+25	5.28893e+24	7.97284e+23	2.43668e+24	4.41023e+24	2.45063e+24	1.07648e+25	4.43553e+24	4.27636e+25	7.73995e+25	5.7737e+26	1.04502e+27	7.25066e+26	6.04935e+25	4.95819e+25	4.13302e+25	2.40886e+27
109.5	2.67241e+24	3.60666e+25	3.35267e+25	4.72085e+25	5.24915e+24	8.75895e+23	4.1079e+21	5.54389e+22	1.50598e+23	1.0544e+25	6.72868e+24	1.0544e+25	1.0544e+25	1.0544e+25	1.0544e+25	1.0544e+25	5.28955e+24	7.97643e+23	2.43762e+24	4.41193e+24	2.45123e+24	1.07644e+25	4.43661e+24	4.27829e+25	7.74342e+25	5.7735e+26	1.04498e+27	7.25066e+26	6.04935e+25	4.95742e+25	4.13276e+25	2.40886e+27
110	2.67359e+24	3.60653e+25	3.35268e+25	4.72052e+25	5.25058e+24	8.76107e+23	4.1102e+21	5.54436e+22	1.50616e+23	1.05449e+25	6.73078e+24	1.05449e+25	1.05449e+25	1.05449e+25	1.05449e+25	1.05449e+25	5.29015e+24	7.97993e+23	2.43854e+24	4.41359e+24	2.45181e+24	1.0764e+25	4.43767e+24	4.28016e+25	7.74681e+25	5.7733e+26	1.04494e+27	7.25066e+26	6.04935e+25	4.95667e+25	4.1325e+25	2.40886e+27
110.5	2.67473e+24	3.60642e+25	3.35268e+25	4.7202e+25	5.25197e+24	8.76315e+23	4.11244e+21	5.54482e+22	1.50634e+23	1.05457e+25	6.73283e+24	1.05457e+25	1.05457e+25	1.05457e+25	1.05457e+25	1.05457e+25	5.29073e+24	7.98335e+23	2.43944e+24	4.41521e+24	2.45238e+24	1.07637e+25	4.4387e+24	4.28199e+25	7.75011e+25	5.77311e+26	1.0449e+27	7.25066e+26	6.04935e+25	4.95594e+25	4.13225e+25	2.40886e+27
111	2.67585e+24	3.6063e+25	3.35269e+25	4.71989e+25	5.25333e+24	8.76517e+23	4.11463e+21	5.54527e+22	1.50651e+23	1.05465e+25	6.73483e+24	1.05465e+25	1.05465e+25	1.05465e+25	1.05465e+25	1.05465e+25	5.2913e+24	7.98668e+23	2.44031e+24	4.41679e+24	2.45294e+24	1.07633e+25	4.4397e+24	4.28377e+25	7.75333e+25	5.77292e+26	1.04487e+27	7.25066e+26	6.04935e+25	4.95523e+25	4.132e+25	2.40886e+27
111.5	2.67695e+24	3.60618e+25	3.35269e+25	4.71959e+25	5.25466e+24	8.76714e+23	4.11676e+21	5.54571e+22	1.50668e+23	1.05473e+25	6.73677e+24	1.05473e+25	1.05473e+25	1.05473e+25	1.05473e+25	1.05473e+25	5.29186e+24	7.98993e+23	2.44116e+24	4.41833e+24	2.45348e+24	1.0763e+25	4.44068e+24	4.28551e+25	7.75648e+25	5.77274e+26	1.04483e+27	7.25066e+26	6.04935e+25	4.95454e+25	4.13176e+25	2.40886e+27
112	2.67801e+24	3.60607e+25	3.35269e+25	4.71929e+25	5.25595e+24	8.76906e+23	4.11885e+21	5.54614e+22	1.50684e+23	1.05481e+25	6.73867e+24	1.05481e+25	1.05481e+25	1.05481e+25	1.05481e+25	1.05481e+25	5.2924e+24	7.9931e+23	2.44199e+24	4.41983e+24	2.45401e+24	1.07626e+25	4.44163e+24	4.28721e+25	7.75954e+25	5.77256e+26	1.0448e+27	7.25066e+26	6.04935e+25	4.95386e+25	4.13153e+25	2.40886e+27
112.5	2.67905e+24	3.60596e+25	3.3527e+25	4.719e+25	5.25721e+24	8.77094e+23	4.12088e+21	5.54656e+22	1.507e+23	1.05489e+25	6.74052e+24	1.05489e+25	1.05489e+25	1.05489e+25	1.05489e+25	1.05489e+25	5.29293e+24	7.99619e+23	2.44281e+24	4.4213e+24	2.45453e+24	1.07623e+25	4.44256e+24	4.28887e+25	7.76253e+25	5.77238e+26	1.04477e+27	7.25066e+26	6.04935e+25	4.9532e+25	4.1313e+25	2.40886e+27
113	2.68007e+24	3.60586e+25	3.3527e+25	4.71872e+25	5.25844e+24	8.77276e+23	4.12286e+21	5.54696e+22	1.50716e+23	1.05496e+25	6.74233e+24	1.05496e+25	1.05496e+25	1.05496e+25	1.05496e+25	1.05496e+25	5.29345e+24	7.9992e+23	2.4436e+24	4.42273e+24	2.45503e+24	1.0762e+25	4.44347e+24	4.29048e+25	7.76545e+25	5.77221e+26	1.04474e+27	7.25066e+26	6.04935e+25	4.95255e+25	4.13108e+25	2.40886e+27
113.5	2.68105e+24	3.60576e+25	3.35271e+25	4.71844e+25	5.25964e+24	8.77455e+23	4.12479e+21	5.54736e+22	1.50731e+23	1.05503e+25	6.74409e+24	1.05503e+25	1.05503e+25	1.05503e+25	1.05503e+25	1.05503e+25	5.29395e+24	8.00215e+23	2.44437e+24	4.42412e+24	2.45553e+24	1.07617e+25	4.44435e+24	4.29206e+25	7.7683e+25	5.77205e+26	1.04471e+27	7.25066e+26	6.04935e+25	4.95193e+25	4.13086e+25	2.40886e+27
114	2.68202e+24	3.60566e+25	3.35271e+25	4.71817e+25	5.26081e+24	8.77629e+23	4.12668e+21	5.54775e+22	1.50745e+23	1.0551e+25	6.74581e+24	1.0551e+25	1.0551e+25	1.0551e+25	1.0551e+25	1.0551e+25	5.29445e+24	8.00502e+23	2.44512e+24	4.42548e+24	2.456e+24	1.07614e+25	4.44522e+24	4.2936e+25	7.77107e+25	5.77188e+26	1.04468e+27	7.25066e+26	6.04935e+25	4.95131e+25	4.13065e+25	2.40886e+27
114.5	2.68296e+24	3.60556e+25	3.35272e+25	4.71791e+25	5.26195e+24	8.77798e+23	4.12852e+21	5.54812e+22	1.5076e+23	1.05517e+25	6.74748e+24	1.05517e+25	1.05517e+25	1.05517e+25	1.05517e+25	1.05517e+25	5.29492e+24	8.00781e+23	2.44586e+24	4.42681e+24	2.45647e+24	1.07611e+25	4.44606e+24	4.2951e+25	7.77378e+25	5.77173e+26	1.04465e+27	7.25066e+26	6.04934e+25	4.95072e+25	4.13045e+25	2.40886e+27
115	2.68388e+24	3.60546e+25	3.35272e+25	4.71766e+25	5.26307e+24	8.77963e+23	4.13031e+21	5.54849e+22	1.50774e+23	1.05524e+25	6.74912e+24	1.05524e+25	1.05524e+25	1.05524e+25	1.05524e+25	1.05524e+25	5.29539e+24	8.01054e+23	2.44657e+24	4.4281e+24	2.45693e+24	1.07608e+25	4.44688e+24	4.29656e+25	7.77642e+25	5.77157e+26	1.04462e+27	7.25066e+26	6.04934e+25	4.95014e+25	4.13025e+25	2.40886e+27
115.5	2.68477e+24	3.60537e+25	3.35272e+25	4.71741e+25	5.26415e+24	8.78125e+23	4.13206e+21	5.54885e+22	1.50787e+23	1.0553e+25	6.75071e+24	1.0553e+25	1.0553e+25	1.0553e+25	1.0553e+25	1.0553e+25	5.29585e+24	8.01321e+23	2.44727e+24	4.42936e+24	2.45737e+24	1.07605e+25	4.44768e+24	4.29799e+25	7.779e+25	5.77142e+26	1.04459e+27	7.25066e+26	6.04934e+25	4.94957e+25	4.13005e+25	2.40886e+27
116	2.68565e+24	3.60528e+25	3.35273e+25	4.71717e+25	5.26521e+24	8.78282e+23	4.13377e+21	5.5492e+22	1.50801e+23	1.05537e+25	6.75227e+24	1.05537e+25	1.05537e+25	1.05537e+25	1.05537e+25	1.05537e+25	5.29629e+24	8.01581e+23	2.44795e+24	4.43059e+24	2.4578e+24	1.07602e+25	4.44845e+24	4.29938e+25	7.78151e+25	5.77128e+26	1.04456e+27	7.25066e+26	6.04934e+25	4.94902e+25	4.12986e+25	2.40886e+27
116.5	2.6865e+24	3.60519e+25	3.35273e+25	4.71693e+25	5.26624e+24	8.78435e+23	4.13543e+21	5.54954e+22	1.50814e+23	1.05543e+25	6.75378e+24	1.05543e+25	1.05543e+25	1.05543e+25	1.05543e+25	1.05543e+25	5.29672e+24	8.01834e+23	2.44862e+24	4.43179e+24	2.45822e+24	1.076e+25	4.44921e+24	4.30073e+25	7.78397e+25	5.77113e+26	1.04453e+27	7.25066e+26	6.04934e+25	4.94848e+25	4.12967e+25	2.40886e+27
117	2.68733e+24	3.6051e+25	3.35273e+25	4.7167e+25	5.26725e+24	8.78585e+23	4.13706e+21	5.54987e+22	1.50826e+23	1.05549e+25	6.75526e+24	1.05549e+25	1.05549e+25	1.05549e+25	1.05549e+25	1.05549e+25	5.29715e+24	8.02081e+23	2.44927e+24	4.43296e+24	2.45864e+24	1.07597e+25	4.44996e+24	4.30206e+25	7.78636e+25	5.77099e+26	1.04451e+27	7.25066e+26	6.04934e+25	4.94795e+25	4.12949e+25	2.40886e+27
117.5	2.68814e+24	3.60502e+25	3.35274e+25	4.71647e+25	5.26823e+24	8.7873e+23	4.13864e+21	5.5502e+22	1.50839e+23	1.05555e+25	6.7567e+24	1.05555e+25	1.05555e+25	1.05555e+25	1.05555e+25	1.05555e+25	5.29756e+24	8.02322e+23	2.4499e+24	4.4341e+24	2.45904e+24	1.07595e+25	4.45068e+24	4.30335e+25	7.78869e+25	5.77086e+26	1.04448e+27	7.25066e+26	6.04934e+25	4.94744e+25	4.12931e+25	2.40886e+27
118	2.68893e+24	3.60493e+25	3.35274e+25	4.71625e+25	5.26918e+24	8.78872e+23	4.14019e+21	5.55051e+22	1.50851e+23	1.05561e+25	6.7581e+24	1.05561e+25	1.05561e+25	1.05561e+25	1.05561e+25	1.05561e+25	5.29796e+24	8.02557e+23	2.45051e+24	4.43522e+24	2.45943e+24	1.07592e+25	4.45138e+24	4.30461e+25	7.79096e+25	5.77072e+26	1.04446e+27	7.25066e+26	6.04934e+25	4.94694e+25	4.12914e+25	2.40886e+27
118.5	2.6897e+24	3.60485e+25	3.35274e+25	4.71604e+25	5.27012e+24	8.79011e+23	4.1417e+21	5.55082e+22	1.50862e+23	1.05566e+25	6.75948e+24	1.05566e+25	1.05566e+25	1.05566e+25	1.05566e+25	1.05566e+25	5.29835e+24	8.02787e+23	2.45112e+24	4.4363e+24	2.45981e+24	1.0759e+25	4.45207e+24	4.30584e+25	7.79318e+25	5.77059e+26	1.04443e+27	7.25066e+26	6.04934e+25	4.94645e+25	4.12897e+25	2.40886e+27
119	2.69045e+24	3.60478e+25	3.35275e+25	4.71583e+25	5.27102e+24	8.79146e+23	4.14317e+21	5.55112e+22	1.50874e+23	1.05572e+25	6.76081e+24	1.05572e+25	1.05572e+25	1.05572e+25	1.05572e+25	1.05572e+25	5.29873e+24	8.0301e+23	2.4517e+24	4.43736e+24	2.46018e+24	1.07587e+25	4.45274e+24	4.30704e+25	7.79535e+25	5.77047e+26	1.04441e+27	7.25066e+26	6.04934e+25	4.94597e+25	4.12881e+25	2.40886e+27
119.5	2.69119e+24	3.6047e+25	3.35275e+25	4.71563e+25	5.27191e+24	8.79278e+23	4.1446e+21	5.55141e+22	1.50885e+23	1.05577e+25	6.76212e+24	1.05577e+25	1.05577e+25	1.05577e+25	1.05577e+25	1.05577e+25	5.2991e+24	8.03228e+23	2.45227e+24	4.43839e+24	2.46054e+24	1.07585e+25	4.45339e+24	4.3082e+25	7.79746e+25	5.77035e+26	1.04439e+27	7.25066e+26	6.04934e+25	4.94551e+25	4.12865e+25	2.40886e+27
120	2.6919e+24	3.60462e+25	3.35275e+25	4.71543e+25	5.27278e+24	8.79406e+23	4.146e+21	5.5517e+22	1.50896e+23	1.05582e+25	6.76339e+24	1.05582e+25	1.05582e+25	1.05582e+25	1.05582e+25	1.05582e+25	5.29947e+24	8.03441e+23	2.45283e+24	4.4394e+24	2.4609e+24	1.07583e+25	4.45403e+24	4.30934e+25	7.79951e+25	5.77023e+26	1.04436e+27	7.25066e+26	6.04934e+25	4.94506e+25	4.12849e+25	2.40886e+27
120.5	2.6926e+24	3.60455e+25	3.35276e+25	4.71524e+25	5.27362e+24	8.79532e+23	4.14737e+21	5.55198e+22	1.50907e+23	1.05587e+25	6.76463e+24	1.05587e+25	1.05587e+25	1.05587e+25	1.05587e+25	1.05587e+25	5.29982e+24	8.03649e+23	2.45338e+24	4.44038e+24	2.46124e+24	1.07581e+25	4.45465e+24	4.31046e+25	7.80152e+25	5.77011e+26	1.04434e+27	7.25066e+26	6.04934e+25	4.94462e+25	4.12834e+25	2.40886e+27
121	2.69328e+24	3.60448e+25	3.35276e+25	4.71505e+25	5.27444e+24	8.79654e+23	4.1487e+21	5.55225e+22	1.50917e+23	1.05592e+25	6.76583e+24	1.05592e+25	1.05592e+25	1.05592e+25	1.05592e+25	1.05592e+25	5.30017e+24	8.03851e+23	2.45391e+24	4.44134e+24	2.46158e+24	1.07578e+25	4.45525e+24	4.31154e+25	7.80348e+25	5.76999e+26	1.04432e+27	7.25066e+26	6.04934e+25	4.94419e+25	4.12819e+25	2.40886e+27
121.5	2.69394e+24	3.60441e+25	3.35276e+25	4.71486e+25	5.27524e+24	8.79773e+23	4.15e+21	5.55251e+22	1.50927e+23	1.05597e+25	6.76701e+24	1.05597e+25	1.05597e+25	1.05597e+25	1.05597e+25	1.05597e+25	5.3005e+24	8.04048e+23	2.45442e+24	4.44227e+24	2.46191e+24	1.07576e+25	4.45584e+24	4.3126e+25	7.80539e+25	5.76988e+26	1.0443e+27	7.25066e+26	6.04934e+25	4.94377e+25	4.12804e+25	2.40886e+27
122	2.69459e+24	3.60434e+25	3.35277e+25	4.71468e+25	5.27602e+24	8.79889e+23	4.15126e+21	5.55277e+22	1.50937e+23	1.05602e+25	6.76816e+24	1.05602e+25	1.05602e+25	1.05602e+25	1.05602e+25	1.05602e+25	5.30083e+24	8.04241e+23	2.45493e+24	4.44318e+24	2.46223e+24	1.07574e+25	4.45642e+24	4.31363e+25	7.80725e+25	5.76977e+26	1.04428e+27	7.25066e+26	6.04934e+25	4.94336e+25	4.1279e+25	2.40886e+27
122.5	2.69522e+24	3.60428e+25	3.35277e+25	4.71451e+25	5.27679e+24	8.80002e+23	4.1525e+21	5.55302e+22	1.50947e+23	1.05606e+25	6.76928e+24	1.05606e+25	1.05606e+25	1.05606e+25	1.05606e+25	1.05606e+25	5.30115e+24	8.04429e+23	2.45542e+24	4.44407e+24	2.46254e+24	1.07572e+25	4.45698e+24	4.31463e+25	7.80907e+25	5.76967e+26	1.04426e+27	7.25066e+26	6.04934e+25	4.94296e+25	4.12776e+25	2.40886e+27
123	2.69584e+24	3.60421e+25	3.35277e+25	4.71434e+25	5.27753e+24	8.80113e+23	4.1537e+21	5.55327e+22	1.50956e+23	1.05611e+25	6.77038e+24	1.05611e+25	1.05611e+25	1.05611e+25	1.05611e+25	1.05611e+25	5.30146e+24	8.04612e+23	2.4559e+24	4.44494e+24	2.46284e+24	1.0757e+25	4.45753e+24	4.31561e+25	7.81084e+25	5.76956e+26	1.04424e+27	7.25066e+26	6.04934e+25	4.94258e+25	4.12763e+25	2.40886e+27
123.5	2.69644e+24	3.60415e+25	3.35277e+25	4.71417e+25	5.27825e+24	8.80221e+23	4.15488e+21	5.5535e+22	1.50965e+23	1.05615e+25	6.77144e+24	1.05615e+25	1.05615e+25	1.05615e+25	1.05615e+25	1.05615e+25	5.30177e+24	8.0479e+23	2.45637e+24	4.44578e+24	2.46314e+24	1.07569e+25	4.45806e+24	4.31657e+25	7.81257e+25	5.76946e+26	1.04422e+27	7.25066e+26	6.04934e+25	4.9422e+25	4.1275e+25	2.40886e+27
124	2.69702e+24	3.60409e+25	3.35278e+25	4.71401e+25	5.27896e+24	8.80326e+23	4.15602e+21	5.55374e+22	1.50974e+23	1.0562e+25	6.77248e+24	1.0562e+25	1.0562e+25	1.0562e+25	1.0562e+25	1.0562e+25	5.30206e+24	8.04965e+23	2.45682e+24	4.44661e+24	2.46343e+24	1.07567e+25	4.45858e+24	4.3175e+25	7.81425e+25	5.76937e+26	1.0442e+27	7.25066e+26	6.04934e+25	4.94183e+25	4.12737e+25	2.40886e+27
124.5	2.69759e+24	3.60403e+25	3.35278e+25	4.71385e+25	5.27965e+24	8.80428e+23	4.15714e+21	5.55396e+22	1.50983e+23	1.05624e+25	6.77349e+24	1.05624e+25	1.05624e+25	1.05624e+25	1.05624e+25	1.05624e+25	5.30235e+24	8.05134e+23	2.45727e+24	4.44741e+24	2.46371e+24	1.07565e+25	4.45909e+24	4.31841e+25	7.8159e+25	5.76927e+26	1.04419e+27	7.25066e+26	6.04934e+25	4.94147e+25	4.12725e+25	2.40886e+27
125	2.69815e+24	3.60397e+25	3.35278e+25	4.7137e+25	5.28032e+24	8.80528e+23	4.15823e+21	5.55419e+22	1.50991e+23	1.05628e+25	6.77448e+24	1.05628e+25	1.05628e+25	1.05628e+25	1.05628e+25	1.05628e+25	5.30263e+24	8.053e+23	2.4577e+24	4.44819e+24	2.46398e+24	1.07563e+25	4.45958e+24	4.3193e+25	7.8175e+25	5.76918e+26	1.04417e+27	7.25066e+26	6.04934e+25	4.94112e+25	4.12712e+25	2.40886e+27
125.5	2.69869e+24	3.60392e+25	3.35278e+25	4.71355e+25	5.28098e+24	8.80625e+23	4.15929e+21	5.5544e+22	1.50999e+23	1.05632e+25	6.77545e+24	1.05632e+25	1.05632e+25	1.05632e+25	1.05632e+25	1.05632e+25	5.30291e+24	8.05462e+23	2.45812e+24	4.44896e+24	2.46425e+24	1.07561e+25	4.46006e+24	4.32017e+25	7.81906e+25	5.76909e+26	1.04415e+27	7.25066e+26	6.04934e+25	4.94078e+25	4.127e+25	2.40886e+27
126	2.69922e+24	3.60386e+25	3.35279e+25	4.7134e+25	5.28162e+24	8.8072e+23	4.16033e+21	5.55461e+22	1.51007e+23	1.05635e+25	6.77639e+24	1.05635e+25	1.05635e+25	1.05635e+25	1.05635e+25	1.05635e+25	5.30318e+24	8.05619e+23	2.45854e+24	4.4497e+24	2.46451e+24	1.0756e+25	4.46053e+24	4.32101e+25	7.82058e+25	5.769e+26	1.04413e+27	7.25066e+26	6.04934e+25	4.94044e+25	4.12689e+25	2.40886e+27
126.5	2.69974e+24	3.60381e+25	3.35279e+25	4.71326e+25	5.28224e+24	8.80813e+23	4.16134e+21	5.55482e+22	1.51015e+23	1.05639e+25	6.7773e+24	1.05639e+25	1.05639e+25	1.05639e+25	1.05639e+25	1.05639e+25	5.30344e+24	8.05773e+23	2.45894e+24	4.45043e+24	2.46477e+24	1.07558e+25	4.46099e+24	4.32183e+25	7.82207e+25	5.76891e+26	1.04412e+27	7.25066e+26	6.04934e+25	4.94012e+25	4.12678e+25	2.40886e+27
127	2.70024e+24	3.60375e+25	3.35279e+25	4.71312e+25	5.28285e+24	8.80903e+23	4.16233e+21	5.55502e+22	1.51023e+23	1.05643e+25	6.7782e+24	1.05643e+25	1.05643e+25	1.05643e+25	1.05643e+25	1.05643e+25	5.30369e+24	8.05923e+23	2.45933e+24	4.45114e+24	2.46501e+24	1.07557e+25	4.46144e+24	4.32264e+25	7.82352e+25	5.76883e+26	1.0441e+27	7.25066e+26	6.04934e+25	4.9398e+25	4.12667e+25	2.40886e+27
127.5	2.70074e+24	3.6037e+25	3.35279e+25	4.71299e+25	5.28344e+24	8.80991e+23	4.16329e+21	5.55521e+22	1.5103e+23	1.05646e+25	6.77907e+24	1.05646e+25	1.05646e+25	1.05646e+25	1.05646e+25	1.05646e+25	5.30394e+24	8.06069e+23	2.45971e+24	4.45183e+24	2.46526e+24	1.07555e+25	4.46187e+24	4.32342e+25	7.82493e+25	5.76874e+26	1.04409e+27	7.25066e+26	6.04934e+25	4.93949e+25	4.12656e+25	2.40886e+27
128	2.70121e+24	3.60365e+25	3.35279e+25	4.71285e+25	5.28402e+24	8.81077e+23	4.16423e+21	5.5554e+22	1.51038e+23	1.0565e+25	6.77992e+24	1.0565e+25	1.0565e+25	1.0565e+25	1.0565e+25	1.0565e+25	5.30418e+24	8.06211e+23	2.46009e+24	4.4525e+24	2.46549e+24	1.07554e+25	4.4623e+24	4.32418e+25	7.82631e+25	5.76866e+26	1.04407e+27	7.25066e+26	6.04934e+25	4.93919e+25	4.12645e+25	2.40886e+27
128.5	2.70168e+24	3.60361e+25	3.3528e+25	4.71272e+25	5.28458e+24	8.8116e+23	4.16514e+21	5.55559e+22	1.51045e+23	1.05653e+25	6.78074e+24	1.05653e+25	1.05653e+25	1.05653e+25	1.05653e+25	1.05653e+25	5.30442e+24	8.0635e+23	2.46045e+24	4.45316e+24	2.46572e+24	1.07552e+25	4.46271e+24	4.32493e+25	7.82766e+25	5.76858e+26	1.04406e+27	7.25066e+26	6.04934e+25	4.9389e+25	4.12635e+25	2.40886e+27
