Time	CDK5(a!1), D(s!1, thr34~u, ser137~p, thr75~u).ParticleNumber	CDK5(a!1), D(s!1, thr34~u, ser137~u, thr75~u).ParticleNumber	CDK5(a).ParticleNumber	CK1(pSite~p).ParticleNumber	CK1(pSite~u).ParticleNumber	Ca2+(a!1), CK1(pSite~p!2), PP2B(ca1!1, ca2!3, ca3!4, ca4!5, state~a!2), Ca2+(a!5), Ca2+(a!4), Ca2+(a!3).ParticleNumber	Ca2+(a!1), D(s!2, thr34~u, ser137~p, thr75~p), PP2A(ca!1, pSite~u!2).ParticleNumber	Ca2+(a!1), D(s!2, thr34~u, ser137~u, thr75~p), PP2A(ca!1, pSite~u!2).ParticleNumber	Ca2+(a!1), PP2A(ca!1, pSite~u).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2!1, ca3, ca4, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2!3, ca3!4, ca4!1, state~a), Ca2+(a!4), Ca2+(a!3), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2, ca3!1, ca4, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2, ca3, ca4!1, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1, ca2!2, ca3!1, ca4, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1, ca2!2, ca3, ca4!1, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1, ca2, ca3!2, ca4!1, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a).ParticleNumber	D(s!1, thr34~u, ser137~p, thr75~p), PP2A(ca, pSite~u!1).ParticleNumber	D(s!1, thr34~u, ser137~p, thr75~p), PP2C(a!1).ParticleNumber	D(s!1, thr34~u, ser137~p, thr75~u), PP2C(a!1).ParticleNumber	D(s!1, thr34~u, ser137~u, thr75~p), CK1(pSite~u!1).ParticleNumber	D(s!1, thr34~u, ser137~u, thr75~p), PP2A(ca, pSite~u!1).ParticleNumber	D(s!1, thr34~u, ser137~u, thr75~u), CK1(pSite~u!1).ParticleNumber	D(s, thr34~u, ser137~p, thr75~p).ParticleNumber	D(s, thr34~u, ser137~p, thr75~u).ParticleNumber	D(s, thr34~u, ser137~u, thr75~p).ParticleNumber	D(s, thr34~u, ser137~u, thr75~u).ParticleNumber	PDE(pSite~u).ParticleNumber	PP2A(ca, pSite~u).ParticleNumber	PP2B(ca1, ca2, ca3, ca4, state~i).ParticleNumber	PP2C(a).ParticleNumber	R2C2(camp1, camp2, camp3, camp4, pka1~off, pka2~off).ParticleNumber
5	2.89121e+24	3.90421e+25	3.03324e+25	5.28644e+25	3.11629e+24	2.86074e+22	9.48319e+20	1.31587e+22	5.53053e+22	2.51304e+24	1.98947e+23	2.51304e+24	2.51304e+24	2.51304e+24	2.51304e+24	2.51304e+24	1.92598e+24	5.35097e+23	1.53657e+24	5.28348e+24	9.68628e+23	7.4378e+24	3.24347e+24	2.70696e+25	9.21339e+25	3.76932e+26	1.24955e+27	7.25066e+26	6.42234e+25	1.05137e+26	4.13571e+25	2.40886e+27
5.5	2.7754e+24	3.88833e+25	3.0607e+25	5.41754e+25	2.553e+24	3.4739e+22	1.00673e+21	1.44551e+22	5.74784e+22	2.72922e+24	2.35381e+23	2.72922e+24	2.72922e+24	2.72922e+24	2.72922e+24	2.72922e+24	2.00416e+24	5.42581e+23	1.57659e+24	5.04871e+24	8.37981e+23	7.80844e+24	2.62032e+24	2.75865e+25	8.75623e+25	3.97915e+26	1.23347e+27	7.25066e+26	6.38417e+25	1.03797e+26	4.15518e+25	2.40886e+27
6	2.64667e+24	3.87601e+25	3.08589e+25	5.52152e+25	2.10586e+24	4.13046e+22	1.04888e+21	1.57083e+22	5.95192e+22	2.93929e+24	2.74252e+23	2.93929e+24	2.93929e+24	2.93929e+24	2.93929e+24	2.93929e+24	2.07923e+24	5.42404e+23	1.5948e+24	4.8007e+24	7.24527e+23	8.14523e+24	2.13449e+24	2.77044e+25	8.27546e+25	4.17158e+26	1.21966e+27	7.25066e+26	6.35018e+25	1.02492e+26	4.17816e+25	2.40886e+27
6.5	2.51077e+24	3.86654e+25	3.10895e+25	5.60352e+25	1.75297e+24	4.8264e+22	1.07642e+21	1.69197e+22	6.14542e+22	3.14348e+24	3.15441e+23	3.14348e+24	3.14348e+24	3.14348e+24	3.14348e+24	3.14348e+24	2.15152e+24	5.36046e+23	1.59456e+24	4.54715e+24	6.28239e+23	8.45171e+24	1.75671e+24	2.74943e+25	7.78744e+25	4.34808e+26	1.20776e+27	7.25066e+26	6.31985e+25	1.01218e+26	4.20354e+25	2.40886e+27
7	2.37204e+24	3.85932e+25	3.13005e+25	5.66767e+25	1.47655e+24	5.5581e+22	1.09113e+21	1.80907e+22	6.33029e+22	3.342e+24	3.58835e+23	3.342e+24	3.342e+24	3.342e+24	3.342e+24	3.342e+24	2.2213e+24	5.24845e+23	1.57906e+24	4.29371e+24	5.4826e+23	8.73088e+24	1.46428e+24	2.70223e+25	7.30397e+25	4.50996e+26	1.19746e+27	7.25066e+26	6.29275e+25	9.99764e+25	4.23044e+25	2.40886e+27
7.5	2.23374e+24	3.85388e+25	3.14932e+25	5.71733e+25	1.26212e+24	6.3223e+22	1.0949e+21	1.92225e+22	6.50797e+22	3.53507e+24	4.04322e+23	3.53507e+24	3.53507e+24	3.53507e+24	3.53507e+24	3.53507e+24	2.28878e+24	5.09984e+23	1.55125e+24	4.04456e+24	4.83287e+23	8.98527e+24	1.23945e+24	2.63481e+25	6.83343e+25	4.65836e+26	1.18852e+27	7.25066e+26	6.2685e+25	9.87649e+25	4.25813e+25	2.40886e+27
8	2.0983e+24	3.84983e+25	3.16691e+25	5.7552e+25	1.09801e+24	7.11607e+22	1.08955e+21	2.03161e+22	6.67953e+22	3.72285e+24	4.51799e+23	3.72285e+24	3.72285e+24	3.72285e+24	3.72285e+24	3.72285e+24	2.35416e+24	4.92482e+23	1.51381e+24	3.80273e+24	4.31827e+23	9.21713e+24	1.06837e+24	2.55239e+25	6.3816e+25	4.79432e+26	1.18073e+27	7.25066e+26	6.24679e+25	9.75828e+25	4.28606e+25	2.40886e+27
8.5	1.96748e+24	3.84687e+25	3.18295e+25	5.78348e+25	9.7475e+23	7.93678e+22	1.07679e+21	2.13725e+22	6.84581e+22	3.90552e+24	5.0116e+23	3.90552e+24	3.90552e+24	3.90552e+24	3.90552e+24	3.90552e+24	2.41759e+24	4.73207e+23	1.46913e+24	3.57043e+24	3.92344e+23	9.4284e+24	9.40183e+23	2.45951e+25	5.95238e+25	4.91878e+26	1.17391e+27	7.25066e+26	6.22732e+25	9.64292e+25	4.31376e+25	2.40886e+27
9	1.84254e+24	3.84476e+25	3.19756e+25	5.80392e+25	8.84707e+23	8.78201e+22	1.05822e+21	2.23927e+22	7.00746e+22	4.08324e+24	5.52306e+23	4.08324e+24	4.08324e+24	4.08324e+24	4.08324e+24	4.08324e+24	2.47922e+24	4.52878e+23	1.41932e+24	3.34922e+24	3.6336e+23	9.62083e+24	8.46316e+23	2.35998e+25	5.54818e+25	5.03261e+26	1.16793e+27	7.25066e+26	6.20985e+25	9.53032e+25	4.34086e+25	2.40886e+27
9.5	1.72432e+24	3.84327e+25	3.21087e+25	5.81797e+25	8.21707e+23	9.64959e+22	1.03525e+21	2.33778e+22	7.16497e+22	4.25617e+24	6.05139e+23	4.25617e+24	4.25617e+24	4.25617e+24	4.25617e+24	4.25617e+24	2.53916e+24	4.32088e+23	1.36618e+24	3.14013e+24	3.43497e+23	9.79601e+24	7.8001e+23	2.25699e+25	5.17038e+25	5.13662e+26	1.16267e+27	7.25066e+26	6.19415e+25	9.42041e+25	4.36708e+25	2.40886e+27
