time, D, CDK5, D_CDK5, D75, CK1, D_CK1, D137, PKA, D_PKA, D34, D34_CDK5, D34_CK1, PP2B, D34_PP2B, D34_75, D34_137, D75CK1, D75_PKA, PP2A, D75_PP2A, PP2AP, D75_PP2AP, D75_137, D137_CDK5, D137_PKA, D137_PP2C, PP2C, D34_75_CK1, D34_137_CDK5, D34_75_137, D75_137_PKA, D34_75_PP2B, D34_137_PP2B, D34_75_137_PP2B, D34_75_PP2A, D75_137_PP2A, D34_75_137_PP2A, D34_75_PP2AP, D75_137_PP2AP, D34_75_137_PP2AP, D34_137_PP2C, D75_137_PP2C, PDE, PP2Binactive, D34_75_137_PP2C, CK1P, CK1P_PP2B, PDE_PKA, PDEP, PP2A_PKA, Ca, PP2BinactiveCa2, R2C2, cAMP, cAMP_R2C2, cAMP2_R2C2, cAMP3_R2C2, cAMP4_R2C2, cAMP4_R2C, cAMP4_R2, cAMP_PDE, AMP, cAMP_PDEP, PP2ACa, D34_75_PP2ACa, D34_75_137_PP2ACa, D75_PP2ACa, D75_137_PP2ACa, D34_75_PP2APCa, PP2APCa, D34_75_137_PP2APCa, D75_PP2APCa, D75_137_PP2APCa, PP2ACa_PKA, 
5, 3.37089e-06, 9.13296e-08, 1.02953e-07, 1.06773e-06, 3.32108e-09, 6.64216e-09, 2.98897e-07, 0, 0, 0, 0, 0, 1.66054e-09, 0, 0, 0, 3.32108e-09, 0, 1.71036e-07, 2.49081e-08, 0, 0, 6.64216e-08, 4.98162e-09, 0, 1.99265e-08, 1.02953e-07, 0, 0, 0, 0, 0, 0, 0, 0, 3.32108e-09, 0, 0, 0, 0, 0, 9.96323e-09, 1.99929e-06, 3.13842e-07, 0, 1.5277e-07, 0, 0, 0, 0, 9.96323e-09, 1.66054e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5.5, 3.28787e-06, 8.6348e-08, 1.04614e-07, 1.17068e-06, 1.66054e-09, 6.64216e-09, 2.87273e-07, 0, 0, 0, 0, 0, 3.32108e-09, 0, 0, 0, 3.32108e-09, 0, 1.87641e-07, 1.16238e-08, 0, 0, 7.63848e-08, 8.3027e-09, 0, 1.66054e-08, 1.09596e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.64216e-09, 1.99929e-06, 3.072e-07, 0, 1.5443e-07, 0, 0, 0, 0, 3.32108e-09, 2.1587e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6, 3.27292e-06, 9.13296e-08, 9.46507e-08, 1.20721e-06, 3.32108e-09, 3.32108e-09, 2.64026e-07, 0, 0, 0, 0, 0, 3.32108e-09, 0, 0, 0, 6.64216e-09, 0, 1.76017e-07, 2.1587e-08, 0, 0, 7.97059e-08, 1.32843e-08, 0, 1.32843e-08, 1.17898e-07, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 0, 0, 0, 0, 0, 1.66054e-09, 1.99929e-06, 3.0886e-07, 0, 1.5277e-07, 0, 0, 0, 0, 1.32843e-08, 1.99265e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6.5, 3.23307e-06, 8.46875e-08, 1.11256e-07, 1.25371e-06, 8.3027e-09, 4.98162e-09, 2.44099e-07, 0, 0, 0, 0, 0, 4.98162e-09, 0, 0, 0, 0, 0, 1.67714e-07, 2.98897e-08, 0, 0, 7.63848e-08, 3.32108e-09, 0, 1.99265e-08, 1.11256e-07, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 0, 0, 0, 0, 0, 1.66054e-09, 1.99929e-06, 3.03879e-07, 0, 1.51109e-07, 1.66054e-09, 0, 0, 0, 8.3027e-09, 2.1587e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7, 3.25466e-06, 8.80086e-08, 1.07935e-07, 1.25703e-06, 9.96323e-09, 3.32108e-09, 2.30815e-07, 0, 0, 0, 0, 0, 3.32108e-09, 0, 0, 0, 1.66054e-09, 0, 1.71036e-07, 2.82292e-08, 0, 0, 7.97059e-08, 3.32108e-09, 0, 8.3027e-09, 1.19559e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.98162e-09, 1.99929e-06, 3.00558e-07, 0, 1.49449e-07, 1.66054e-09, 0, 0, 0, 3.32108e-09, 2.65686e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
7.5, 3.19322e-06, 9.29902e-08, 1.04614e-07, 1.33341e-06, 3.32108e-09, 8.3027e-09, 2.07567e-07, 0, 0, 0, 0, 0, 6.64216e-09, 0, 0, 0, 3.32108e-09, 0, 1.72696e-07, 2.49081e-08, 0, 0, 9.13296e-08, 1.66054e-09, 0, 4.98162e-09, 1.2288e-07, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 0, 0, 0, 0, 0, 4.98162e-09, 1.99929e-06, 2.98897e-07, 0, 1.51109e-07, 0, 0, 0, 0, 3.32108e-09, 2.65686e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
8, 3.14008e-06, 7.80453e-08, 1.12917e-07, 1.38655e-06, 8.3027e-09, 3.32108e-09, 1.74357e-07, 0, 0, 0, 0, 0, 4.98162e-09, 0, 0, 0, 4.98162e-09, 0, 1.69375e-07, 2.82292e-08, 0, 0, 1.02953e-07, 8.3027e-09, 0, 1.16238e-08, 1.16238e-07, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 0, 0, 0, 0, 0, 4.98162e-09, 1.99929e-06, 2.97236e-07, 0, 1.49449e-07, 0, 0, 0, 0, 1.82659e-08, 2.98897e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
8.5, 3.15502e-06, 9.29902e-08, 9.96323e-08, 1.40149e-06, 4.98162e-09, 8.3027e-09, 1.59412e-07, 0, 0, 0, 0, 0, 6.64216e-09, 0, 0, 0, 4.98162e-09, 0, 1.72696e-07, 2.1587e-08, 0, 0, 1.06274e-07, 6.64216e-09, 0, 9.96323e-09, 1.21219e-07, 0, 0, 0, 0, 0, 0, 0, 0, 4.98162e-09, 0, 0, 0, 0, 0, 1.66054e-09, 1.99929e-06, 2.93915e-07, 0, 1.44467e-07, 3.32108e-09, 0, 0, 0, 9.96323e-09, 2.82292e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
9, 3.15004e-06, 9.13296e-08, 9.96323e-08, 1.41312e-06, 1.32843e-08, 3.32108e-09, 1.64393e-07, 0, 0, 0, 0, 0, 9.96323e-09, 0, 0, 0, 1.66054e-09, 0, 1.66054e-07, 2.82292e-08, 0, 0, 9.79718e-08, 8.3027e-09, 0, 3.32108e-09, 1.2454e-07, 0, 0, 0, 0, 0, 0, 0, 0, 4.98162e-09, 0, 0, 0, 0, 0, 4.98162e-09, 1.99929e-06, 2.90594e-07, 0, 1.47788e-07, 0, 0, 0, 0, 6.64216e-09, 3.15502e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
9.5, 3.11185e-06, 6.80821e-08, 1.27862e-07, 1.42142e-06, 4.98162e-09, 1.66054e-09, 1.67714e-07, 0, 0, 0, 0, 0, 9.96323e-09, 0, 0, 0, 4.98162e-09, 0, 1.64393e-07, 3.48713e-08, 0, 0, 9.46507e-08, 3.32108e-09, 0, 8.3027e-09, 1.21219e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32108e-09, 1.99929e-06, 2.93915e-07, 0, 1.51109e-07, 3.32108e-09, 0, 0, 0, 8.3027e-09, 2.49081e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
