Time	[Ca]	[cAMP]	Ca.ParticleNumber	cAMP.ParticleNumber
93	2.32475e-08	0	14	0
93.5	1.99265e-08	0	12	0
94	4.98162e-09	0	3	0
94.5	1.49449e-08	0	9	0
95	9.96323e-09	0	6	0
95.5	1.16238e-08	0	7	0
96	1.82659e-08	0	11	0
96.5	1.49449e-08	0	9	0
97	6.64216e-09	0	4	0
97.5	9.96323e-09	0	6	0
98	6.64216e-09	0	4	0
98.5	1.32843e-08	0	8	0
99	1.32843e-08	0	8	0
99.5	1.32843e-08	0	8	0
100	1.16238e-08	0	7	0
Time	Ca.ParticleNumberRate	Ca.ParticleNumber
0	15.0554	0
0.5	15.0554	0
1	-33.4773	6
1.5	-0.419107	4
2	3.22263	4
2.5	13.3782	3
3	13.2253	3
3.5	-23.8517	6
4	22.729	3
4.5	-53.8915	8
5	5.49325	5
5.5	-27.6259	7
6	36.7741	2
6.5	23.2894	4
7	49.246	2
7.5	-45.3541	8
8	9.50321	5
8.5	31.0367	3
9	33.132	3
9.5	-24.1107	7
10	-2.42338	6
10.5	48.754	2
11	-17.187	7
11.5	-113.472	11
12	46.4868	3
12.5	-77.8244	10
13	10.3882	6
13.5	16.8012	6
14	-6.58911	7
14.5	25.3753	5
15	13.7918	6
15.5	-46.0796	9
16	6.18215	7
16.5	0.992819	7
17	59.3308	4
17.5	24.9917	6
18	52.2921	4
18.5	-40.5001	9
19	50.8321	4
19.5	25.4035	6
20	-13.7071	8
20.5	31.2289	6
21	67.8981	3
21.5	-96.4936	11
22	-64.8473	10
22.5	33.4195	6
23	78.3016	3
23.5	-63.3488	10
24	-88.1426	11
24.5	40.0277	6
25	17.2285	7
25.5	61.2923	5
26	-2.59213	8
26.5	91.0371	3
27	22.0369	7
27.5	54.0314	5
28	28.0349	7
28.5	-70.8355	11
29	-48.173	10
29.5	6.65119	8
30	-42.1134	10
30.5	-43.9136	10
31	9.28762	8
31.5	35.2607	7
32	65.99	5
32.5	-12.5888	9
33	-15.7831	9
33.5	-41.1796	10
34	-13.5287	9
34.5	-151.14	13
35	-15.9671	9
35.5	31.4155	7
36	91.1744	4
36.5	-45.0367	10
37	9.99351	8
37.5	72.0631	5
38	80.8602	4
38.5	8.11642	8
39	38.831	7
39.5	-69.501	11
40	-65.501	11
40.5	7.29824	8
41	75.5554	4
41.5	-168.249	14
42	7.19393	8
42.5	-49.9403	10
43	59.5065	5
43.5	-49.5418	10
44	-149.024	13
44.5	66.6046	5
45	53.2089	6
45.5	82.1503	4
46	-46.1167	10
46.5	5.64845	8
47	1.37826	8
47.5	-193.757	14
48	-151.552	13
48.5	48.0084	6
49	24.7965	7
49.5	71.2814	4
50	18.8867	7
50.5	38.9857	6
51	-17.1016	9
51.5	7.43178	8
52	-16.5001	9
52.5	-46.2826	10
53	68.608	5
53.5	95.4485	3
54	-15.973	9
54.5	-48.711	10
55	45.8292	6
55.5	23.3211	7
56	44.5899	6
56.5	61.0996	5
57	31.3645	7
57.5	10.9612	8
58	5.13759	8
58.5	70.9502	5
59	55.8325	6
59.5	41.3928	6
60	46.9871	6
60.5	-83.5195	11
61	-74.5249	11
61.5	-77.4736	11
62	26.0621	7
62.5	86.3875	3
63	-42.7612	10
63.5	21.2057	7
64	-19.976	9
64.5	36.7698	6
65	-217.505	15
65.5	-18.9491	9
66	-52.0528	10
66.5	7.0146	8
67	27.1248	7
67.5	32.2216	7
68	13.7554	8
68.5	14.5869	8
69	15.4291	8
69.5	-10.7479	9
70	101.252	3
70.5	-96.2028	12
71	-99.5572	12
71.5	12.4773	8
72	84.9881	3
72.5	74.1312	5
73	-138.608	13
73.5	-34.4189	10
74	83.5701	4
74.5	59.3935	6
75	-104.363	12
75.5	69.362	5
76	-4.85747	9
76.5	60.6173	6
77	101.99	3
77.5	89.7412	4
78	68.8199	6
78.5	58.4161	6
79	-5.29221	9
79.5	4.47664	9
80	-20.4455	10
80.5	-89.1854	12
81	-77.2376	12
81.5	-52.8467	11
82	116.189	3
82.5	-230.493	16
83	-80.8849	12
83.5	76.9824	6
84	35.4826	8
84.5	-18.0204	10
85	-16.3822	10
85.5	106.944	4
86	-41.4972	11
86.5	39.1965	8
87	-106.908	13
87.5	-17.3226	10
88	-19.7245	10
88.5	37.1912	8
89	-146.883	14
89.5	-52.8541	11
90	52.3204	7
90.5	86.0315	5
91	-248.59	16
91.5	-23.4189	10
92	110.649	3
92.5	-141.315	13
93	-166.939	14
93.5	29.7339	8
94	-60.1337	11
94.5	-136.463	13
95	-92.4985	12
95.5	84.1661	5
96	-49.137	11
96.5	-3.49113	9
97	25.5733	8
97.5	-120.232	13
98	113.692	3
98.5	105.643	3
99	25.9023	8
99.5	29.6589	8
100	-28.4123	10
100.5	-32.7446	10
101	-11.0534	9
101.5	44.3927	7
102	-39.5584	10
102.5	-99.1321	12
103	76.2625	5
103.5	17.1805	8
104	13.5602	8
104.5	84.8843	4
105	-5.04742	9
105.5	64.5873	6
106	43.2537	7
106.5	-62.1409	11
107	62.584	6
107.5	24.8436	8
108	-52.8412	11
108.5	108.199	3
109	64.7979	6
109.5	-25.751	10
110	48.3346	7
110.5	80.8205	5
111	45.3346	7
111.5	-53.8373	11
112	-165.025	14
112.5	-0.081989	9
113	70.8192	6
113.5	46.2766	7
114	-88.1161	12
114.5	-65.4846	11
115	-122.717	13
115.5	23.4344	8
116	-126.066	13
116.5	-62.4938	11
117	92.6794	5
117.5	100.152	4
118	-128.756	13
118.5	2.05919	9
119	27.5414	8
119.5	70.626	6
120	-93.144	12
120.5	108.746	3
121	51.5174	7
121.5	45.6606	7
122	-50.1353	11
122.5	0.607161	9
123	1.46469	9
123.5	-2.32444	9
124	23.2632	8
124.5	-30.5117	10
125	83.7076	5
125.5	41.8151	7
126	76.2058	5
126.5	2.51485	9
127	44.3741	7
127.5	65.199	6
128	1.10432	9
128.5	-132.752	13
129	4.69284	9
129.5	3.99836	9
130	24.3889	8
130.5	-26.2959	10
131	-57.5157	11
131.5	26.9558	8
132	-93.5463	12
132.5	-5.12618	9
133	-60.5104	11
133.5	55.592	6
134	38.6768	7
134.5	-11.7568	9
135	-46.701	10
135.5	-37.1499	10
136	49.1656	6
136.5	84.6357	3
137	-208.829	15
137.5	54.9865	6
138	6.718	8
138.5	76.8073	5
139	77.6512	5
139.5	-105.91	12
140	33.8933	7
140.5	40.0684	7
141	99.0313	4
141.5	93.9752	4
142	66.9567	5
142.5	98.4421	3
143	10.0068	8
143.5	14.4853	8
144	52.2036	6
144.5	-11.7389	9
145	-57.5045	11
145.5	9.43452	8
146	-37.1864	10
146.5	-34.6381	10
147	14.1752	8
147.5	-12.9362	9
148	-13.5729	9
148.5	-170.149	14
149	-11.2899	9
149.5	-146.868	13
150	36.4314	7
150.5	65.1578	5
151	-18.8867	9
151.5	96.4485	2
152	49.9884	6
152.5	-165.164	14
153	-385.805	19
153.5	-103.079	12
154	35.8058	7
154.5	30.7736	7
155	-67.8227	11
155.5	-223.878	15
156	-5.38218	9
156.5	-136.462	13
157	76.7491	5
157.5	39.4753	7
158	45.9693	7
158.5	-134.463	13
159	-4.61801	9
159.5	80.3289	5
160	44.8101	7
160.5	38.2978	7
161	76.0365	5
161.5	40.2978	7
162	42.1476	7
162.5	-70.5011	11
163	38.0462	7
163.5	-209.41	15
164	-255.857	16
164.5	25.9506	8
165	-51.8375	11
165.5	6.3265	9
166	82.0979	5
166.5	-21.8043	10
167	-193.289	15
167.5	-22.6516	10
168	-19.2263	10
168.5	36.0895	8
169	31.611	8
169.5	-49.8394	11
170	54.0528	7
170.5	36.1832	8
171	32.948	8
171.5	-44.1554	11
172	83.0111	6
172.5	34.1753	8
173	62.3598	7
173.5	-149.86	14
174	-89.401	12
174.5	95.1246	5
175	-49.1517	11
175.5	6.14253	9
176	26.7714	8
176.5	-23.3522	10
177	-188.598	15
177.5	56.1891	7
178	-59.4865	11
178.5	23.6406	8
179	28.9024	8
179.5	-252.863	16
180	-16.1697	10
180.5	-77.9969	12
181	-186.129	15
181.5	-86.3459	12
182	28.285	8
182.5	-50.1627	11
183	-122.177	13
183.5	-51.4954	11
184	52.6765	7
184.5	64.1976	6
185	26.4826	8
185.5	-53.5102	11
186	115.14	2
186.5	5.92334	9
