Time	AMP.ParticleNumber	CDK5.ParticleNumber	CK1.ParticleNumber	CK1P.ParticleNumber	CK1P_PP2B.ParticleNumber	Ca.ParticleNumber	D.ParticleNumber	D137.ParticleNumber	D137_CDK5.ParticleNumber	D137_PKA.ParticleNumber	D137_PP2C.ParticleNumber	D34.ParticleNumber	D34:137.ParticleNumber	D34:137_CDK5.ParticleNumber	D34:137_PP2B.ParticleNumber	D34:137_PP2C.ParticleNumber	D34:75.ParticleNumber	D34:75:137.ParticleNumber	D34:75:137_PP2A.ParticleNumber	D34:75:137_PP2ACa.ParticleNumber	D34:75:137_PP2AP.ParticleNumber	D34:75:137_PP2APCa.ParticleNumber	D34:75:137_PP2B.ParticleNumber	D34:75:137_PP2C.ParticleNumber	D34:75_CK1.ParticleNumber	D34:75_PP2A.ParticleNumber	D34:75_PP2ACa.ParticleNumber	D34:75_PP2AP.ParticleNumber	D34:75_PP2APCa.ParticleNumber	D34:75_PP2B.ParticleNumber	D34_CDK5.ParticleNumber	D34_CK1.ParticleNumber	D34_PP2B.ParticleNumber	D75.ParticleNumber	D75:137.ParticleNumber	D75:137_PKA.ParticleNumber	D75:137_PP2A.ParticleNumber	D75:137_PP2ACa.ParticleNumber	D75:137_PP2AP.ParticleNumber	D75:137_PP2APCa.ParticleNumber	D75:137_PP2C.ParticleNumber	D75_CK1.ParticleNumber	D75_PKA.ParticleNumber	D75_PP2A.ParticleNumber	D75_PP2ACa.ParticleNumber	D75_PP2AP.ParticleNumber	D75_PP2APCa.ParticleNumber	D_CDK5.ParticleNumber	D_CK1.ParticleNumber	D_PKA.ParticleNumber	Empty.ParticleNumber	PDE.ParticleNumber	PDEP.ParticleNumber	PDE_PKA.ParticleNumber	PKA.ParticleNumber	PP2A.ParticleNumber	PP2ACa.ParticleNumber	PP2ACa_PKA.ParticleNumber	PP2AP.ParticleNumber	PP2APCa.ParticleNumber	PP2A_PKA.ParticleNumber	PP2B.ParticleNumber	PP2Binactive.ParticleNumber	PP2BinactiveCa2.ParticleNumber	PP2C.ParticleNumber	R2C2.ParticleNumber	cAMP.ParticleNumber	cAMP2_R2C2.ParticleNumber	cAMP3_R2C2.ParticleNumber	cAMP4_R2.ParticleNumber	cAMP4_R2C.ParticleNumber	cAMP4_R2C2.ParticleNumber	cAMP_PDE.ParticleNumber	cAMP_PDEP.ParticleNumber	cAMP_R2C2.ParticleNumber
5	0	50.595	5.8704	85.9349	0.296523	5.29221	2070.03	154.819	4.87659	0	8.86801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	626.061	45.614	0	0.903823	0.00302017	0	0	2.5863	1.81258	0	12.3875	0.0413312	0	0	64.9712	6.05309	0	0	1204.43	0	0	0	106.938	0.169299	0	0	0	0	2.10155	185.396	12.1405	68.6402	3998.7	0	0	0	0	0	0	0	0	0
5.5	0	51.0557	5.11485	87.656	0.347043	5.41888	2042.31	148.08	4.71037	0	8.51954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	660.469	46.7786	0	0.922151	0.00319762	0	0	2.66768	1.66297	0	12.9961	0.0449755	0	0	64.6768	5.18671	0	0	1204.43	0	0	0	106.302	0.174363	0	0	0	0	2.40736	184.333	12.8475	68.9073	3998.7	0	0	0	0	0	0	0	0	0
6	0	51.4784	4.56279	88.901	0.397256	5.5367	2018.19	141.114	4.5283	0	8.15828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	691.881	47.3659	0	0.929342	0.00332833	0	0	2.71735	1.55031	0	13.5464	0.0484026	0	0	64.4361	4.55621	0	0	1204.43	0	0	0	105.736	0.17891	0	0	0	0	2.71354	183.317	13.5072	69.2188	3998.7	0	0	0	0	0	0	0	0	0
6.5	0	51.8659	4.17437	89.7635	0.446718	5.64688	1997.07	134.189	4.33986	0	7.79714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	720.543	47.498	0	0.927929	0.00341957	0	0	2.74129	1.47312	0	14.0444	0.0516246	0	0	64.237	4.1098	0	0	1204.43	0	0	0	105.232	0.183044	0	0	0	0	3.01889	182.344	14.1258	69.556	3998.7	0	0	0	0	0	0	0	0	0
7	0	52.2208	3.91691	90.32	0.495124	5.75036	1978.46	127.491	4.15208	0	7.44542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	746.672	47.2862	0	0.920159	0.00347869	0	0	2.74506	1.4285	0	14.495	0.054653	0	0	64.07	3.80699	0	0	1204.43	0	0	0	104.783	0.186843	0	0	0	0	3.32252	181.409	14.7083	69.904	3998.7	0	0	0	0	0	0	0	0	0
7.5	0	52.5454	3.76373	90.6327	0.542277	5.84792	1961.94	121.148	3.97007	0	7.10972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	770.464	46.828	0	0.907967	0.00351269	0	0	2.73368	1.41281	0	14.9026	0.0574983	0	0	63.9274	3.61598	0	0	1204.43	0	0	0	104.381	0.190364	0	0	0	0	3.62378	180.511	15.2585	70.2511	3998.7	0	0	0	0	0	0	0	0	0
8	0	52.842	3.69317	90.7523	0.588056	5.94019	1947.21	115.243	3.79747	0	6.7946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	792.097	46.2069	0	0.892975	0.00352794	0	0	2.71156	1.42217	0	15.2711	0.0601705	0	0	63.8033	3.51187	0	0	1204.43	0	0	0	104.021	0.193652	0	0	0	0	3.92216	179.645	15.7797	70.5883	3998.7	0	0	0	0	0	0	0	0	0
8.5	0	53.1129	3.68767	90.7197	0.632403	6.02769	1933.98	109.826	3.63675	0	6.50306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	811.736	45.4924	0	0.876516	0.0035301	0	0	2.68249	1.45274	0	15.6038	0.062679	0	0	63.6932	3.47503	0	0	1204.43	0	0	0	103.7	0.19674	0	0	0	0	4.21731	178.811	16.2747	70.9089	3998.7	0	0	0	0	0	0	0	0	0
9	0	53.3601	3.73306	90.5682	0.675297	6.11088	1922.04	104.921	3.48946	0	6.23687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	829.535	44.7408	0	0.859654	0.00352399	0	0	2.64966	1.50093	0	15.9037	0.0650326	0	0	63.5933	3.49004	0	0	1204.43	0	0	0	103.411	0.199656	0	0	0	0	4.50894	178.005	16.7457	71.2079	3998.7	0	0	0	0	0	0	0	0	0
9.5	0	53.5855	3.81795	90.3247	0.716748	6.19012	1911.19	100.536	3.35649	0	5.99693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	845.635	43.9971	0	0.843223	0.00351369	0	0	2.6157	1.56345	0	16.1738	0.06724	0	0	63.5008	3.54474	0	0	1204.43	0	0	0	103.153	0.20242	0	0	0	0	4.79682	177.227	17.1947	71.4818	3998.7	0	0	0	0	0	0	0	0	0
