Time	D137.ParticleNumber	D137_CDK5.ParticleNumber	D137_PKA.ParticleNumber	D137_PP2C.ParticleNumber	D34:137.ParticleNumber	D34:137_CDK5.ParticleNumber	D34:137_PP2B.ParticleNumber	D34:137_PP2C.ParticleNumber	D34:75:137.ParticleNumber	D34:75:137_PP2A.ParticleNumber	D34:75:137_PP2ACa.ParticleNumber	D34:75:137_PP2AP.ParticleNumber	D34:75:137_PP2APCa.ParticleNumber	D34:75:137_PP2B.ParticleNumber	D34:75:137_PP2C.ParticleNumber	D75:137.ParticleNumber	D75:137_PKA.ParticleNumber	D75:137_PP2A.ParticleNumber	D75:137_PP2ACa.ParticleNumber	D75:137_PP2AP.ParticleNumber	D75:137_PP2APCa.ParticleNumber	D75:137_PP2C.ParticleNumber
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.5	64.1345	1.5434	0	3.59621	0	0	0	0	0	0	0	0	0	0	0	1.80682	0	0.0349923	1.66438e-05	0	0	0.0866496
1	109.479	2.91694	0	6.3808	0	0	0	0	0	0	0	0	0	0	0	7.0199	0	0.143807	0.000163933	0	0	0.380251
1.5	138.752	3.86126	0	8.04511	0	0	0	0	0	0	0	0	0	0	0	13.7229	0	0.283089	0.000469359	0	0	0.759809
2	156.488	4.48297	0	8.9967	0	0	0	0	0	0	0	0	0	0	0	20.6657	0	0.425056	0.000875531	0	0	1.14951
2.5	165.978	4.86319	0	9.48148	0	0	0	0	0	0	0	0	0	0	0	27.1353	0	0.554861	0.00131999	0	0	1.51138
3	169.624	5.06399	0	9.65533	0	0	0	0	0	0	0	0	0	0	0	32.7647	0	0.665506	0.00175623	0	0	1.82771
3.5	169.192	5.13303	0	9.62096	0	0	0	0	0	0	0	0	0	0	0	37.4054	0	0.754677	0.00215515	0	0	2.09198
4	165.984	5.10707	0	9.44827	0	0	0	0	0	0	0	0	0	0	0	41.0435	0	0.822762	0.00250147	0	0	2.304
4.5	160.959	5.01435	0	9.18581	0	0	0	0	0	0	0	0	0	0	0	43.7441	0	0.871624	0.00278959	0	0	2.46706
5	154.819	4.87659	0	8.86801	0	0	0	0	0	0	0	0	0	0	0	45.614	0	0.903823	0.00302017	0	0	2.5863
5.5	148.08	4.71037	0	8.51954	0	0	0	0	0	0	0	0	0	0	0	46.7786	0	0.922151	0.00319762	0	0	2.66768
6	141.114	4.5283	0	8.15828	0	0	0	0	0	0	0	0	0	0	0	47.3659	0	0.929342	0.00332833	0	0	2.71735
6.5	134.189	4.33986	0	7.79714	0	0	0	0	0	0	0	0	0	0	0	47.498	0	0.927929	0.00341957	0	0	2.74129
7	127.491	4.15208	0	7.44542	0	0	0	0	0	0	0	0	0	0	0	47.2862	0	0.920159	0.00347869	0	0	2.74506
7.5	121.148	3.97007	0	7.10972	0	0	0	0	0	0	0	0	0	0	0	46.828	0	0.907967	0.00351269	0	0	2.73368
8	115.243	3.79747	0	6.7946	0	0	0	0	0	0	0	0	0	0	0	46.2069	0	0.892975	0.00352794	0	0	2.71156
8.5	109.826	3.63675	0	6.50306	0	0	0	0	0	0	0	0	0	0	0	45.4924	0	0.876516	0.0035301	0	0	2.68249
9	104.921	3.48946	0	6.23687	0	0	0	0	0	0	0	0	0	0	0	44.7408	0	0.859654	0.00352399	0	0	2.64966
9.5	100.536	3.35649	0	5.99693	0	0	0	0	0	0	0	0	0	0	0	43.9971	0	0.843223	0.00351369	0	0	2.6157
10	96.6634	3.23821	0	5.7834	0	0	0	0	0	0	0	0	0	0	0	43.2958	0	0.827855	0.00350253	0	0	2.58269
10.5	93.2893	3.13459	0	5.59591	0	0	0	0	0	0	0	0	0	0	0	42.6629	0	0.814015	0.00349319	0	0	2.55228
11	90.3919	3.04531	0	5.4337	0	0	0	0	0	0	0	0	0	0	0	42.1168	0	0.802025	0.00348774	0	0	2.52569
11.5	87.9455	2.96985	0	5.2957	0	0	0	0	0	0	0	0	0	0	0	41.6699	0	0.792096	0.00348777	0	0	2.50379
12	85.922	2.90756	0	5.18067	0	0	0	0	0	0	0	0	0	0	0	41.3298	0	0.784342	0.0034944	0	0	2.48716
12.5	84.2923	2.85768	0	5.0872	0	0	0	0	0	0	0	0	0	0	0	41.0998	0	0.77881	0.00350841	0	0	2.47613
13	83.0268	2.8194	0	5.01384	0	0	0	0	0	0	0	0	0	0	0	40.9804	0	0.775487	0.00353025	0	0	2.47085
13.5	82.0964	2.7919	0	4.95907	0	0	0	0	0	0	0	0	0	0	0	40.9695	0	0.774318	0.00356015	0	0	2.47129
14	81.4726	2.77434	0	4.9214	0	0	0	0	0	0	0	0	0	0	0	41.0635	0	0.775217	0.00359812	0	0	2.47731
14.5	81.1284	2.76591	0	4.89935	0	0	0	0	0	0	0	0	0	0	0	41.2571	0	0.778077	0.00364403	0	0	2.48867
15	81.0379	2.76581	0	4.89151	0	0	0	0	0	0	0	0	0	0	0	41.5446	0	0.782775	0.00369762	0	0	2.50508
15.5	81.1767	2.77327	0	4.89651	0	0	0	0	0	0	0	0	0	0	0	41.9195	0	0.789178	0.00375855	0	0	2.52619
16	81.5223	2.78759	0	4.91306	0	0	0	0	0	0	0	0	0	0	0	42.3748	0	0.797152	0.00382642	0	0	2.55163
16.5	82.0532	2.80807	0	4.93994	0	0	0	0	0	0	0	0	0	0	0	42.9039	0	0.80656	0.00390077	0	0	2.58103
17	82.75	2.83409	0	4.97603	0	0	0	0	0	0	0	0	0	0	0	43.4998	0	0.817269	0.00398114	0	0	2.614
17.5	83.5945	2.86505	0	5.02027	0	0	0	0	0	0	0	0	0	0	0	44.1559	0	0.829147	0.00406704	0	0	2.65015
18	84.5701	2.9004	0	5.07168	0	0	0	0	0	0	0	0	0	0	0	44.8659	0	0.842072	0.00415798	0	0	2.68912
18.5	85.6613	2.93964	0	5.12939	0	0	0	0	0	0	0	0	0	0	0	45.6235	0	0.855923	0.00425348	0	0	2.73055
19	86.8543	2.98229	0	5.19256	0	0	0	0	0	0	0	0	0	0	0	46.4231	0	0.87059	0.00435308	0	0	2.77413
19.5	88.1361	3.02794	0	5.26045	0	0	0	0	0	0	0	0	0	0	0	47.2592	0	0.885968	0.00445632	0	0	2.81953
20	89.4953	3.07619	0	5.33239	0	0	0	0	0	0	0	0	0	0	0	48.1269	0	0.901962	0.00456277	0	0	2.86648
20.5	90.9211	3.12668	0	5.40775	0	0	0	0	0	0	0	0	0	0	0	49.0215	0	0.918481	0.00467202	0	0	2.91469
21	92.404	3.17909	0	5.48599	0	0	0	0	0	0	0	0	0	0	0	49.9387	0	0.935444	0.00478369	0	0	2.96394
21.5	93.9352	3.23312	0	5.56659	0	0	0	0	0	0	0	0	0	0	0	50.8745	0	0.952775	0.00489742	0	0	3.014
22	95.5068	3.2885	0	5.64912	0	0	0	0	0	0	0	0	0	0	0	51.8255	0	0.970404	0.00501287	0	0	3.06466
22.5	97.1117	3.345	0	5.73316	0	0	0	0	0	0	0	0	0	0	0	52.7882	0	0.98827	0.00512972	0	0	3.11575
23	98.7434	3.40239	0	5.81836	0	0	0	0	0	0	0	0	0	0	0	53.7598	0	1.00632	0.00524769	0	0	3.1671
23.5	100.396	3.46047	0	5.90438	0	0	0	0	0	0	0	0	0	0	0	54.7376	0	1.02449	0.00536651	0	0	3.21857
24	102.065	3.51907	0	5.99094	0	0	0	0	0	0	0	0	0	0	0	55.719	0	1.04274	0.00548593	0	0	3.27003
24.5	103.744	3.57802	0	6.07779	0	0	0	0	0	0	0	0	0	0	0	56.7021	0	1.06104	0.00560574	0	0	3.32136
25	105.43	3.63718	0	6.1647	0	0	0	0	0	0	0	0	0	0	0	57.6847	0	1.07933	0.00572571	0	0	3.37246
25.5	107.12	3.69642	0	6.25147	0	0	0	0	0	0	0	0	0	0	0	58.6651	0	1.0976	0.00584567	0	0	3.42325
26	108.809	3.75563	0	6.33792	0	0	0	0	0	0	0	0	0	0	0	59.6418	0	1.1158	0.00596544	0	0	3.47363
26.5	110.495	3.8147	0	6.42389	0	0	0	0	0	0	0	0	0	0	0	60.6134	0	1.13392	0.00608487	0	0	3.52356
27	112.174	3.87354	0	6.50926	0	0	0	0	0	0	0	0	0	0	0	61.5786	0	1.15192	0.00620382	0	0	3.57296
27.5	113.846	3.93207	0	6.59389	0	0	0	0	0	0	0	0	0	0	0	62.5364	0	1.16979	0.00632216	0	0	3.62178
28	115.506	3.99021	0	6.6777	0	0	0	0	0	0	0	0	0	0	0	63.4858	0	1.18751	0.00643978	0	0	3.66999
28.5	117.155	4.04791	0	6.76059	0	0	0	0	0	0	0	0	0	0	0	64.426	0	1.20506	0.00655657	0	0	3.71755
29	118.789	4.1051	0	6.84248	0	0	0	0	0	0	0	0	0	0	0	65.3562	0	1.22243	0.00667244	0	0	3.76442
29.5	120.408	4.16174	0	6.92332	0	0	0	0	0	0	0	0	0	0	0	66.2759	0	1.2396	0.00678731	0	0	3.81058
30	122.01	4.21778	0	7.00305	0	0	0	0	0	0	0	0	0	0	0	67.1844	0	1.25658	0.00690111	0	0	3.85602
30.5	123.594	4.27319	0	7.08161	0	0	0	0	0	0	0	0	0	0	0	68.0813	0	1.27333	0.00701378	0	0	3.90071
31	125.159	4.32794	0	7.15899	0	0	0	0	0	0	0	0	0	0	0	68.9662	0	1.28987	0.00712526	0	0	3.94465
31.5	126.704	4.38199	0	7.23513	0	0	0	0	0	0	0	0	0	0	0	69.8389	0	1.30618	0.00723549	0	0	3.98782
32	128.23	4.43532	0	7.31003	0	0	0	0	0	0	0	0	0	0	0	70.6989	0	1.32226	0.00734444	0	0	4.03021
32.5	129.734	4.48792	0	7.38367	0	0	0	0	0	0	0	0	0	0	0	71.5462	0	1.3381	0.00745207	0	0	4.07184
33	131.217	4.53977	0	7.45602	0	0	0	0	0	0	0	0	0	0	0	72.3805	0	1.3537	0.00755835	0	0	4.11269
33.5	132.678	4.59085	0	7.52709	0	0	0	0	0	0	0	0	0	0	0	73.2018	0	1.36906	0.00766325	0	0	4.15276
34	134.118	4.64116	0	7.59687	0	0	0	0	0	0	0	0	0	0	0	74.0099	0	1.38418	0.00776675	0	0	4.19206
34.5	135.535	4.69069	0	7.66535	0	0	0	0	0	0	0	0	0	0	0	74.8048	0	1.39905	0.00786883	0	0	4.23059
35	136.929	4.73943	0	7.73255	0	0	0	0	0	0	0	0	0	0	0	75.5864	0	1.41367	0.00796947	0	0	4.26837
35.5	138.301	4.78737	0	7.79847	0	0	0	0	0	0	0	0	0	0	0	76.3548	0	1.42805	0.00806868	0	0	4.30539
36	139.65	4.83453	0	7.86311	0	0	0	0	0	0	0	0	0	0	0	77.1101	0	1.44218	0.00816643	0	0	4.34166
36.5	140.977	4.8809	0	7.92648	0	0	0	0	0	0	0	0	0	0	0	77.8522	0	1.45607	0.00826273	0	0	4.37719
37	142.281	4.92647	0	7.9886	0	0	0	0	0	0	0	0	0	0	0	78.5812	0	1.46971	0.00835758	0	0	4.412
37.5	143.563	4.97126	0	8.04948	0	0	0	0	0	0	0	0	0	0	0	79.2973	0	1.48311	0.00845096	0	0	4.44609
38	144.822	5.01526	0	8.10913	0	0	0	0	0	0	0	0	0	0	0	80.0005	0	1.49627	0.0085429	0	0	4.47947
38.5	146.059	5.05848	0	8.16758	0	0	0	0	0	0	0	0	0	0	0	80.6909	0	1.5092	0.00863338	0	0	4.51215
39	147.274	5.10093	0	8.22482	0	0	0	0	0	0	0	0	0	0	0	81.3686	0	1.52188	0.00872241	0	0	4.54415
39.5	148.467	5.14262	0	8.28089	0	0	0	0	0	0	0	0	0	0	0	82.0339	0	1.53434	0.00881001	0	0	4.57547
40	149.638	5.18354	0	8.3358	0	0	0	0	0	0	0	0	0	0	0	82.6868	0	1.54656	0.00889618	0	0	4.60613
40.5	150.788	5.22372	0	8.38957	0	0	0	0	0	0	0	0	0	0	0	83.3275	0	1.55856	0.00898092	0	0	4.63615
41	151.917	5.26315	0	8.44221	0	0	0	0	0	0	0	0	0	0	0	83.9561	0	1.57033	0.00906426	0	0	4.66552
41.5	153.024	5.30185	0	8.49376	0	0	0	0	0	0	0	0	0	0	0	84.5729	0	1.58187	0.00914621	0	0	4.69427
42	154.111	5.33982	0	8.54421	0	0	0	0	0	0	0	0	0	0	0	85.1779	0	1.5932	0.00922677	0	0	4.7224
42.5	155.177	5.37708	0	8.59361	0	0	0	0	0	0	0	0	0	0	0	85.7714	0	1.60432	0.00930596	0	0	4.74993
43	156.223	5.41363	0	8.64196	0	0	0	0	0	0	0	0	0	0	0	86.3536	0	1.61522	0.00938379	0	0	4.77687
43.5	157.25	5.44949	0	8.68929	0	0	0	0	0	0	0	0	0	0	0	86.9245	0	1.62591	0.00946029	0	0	4.80324
44	158.256	5.48466	0	8.73561	0	0	0	0	0	0	0	0	0	0	0	87.4844	0	1.63639	0.00953546	0	0	4.82903
44.5	159.244	5.51916	0	8.78095	0	0	0	0	0	0	0	0	0	0	0	88.0335	0	1.64668	0.00960932	0	0	4.85428
45	160.212	5.553	0	8.82532	0	0	0	0	0	0	0	0	0	0	0	88.5719	0	1.65676	0.00968189	0	0	4.87898
45.5	161.162	5.58619	0	8.86875	0	0	0	0	0	0	0	0	0	0	0	89.0999	0	1.66665	0.00975319	0	0	4.90315
46	162.093	5.61873	0	8.91126	0	0	0	0	0	0	0	0	0	0	0	89.6175	0	1.67634	0.00982322	0	0	4.9268
46.5	163.007	5.65064	0	8.95286	0	0	0	0	0	0	0	0	0	0	0	90.1251	0	1.68585	0.00989202	0	0	4.94995
47	163.902	5.68194	0	8.99357	0	0	0	0	0	0	0	0	0	0	0	90.6227	0	1.69517	0.00995959	0	0	4.97259
47.5	164.78	5.71262	0	9.03341	0	0	0	0	0	0	0	0	0	0	0	91.1106	0	1.7043	0.010026	0	0	4.99475
48	165.641	5.74271	0	9.0724	0	0	0	0	0	0	0	0	0	0	0	91.5888	0	1.71326	0.0100911	0	0	5.01644
48.5	166.485	5.7722	0	9.11056	0	0	0	0	0	0	0	0	0	0	0	92.0577	0	1.72204	0.0101551	0	0	5.03765
49	167.313	5.80112	0	9.14791	0	0	0	0	0	0	0	0	0	0	0	92.5174	0	1.73065	0.010218	0	0	5.05842
49.5	168.124	5.82947	0	9.18446	0	0	0	0	0	0	0	0	0	0	0	92.968	0	1.73909	0.0102797	0	0	5.07874
50	168.919	5.85727	0	9.22023	0	0	0	0	0	0	0	0	0	0	0	93.4097	0	1.74737	0.0103403	0	0	5.09862
50.5	169.699	5.88452	0	9.25523	0	0	0	0	0	0	0	0	0	0	0	93.8427	0	1.75547	0.0103998	0	0	5.11808
51	170.464	5.91123	0	9.2895	0	0	0	0	0	0	0	0	0	0	0	94.2671	0	1.76342	0.0104582	0	0	5.13712
51.5	171.213	5.93741	0	9.32303	0	0	0	0	0	0	0	0	0	0	0	94.6831	0	1.77122	0.0105155	0	0	5.15576
52	171.947	5.96308	0	9.35585	0	0	0	0	0	0	0	0	0	0	0	95.0909	0	1.77886	0.0105718	0	0	5.17399
52.5	172.667	5.98825	0	9.38797	0	0	0	0	0	0	0	0	0	0	0	95.4906	0	1.78634	0.0106271	0	0	5.19184
53	173.373	6.01291	0	9.41941	0	0	0	0	0	0	0	0	0	0	0	95.8825	0	1.79368	0.0106813	0	0	5.20931
53.5	174.065	6.03709	0	9.45018	0	0	0	0	0	0	0	0	0	0	0	96.2665	0	1.80088	0.0107346	0	0	5.22641
54	174.743	6.0608	0	9.4803	0	0	0	0	0	0	0	0	0	0	0	96.643	0	1.80793	0.0107868	0	0	5.24314
54.5	175.408	6.08403	0	9.50979	0	0	0	0	0	0	0	0	0	0	0	97.012	0	1.81484	0.0108381	0	0	5.25952
55	176.059	6.1068	0	9.53865	0	0	0	0	0	0	0	0	0	0	0	97.3736	0	1.82161	0.0108885	0	0	5.27556
55.5	176.698	6.12913	0	9.5669	0	0	0	0	0	0	0	0	0	0	0	97.7282	0	1.82825	0.0109379	0	0	5.29125
56	177.324	6.15101	0	9.59455	0	0	0	0	0	0	0	0	0	0	0	98.0757	0	1.83476	0.0109864	0	0	5.30661
56.5	177.938	6.17246	0	9.62163	0	0	0	0	0	0	0	0	0	0	0	98.4163	0	1.84114	0.011034	0	0	5.32165
57	178.539	6.19349	0	9.64813	0	0	0	0	0	0	0	0	0	0	0	98.7502	0	1.8474	0.0110807	0	0	5.33638
57.5	179.129	6.2141	0	9.67408	0	0	0	0	0	0	0	0	0	0	0	99.0774	0	1.85353	0.0111266	0	0	5.35079
58	179.707	6.2343	0	9.69948	0	0	0	0	0	0	0	0	0	0	0	99.3982	0	1.85954	0.0111716	0	0	5.3649
58.5	180.274	6.25411	0	9.72435	0	0	0	0	0	0	0	0	0	0	0	99.7127	0	1.86543	0.0112157	0	0	5.37871
59	180.829	6.27352	0	9.7487	0	0	0	0	0	0	0	0	0	0	0	100.021	0	1.8712	0.0112591	0	0	5.39224
59.5	181.373	6.29255	0	9.77254	0	0	0	0	0	0	0	0	0	0	0	100.323	0	1.87686	0.0113016	0	0	5.40548
60	181.907	6.31121	0	9.79588	0	0	0	0	0	0	0	0	0	0	0	100.619	0	1.88241	0.0113433	0	0	5.41845
60.5	182.43	6.32949	0	9.81874	0	0	0	0	0	0	0	0	0	0	0	100.91	0	1.88785	0.0113843	0	0	5.43114
61	182.943	6.34742	0	9.84112	0	0	0	0	0	0	0	0	0	0	0	101.194	0	1.89318	0.0114245	0	0	5.44357
61.5	183.445	6.36499	0	9.86304	0	0	0	0	0	0	0	0	0	0	0	101.473	0	1.8984	0.0114639	0	0	5.45575
62	183.938	6.38222	0	9.8845	0	0	0	0	0	0	0	0	0	0	0	101.747	0	1.90352	0.0115026	0	0	5.46767
62.5	184.421	6.39911	0	9.90552	0	0	0	0	0	0	0	0	0	0	0	102.015	0	1.90855	0.0115406	0	0	5.47934
63	184.895	6.41566	0	9.9261	0	0	0	0	0	0	0	0	0	0	0	102.277	0	1.91347	0.0115779	0	0	5.49077
63.5	185.359	6.43189	0	9.94626	0	0	0	0	0	0	0	0	0	0	0	102.535	0	1.91829	0.0116144	0	0	5.50197
64	185.814	6.4478	0	9.966	0	0	0	0	0	0	0	0	0	0	0	102.787	0	1.92302	0.0116503	0	0	5.51293
64.5	186.26	6.46339	0	9.98533	0	0	0	0	0	0	0	0	0	0	0	103.035	0	1.92766	0.0116855	0	0	5.52367
65	186.697	6.47868	0	10.0043	0	0	0	0	0	0	0	0	0	0	0	103.278	0	1.93221	0.0117201	0	0	5.53418
65.5	187.126	6.49367	0	10.0228	0	0	0	0	0	0	0	0	0	0	0	103.516	0	1.93666	0.011754	0	0	5.54449
66	187.546	6.50836	0	10.041	0	0	0	0	0	0	0	0	0	0	0	103.749	0	1.94103	0.0117872	0	0	5.55457
66.5	187.958	6.52277	0	10.0588	0	0	0	0	0	0	0	0	0	0	0	103.978	0	1.94531	0.0118199	0	0	5.56446
67	188.362	6.53689	0	10.0762	0	0	0	0	0	0	0	0	0	0	0	104.202	0	1.94951	0.0118519	0	0	5.57414
67.5	188.758	6.55073	0	10.0933	0	0	0	0	0	0	0	0	0	0	0	104.421	0	1.95363	0.0118833	0	0	5.58362
68	189.146	6.56431	0	10.11	0	0	0	0	0	0	0	0	0	0	0	104.637	0	1.95767	0.0119142	0	0	5.59291
68.5	189.527	6.57762	0	10.1264	0	0	0	0	0	0	0	0	0	0	0	104.848	0	1.96162	0.0119444	0	0	5.60201
69	189.9	6.59066	0	10.1424	0	0	0	0	0	0	0	0	0	0	0	105.055	0	1.9655	0.0119741	0	0	5.61092
69.5	190.266	6.60346	0	10.1582	0	0	0	0	0	0	0	0	0	0	0	105.258	0	1.9693	0.0120032	0	0	5.61966
70	190.624	6.616	0	10.1736	0	0	0	0	0	0	0	0	0	0	0	105.457	0	1.97303	0.0120318	0	0	5.62821
70.5	190.976	6.62829	0	10.1886	0	0	0	0	0	0	0	0	0	0	0	105.652	0	1.97669	0.0120598	0	0	5.63659
71	191.321	6.64035	0	10.2034	0	0	0	0	0	0	0	0	0	0	0	105.844	0	1.98027	0.0120873	0	0	5.6448
71.5	191.659	6.65217	0	10.2179	0	0	0	0	0	0	0	0	0	0	0	106.031	0	1.98379	0.0121143	0	0	5.65285
72	191.99	6.66376	0	10.2321	0	0	0	0	0	0	0	0	0	0	0	106.215	0	1.98723	0.0121408	0	0	5.66073
72.5	192.315	6.67513	0	10.246	0	0	0	0	0	0	0	0	0	0	0	106.396	0	1.99061	0.0121668	0	0	5.66846
73	192.634	6.68627	0	10.2596	0	0	0	0	0	0	0	0	0	0	0	106.573	0	1.99393	0.0121923	0	0	5.67603
73.5	192.946	6.69719	0	10.273	0	0	0	0	0	0	0	0	0	0	0	106.746	0	1.99717	0.0122173	0	0	5.68344
74	193.253	6.70791	0	10.2861	0	0	0	0	0	0	0	0	0	0	0	106.916	0	2.00036	0.0122419	0	0	5.69071
74.5	193.553	6.71841	0	10.2989	0	0	0	0	0	0	0	0	0	0	0	107.083	0	2.00348	0.012266	0	0	5.69783
75	193.848	6.72871	0	10.3115	0	0	0	0	0	0	0	0	0	0	0	107.246	0	2.00654	0.0122896	0	0	5.70481
75.5	194.137	6.73881	0	10.3238	0	0	0	0	0	0	0	0	0	0	0	107.407	0	2.00955	0.0123128	0	0	5.71165
76	194.42	6.74872	0	10.3358	0	0	0	0	0	0	0	0	0	0	0	107.564	0	2.01249	0.0123355	0	0	5.71835
76.5	194.697	6.75843	0	10.3477	0	0	0	0	0	0	0	0	0	0	0	107.718	0	2.01538	0.0123579	0	0	5.72492
77	194.97	6.76795	0	10.3593	0	0	0	0	0	0	0	0	0	0	0	107.869	0	2.01821	0.0123798	0	0	5.73136
77.5	195.237	6.77729	0	10.3706	0	0	0	0	0	0	0	0	0	0	0	108.017	0	2.02098	0.0124013	0	0	5.73767
78	195.499	6.78645	0	10.3817	0	0	0	0	0	0	0	0	0	0	0	108.163	0	2.02371	0.0124223	0	0	5.74385
78.5	195.755	6.79543	0	10.3926	0	0	0	0	0	0	0	0	0	0	0	108.305	0	2.02638	0.012443	0	0	5.74991
79	196.007	6.80423	0	10.4033	0	0	0	0	0	0	0	0	0	0	0	108.445	0	2.02899	0.0124633	0	0	5.75585
79.5	196.254	6.81287	0	10.4138	0	0	0	0	0	0	0	0	0	0	0	108.582	0	2.03156	0.0124832	0	0	5.76167
80	196.496	6.82134	0	10.4241	0	0	0	0	0	0	0	0	0	0	0	108.716	0	2.03408	0.0125028	0	0	5.76738
80.5	196.734	6.82964	0	10.4342	0	0	0	0	0	0	0	0	0	0	0	108.848	0	2.03655	0.012522	0	0	5.77297
81	196.967	6.83779	0	10.444	0	0	0	0	0	0	0	0	0	0	0	108.977	0	2.03897	0.0125408	0	0	5.77845
81.5	197.195	6.84577	0	10.4537	0	0	0	0	0	0	0	0	0	0	0	109.104	0	2.04134	0.0125592	0	0	5.78382
82	197.419	6.85361	0	10.4632	0	0	0	0	0	0	0	0	0	0	0	109.228	0	2.04367	0.0125773	0	0	5.78909
82.5	197.639	6.86129	0	10.4725	0	0	0	0	0	0	0	0	0	0	0	109.35	0	2.04596	0.0125951	0	0	5.79425
83	197.854	6.86882	0	10.4816	0	0	0	0	0	0	0	0	0	0	0	109.47	0	2.04819	0.0126125	0	0	5.79931
83.5	198.065	6.87621	0	10.4905	0	0	0	0	0	0	0	0	0	0	0	109.587	0	2.05039	0.0126297	0	0	5.80428
84	198.272	6.88346	0	10.4993	0	0	0	0	0	0	0	0	0	0	0	109.702	0	2.05254	0.0126464	0	0	5.80914
84.5	198.476	6.89056	0	10.5079	0	0	0	0	0	0	0	0	0	0	0	109.815	0	2.05466	0.0126629	0	0	5.81391
85	198.675	6.89753	0	10.5163	0	0	0	0	0	0	0	0	0	0	0	109.925	0	2.05673	0.0126791	0	0	5.81858
85.5	198.87	6.90437	0	10.5245	0	0	0	0	0	0	0	0	0	0	0	110.034	0	2.05876	0.0126949	0	0	5.82316
86	199.062	6.91107	0	10.5326	0	0	0	0	0	0	0	0	0	0	0	110.14	0	2.06075	0.0127105	0	0	5.82766
86.5	199.25	6.91765	0	10.5405	0	0	0	0	0	0	0	0	0	0	0	110.245	0	2.06271	0.0127257	0	0	5.83206
87	199.434	6.9241	0	10.5483	0	0	0	0	0	0	0	0	0	0	0	110.347	0	2.06463	0.0127407	0	0	5.83638
87.5	199.615	6.93042	0	10.5559	0	0	0	0	0	0	0	0	0	0	0	110.447	0	2.06651	0.0127554	0	0	5.84061
88	199.793	6.93662	0	10.5634	0	0	0	0	0	0	0	0	0	0	0	110.546	0	2.06835	0.0127698	0	0	5.84476
88.5	199.966	6.94271	0	10.5707	0	0	0	0	0	0	0	0	0	0	0	110.642	0	2.07016	0.012784	0	0	5.84883
89	200.137	6.94868	0	10.5779	0	0	0	0	0	0	0	0	0	0	0	110.737	0	2.07193	0.0127979	0	0	5.85282
89.5	200.304	6.95453	0	10.5849	0	0	0	0	0	0	0	0	0	0	0	110.83	0	2.07367	0.0128115	0	0	5.85673
90	200.469	6.96027	0	10.5919	0	0	0	0	0	0	0	0	0	0	0	110.921	0	2.07538	0.0128248	0	0	5.86057
90.5	200.63	6.9659	0	10.5986	0	0	0	0	0	0	0	0	0	0	0	111.011	0	2.07705	0.0128379	0	0	5.86433
91	200.787	6.97142	0	10.6053	0	0	0	0	0	0	0	0	0	0	0	111.098	0	2.07869	0.0128508	0	0	5.86802
91.5	200.942	6.97684	0	10.6118	0	0	0	0	0	0	0	0	0	0	0	111.184	0	2.0803	0.0128634	0	0	5.87163
92	201.094	6.98216	0	10.6182	0	0	0	0	0	0	0	0	0	0	0	111.268	0	2.08188	0.0128758	0	0	5.87518
92.5	201.243	6.98737	0	10.6244	0	0	0	0	0	0	0	0	0	0	0	111.351	0	2.08343	0.012888	0	0	5.87866
93	201.389	6.99248	0	10.6306	0	0	0	0	0	0	0	0	0	0	0	111.432	0	2.08495	0.0128999	0	0	5.88207
93.5	201.533	6.99749	0	10.6366	0	0	0	0	0	0	0	0	0	0	0	111.512	0	2.08644	0.0129116	0	0	5.88542
94	201.673	7.00241	0	10.6425	0	0	0	0	0	0	0	0	0	0	0	111.59	0	2.08791	0.0129231	0	0	5.8887
94.5	201.811	7.00724	0	10.6483	0	0	0	0	0	0	0	0	0	0	0	111.667	0	2.08934	0.0129343	0	0	5.89191
95	201.947	7.01197	0	10.6539	0	0	0	0	0	0	0	0	0	0	0	111.742	0	2.09075	0.0129454	0	0	5.89507
95.5	202.079	7.01661	0	10.6595	0	0	0	0	0	0	0	0	0	0	0	111.815	0	2.09213	0.0129562	0	0	5.89816
96	202.21	7.02117	0	10.665	0	0	0	0	0	0	0	0	0	0	0	111.888	0	2.09348	0.0129669	0	0	5.90119
96.5	202.337	7.02563	0	10.6703	0	0	0	0	0	0	0	0	0	0	0	111.958	0	2.09481	0.0129773	0	0	5.90416
97	202.463	7.03002	0	10.6756	0	0	0	0	0	0	0	0	0	0	0	112.028	0	2.09611	0.0129875	0	0	5.90708
97.5	202.585	7.03432	0	10.6807	0	0	0	0	0	0	0	0	0	0	0	112.096	0	2.09739	0.0129976	0	0	5.90993
98	202.706	7.03853	0	10.6858	0	0	0	0	0	0	0	0	0	0	0	112.163	0	2.09864	0.0130075	0	0	5.91274
98.5	202.824	7.04267	0	10.6907	0	0	0	0	0	0	0	0	0	0	0	112.229	0	2.09987	0.0130171	0	0	5.91549
99	202.94	7.04673	0	10.6956	0	0	0	0	0	0	0	0	0	0	0	112.293	0	2.10108	0.0130266	0	0	5.91818
99.5	203.054	7.05071	0	10.7003	0	0	0	0	0	0	0	0	0	0	0	112.356	0	2.10226	0.013036	0	0	5.92083
100	203.166	7.05461	0	10.705	0	0	0	0	0	0	0	0	0	0	0	112.418	0	2.10342	0.0130451	0	0	5.92342
