Time	Ca.ParticleNumber	cAMP.ParticleNumber
226	9	17
226.5	2	24
227	4	17
227.5	9	19
228	7	20
228.5	8	19
229	9	15
229.5	12	13
230	7	14
230.5	9	19
231	4	11
231.5	13	21
232	8	20
232.5	9	17
233	9	13
233.5	11	16
234	6	11
234.5	12	11
235	15	16
235.5	15	13
236	10	8
236.5	9	18
237	6	13
237.5	7	6
238	5	5
238.5	10	8
239	8	9
239.5	9	8
240	13	6
240.5	14	5
241	7	3
241.5	6	4
242	8	5
242.5	7	9
243	12	5
243.5	12	6
244	13	6
244.5	11	5
245	9	7
245.5	12	2
246	8	4
246.5	13	2
247	11	4
247.5	16	4
248	18	4
248.5	9	7
249	5	4
249.5	7	4
250	7	5
250.5	9	1
251	7	1
251.5	13	3
252	10	2
252	10	2
252.5	12	2
253	7	3
253.5	14	3
254	8	7
254	8	7
254	8	7
254.5	1077	3
255	1755	1
255.5	2061	1
256	2208	6
256	2208	6
256	2208	6
256.5	911	2
257	381	3
257.5	181	0
258	103	2
258	103	2
258.5	1386	3
259	1913	3
259.5	2108	1
260	2285	1
260	2285	1
260.5	958	2
261	392	0
261.5	177	3
262	94	1
262	94	1
262.5	1366	1
263	1963	1
263.5	2084	1
264	2273	1
264	2273	1
264	2273	1
264.5	962	0
265	416	0
265.5	191	0
266	98	4
266	98	4
266.5	1363	0
267	1946	1
267.5	2143	2
268	2258	1
268	2258	1
268	2258	1
268.5	918	2
269	407	2
269.5	210	1
270	98	0
270	98	0
270.5	1386	1
271	1925	1
271.5	2153	1
272	2343	1
272	2343	1
272.5	976	2
273	459	0
273.5	228	0
274	94	0
274	94	0
274	94	0
