Time	Ca.ParticleNumberRate
156.5	0.000286027
157	0.000281117
157.5	0.000278296
158	0.000278048
158.5	0.000280894
159	0.000287392
159.5	0.000298138
160	0.000313764
160.5	0.000288482
161	0.000233025
161.5	0.000230433
162	0.000231451
162.5	0.000228365
163	0.000223833
163.5	0.000221795
164	0.000218855
164.5	0.000212257
165	0.00020709
165.5	0.000203026
166	0.000199123
166.5	0.000195307
167	0.000191603
167.5	0.000188079
168	0.000184619
168.5	0.000181177
169	0.000177778
169.5	0.000174522
170	0.000171385
170.5	0.0001683
171	0.000165258
171.5	0.000162246
172	0.000159253
172.5	0.000156268
173	0.00015328
173.5	0.000150277
174	0.000147248
174.5	0.000144442
175	0.000141758
175.5	0.000139122
176	0.000136534
176.5	0.00013399
177	0.000131489
177.5	0.000129028
178	0.000126605
178.5	0.000124217
179	0.000121862
179.5	0.000119583
180	0.000117352
180.5	0.000115162
181	0.000113013
181.5	0.000110905
182	0.000108834
182.5	0.000106801
183	0.000104804
183.5	0.000102843
184	0.00010093
184.5	9.90429e-05
185	9.71929e-05
185.5	9.53785e-05
186	9.35985e-05
186.5	9.18516e-05
187	9.01367e-05
187.5	8.84526e-05
188	8.67983e-05
188.5	8.51726e-05
189	8.35759e-05
189.5	8.20176e-05
190	8.04879e-05
190.5	7.89861e-05
191	7.75117e-05
191.5	7.6064e-05
192	7.46425e-05
192.5	7.32466e-05
193	7.18759e-05
193.5	7.053e-05
194	6.92084e-05
194.5	6.79109e-05
195	6.66372e-05
195.5	6.53869e-05
196	6.41599e-05
196.5	6.29561e-05
197	6.17689e-05
197.5	6.06028e-05
198	5.94578e-05
198.5	5.83338e-05
199	5.72307e-05
199.5	5.61484e-05
200	5.50869e-05
200.5	-0.63709
201	-0.449442
201.5	-0.308058
202	-0.215226
202.5	-0.151984
203	-0.107987
203.5	-0.0769701
204	-0.0547866
204.5	-0.0387516
205	-0.0268795
205.5	-0.0178992
206	-0.0109494
206.5	-0.00544006
207	-0.000960898
207.5	0.00275773
208	0.005917
208.5	0.00848512
209	0.0110996
209.5	0.0130472
210	0.0149601
210.5	0.0165457
211	0.0181459
211.5	0.0193595
212	0.0206804
212.5	0.0217387
213	0.0227308
213.5	0.0236041
214	0.0243888
214.5	0.0250877
215	0.0257068
215.5	0.0262526
216	0.0267307
216.5	0.0271443
217	0.0275003
217.5	0.0277963
218	0.0280511
218.5	0.0282502
219	0.0283957
219.5	0.0285108
220	0.0285826
220.5	0.0286162
221	0.0286158
221.5	0.0285828
222	0.0285205
222.5	0.0284298
223	0.0283095
223.5	0.0281658
224	0.0280017
224.5	0.0278155
225	0.0276103
225.5	0.0273873
226	0.0271482
226.5	0.0268945
227	0.0266275
227.5	0.0263491
228	0.0260591
228.5	0.0257601
229	0.0254591
229.5	0.0251442
230	0.0248253
230.5	0.0244997
231	0.0241726
231.5	0.0238416
232	0.0235084
232.5	0.0231737
233	0.0228382
233.5	0.0225022
234	0.0221666
234.5	0.0218317
235	0.0214981
235.5	0.0211661
236	0.020836
236.5	0.0205082
237	0.020183
237.5	0.0198606
238	0.0195413
238.5	0.0192248
239	0.0189119
239.5	0.0186027
240	0.0182968
240.5	0.0179932
241	0.0176935
241.5	0.0174009
242	0.017113
242.5	0.0168198
243	0.0165223
243.5	0.0162469
244	0.0159934
244.5	0.0157337
245	0.0154375
245.5	0.0151745
246	0.0149136
246.5	0.014656
247	0.0144019
247.5	0.0141514
248	0.0139046
248.5	0.0136614
249	0.0134213
249.5	0.0131848
250	3959.57
250.5	2178.9
251	929.88
251.5	403.585
252	-3781.33
252.5	-1600.64
253	-680.779
253.5	-290.252
254	3838.74
254.5	1620.29
255	692.271
255.5	299.927
256	-3827.74
256.5	-1622.11
257	-690.632
257.5	-294.766
258	3836.74
258.5	1619.23
259	691.784
259.5	299.665
260	-3827.86
260.5	-1622.16
261	-690.681
261.5	-294.778
262	3836.81
262.5	1619.19
263	691.805
263.5	299.731
264	-3827.84
264.5	-1622.13
265	-690.674
265.5	-294.768
266	3836.85
266.5	1619.18
267	691.815
267.5	299.748
268	-3827.83
268.5	-1622.12
269	-690.67
269.5	-294.762
270	3836.86
270.5	1619.18
271	691.819
271.5	299.76
272	-3827.82
272.5	-1622.12
273	-690.668
273.5	-294.759
274	3836.87
274.5	1619.17
275	691.817
275.5	299.759
276	-3827.82
276.5	-1622.11
277	-690.667
277.5	-294.757
278	3836.88
278.5	1619.17
279	691.816
279.5	299.759
280	-3827.82
280.5	-1622.11
281	-690.664
281.5	-294.755
282	3836.88
282.5	1619.17
283	691.827
283.5	299.771
284	-3827.82
284.5	-1622.11
285	-690.664
285.5	-294.754
286	3836.88
286.5	1619.17
287	691.825
287.5	299.76
288	-3827.82
288.5	-1622.11
289	-690.664
289.5	-294.753
290	-122.674
290.5	-46.8791
291	-18.7797
291.5	-9.44127
292	-5.77614
292.5	-3.99825
293	-2.9871
293.5	-2.34818
294	-1.91581
294.5	-1.60548
295	-1.37374
295.5	-1.19631
296	-1.05362
296.5	-0.941482
297	-0.848161
297.5	-0.770137
298	-0.705333
298.5	-0.648558
299	-0.600982
299.5	-0.559065
300	-0.522375
300.5	-0.489898
301	-0.461257
301.5	-0.435426
302	-0.412207
302.5	-0.391209
303	-0.371936
303.5	-0.353986
304	-0.338015
304.5	-0.323527
305	-0.310167
305.5	-0.296955
306	-0.286172
306.5	-0.275726
307	-0.265884
307.5	-0.256745
308	-0.246671
308.5	-0.238827
309	-0.231652
309.5	-0.224579
310	-0.21812
310.5	-0.211358
311	-0.204646
311.5	-0.198883
312	-0.193521
312.5	-0.188235
313	-0.183219
313.5	-0.1784
314	-0.173826
314.5	-0.169458
315	-0.165252
315.5	-0.161334
316	-0.157482
316.5	-0.153806
317	-0.150277
317.5	-0.146851
318	-0.143587
318.5	-0.140407
319	-0.137367
319.5	-0.13445
320	-0.131618
320.5	-0.128906
321	-0.126212
321.5	-0.12358
322	-0.121028
322.5	-0.118562
323	-0.116237
323.5	-0.114117
324	-0.111931
324.5	-0.109692
325	-0.107366
325.5	-0.105192
326	-0.103259
326.5	-0.101658
327	-0.100098
327.5	-0.0984227
328	-0.0966288
328.5	-0.0948479
329	-0.0931826
329.5	-0.09156
330	-0.0899981
330.5	-0.0884313
331	-0.0869077
331.5	-0.0854459
332	-0.084019
332.5	-0.0826032
333	-0.0812222
333.5	-0.0798798
334	-0.0785541
334.5	-0.0772573
335	-0.075993
335.5	-0.0747555
336	-0.0735392
336.5	-0.0723526
337	-0.0711993
337.5	-0.0700473
338	-0.0689181
338.5	-0.0678162
339	-0.0667485
339.5	-0.0657154
340	-0.0646722
340.5	-0.0636488
341	-0.0626489
341.5	-0.0616775
342	-0.06073
342.5	-0.05978
343	-0.0588473
343.5	-0.0579346
344	-0.0570458
344.5	-0.0561738
345	-0.0553051
345.5	-0.0544523
346	-0.0536176
346.5	-0.0528042
347	-0.0520028
347.5	-0.0512069
348	-0.0504247
348.5	-0.0496576
349	-0.0489077
349.5	-0.0481604
350	-0.0474148
350.5	-0.0466779
351	-0.0459507
351.5	-0.0452348
352	-0.0445326
352.5	-0.0438408
353	-0.0431611
353.5	-0.0424989
354	-0.0418577
354.5	-0.0412421
355	-0.0406569
355.5	-0.0400731
356	-0.039482
356.5	-0.0388985
357	-0.0383214
357.5	-0.0377492
358	-0.0371806
358.5	-0.0366203
359	-0.0360699
359.5	-0.0355269
360	-0.0349919
360.5	-0.0344658
361	-0.0339499
361.5	-0.0334383
362	-0.0329284
362.5	-0.0324244
363	-0.0319265
363.5	-0.0314353
364	-0.0309513
364.5	-0.0304742
365	-0.0300043
365.5	-0.029543
366	-0.0290916
366.5	-0.0286511
367	-0.028223
367.5	-0.0278088
368	-0.0273974
368.5	-0.0269841
369	-0.0265761
369.5	-0.0261728
370	-0.0257737
370.5	-0.0253781
371	-0.0249855
371.5	-0.0245991
372	-0.0242196
372.5	-0.023845
373	-0.0234755
373.5	-0.0231111
374	-0.022752
374.5	-0.0223984
375	-0.0220502
375.5	-0.0217075
376	-0.0213708
376.5	-0.0210405
377	-0.0207167
377.5	-0.0204
378	-0.0200906
378.5	-0.0197834
379	-0.019478
379.5	-0.019176
380	-0.0188769
380.5	-0.0185802
381	-0.018285
381.5	-0.0179908
382	-0.0177071
382.5	-0.0174322
383	-0.0171627
383.5	-0.0168988
384	-0.0166408
384.5	-0.0163887
385	-0.0161428
385.5	-0.0159032
386	-0.01567
386.5	-0.0154268
387	-0.0151832
387.5	-0.0149384
388	-0.0146911
388.5	-0.0144402
389	-0.0141841
389.5	-0.0139215
390	-0.0136507
390.5	-0.0133846
391	-0.0131616
391.5	-0.012952
392	-0.0127583
392.5	-0.0125834
393	-0.0124301
393.5	-0.0123016
394	-0.0122012
394.5	-0.0121323
395	-0.0120393
395.5	-0.011892
396	-0.0117203
396.5	-0.0115153
397	-0.011267
397.5	-0.0109645
398	-0.010596
398.5	-0.0102034
399	-0.00987107
399.5	-0.00955355
400	-0.00926678
400.5	-0.00902893
401	-0.00885962
401.5	-0.0087267
402	-0.00866615
402.5	-0.00869068
403	-0.00881347
403.5	-0.00891622
404	-0.00891617
404.5	-0.00882197
405	-0.00858006
405.5	-0.00820281
406	-0.00800779
406.5	-0.00781757
407	-0.00763381
407.5	-0.00747577
408	-0.00736246
408.5	-0.00729158
409	-0.00727087
409.5	-0.00721062
410	-0.00712419
410.5	-0.00701141
411	-0.00687161
411.5	-0.00674728
412	-0.00661374
412.5	-0.00647069
413	-0.00633416
413.5	-0.00621445
414	-0.00610296
414.5	-0.00600213
415	-0.00591447
415.5	-0.00584247
416	-0.00574854
416.5	-0.00565344
417	-0.00555787
417.5	-0.00546129
418	-0.00536319
418.5	-0.00526605
419	-0.00517385
419.5	-0.00508334
420	-0.00499477
420.5	-0.00490844
421	-0.00482464
421.5	-0.00473967
422	-0.00465733
422.5	-0.00457613
423	-0.00449632
423.5	-0.00441817
424	-0.0043415
424.5	-0.00426535
425	-0.00419061
425.5	-0.00411725
426	-0.0040452
426.5	-0.00397436
427	-0.00390457
427.5	-0.00383561
428	-0.0037673
428.5	-0.00370197
429	-0.00363779
429.5	-0.00357457
430	-0.00351212
430.5	-0.0034502
431	-0.00338854
431.5	-0.00332683
432	-0.00326475
432.5	-0.00320576
433	-0.00314863
433.5	-0.00309246
434	-0.0030372
434.5	-0.00298282
435	-0.00292925
435.5	-0.00287644
436	-0.00282431
436.5	-0.00277324
437	-0.00272334
437.5	-0.0026743
438	-0.0026261
438.5	-0.0025787
439	-0.00253208
439.5	-0.0024862
440	-0.00244101
440.5	-0.00239659
441	-0.00235313
441.5	-0.00231042
442	-0.00226841
442.5	-0.0022271
443	-0.00218644
443.5	-0.0021464
444	-0.00210694
444.5	-0.00206805
445	-0.00203015
445.5	-0.00199291
446	-0.00195631
446.5	-0.00192036
447	-0.00188502
447.5	-0.00185029
448	-0.00181613
448.5	-0.00178252
449	-0.00174962
449.5	-0.00171734
450	-0.00168564
450.5	-0.0016545
451	-0.00162391
451.5	-0.00159385
452	-0.0015643
452.5	-0.00153523
453	-0.00150674
453.5	-0.00147882
454	-0.0014514
454.5	-0.00142447
455	-0.00139802
455.5	-0.00137202
456	-0.00134645
456.5	-0.00132131
457	-0.00129667
457.5	-0.00127268
458	-0.00124915
458.5	-0.00122608
459	-0.00120346
459.5	-0.00118129
460	-0.00115953
460.5	-0.00113819
461	-0.00111724
