Time	AMP.ParticleNumber	CDK5.ParticleNumber	CK1.ParticleNumber	CK1P.ParticleNumber	CK1P_PP2B.ParticleNumber	Ca.ParticleNumber	D.ParticleNumber	D137.ParticleNumber	D137_CDK5.ParticleNumber	D137_PKA.ParticleNumber	D137_PP2C.ParticleNumber	D34.ParticleNumber	D34:137.ParticleNumber	D34:137_CDK5.ParticleNumber	D34:137_PP2B.ParticleNumber	D34:137_PP2C.ParticleNumber	D34:75.ParticleNumber	D34:75:137.ParticleNumber	D34:75:137_PP2A.ParticleNumber	D34:75:137_PP2ACa.ParticleNumber	D34:75:137_PP2AP.ParticleNumber	D34:75:137_PP2APCa.ParticleNumber	D34:75:137_PP2B.ParticleNumber	D34:75:137_PP2C.ParticleNumber	D34:75_CK1.ParticleNumber	D34:75_PP2A.ParticleNumber	D34:75_PP2ACa.ParticleNumber	D34:75_PP2AP.ParticleNumber	D34:75_PP2APCa.ParticleNumber	D34:75_PP2B.ParticleNumber	D34_CDK5.ParticleNumber	D34_CK1.ParticleNumber	D34_PP2B.ParticleNumber	D75.ParticleNumber	D75:137.ParticleNumber	D75:137_PKA.ParticleNumber	D75:137_PP2A.ParticleNumber	D75:137_PP2ACa.ParticleNumber	D75:137_PP2AP.ParticleNumber	D75:137_PP2APCa.ParticleNumber	D75:137_PP2C.ParticleNumber	D75_CK1.ParticleNumber	D75_PKA.ParticleNumber	D75_PP2A.ParticleNumber	D75_PP2ACa.ParticleNumber	D75_PP2AP.ParticleNumber	D75_PP2APCa.ParticleNumber	D_CDK5.ParticleNumber	D_CK1.ParticleNumber	D_PKA.ParticleNumber	Empty.ParticleNumber	PDE.ParticleNumber	PDEP.ParticleNumber	PDE_PKA.ParticleNumber	PKA.ParticleNumber	PP2A.ParticleNumber	PP2ACa.ParticleNumber	PP2ACa_PKA.ParticleNumber	PP2AP.ParticleNumber	PP2APCa.ParticleNumber	PP2A_PKA.ParticleNumber	PP2B.ParticleNumber	PP2Binactive.ParticleNumber	PP2BinactiveCa2.ParticleNumber	PP2C.ParticleNumber	R2C2.ParticleNumber	cAMP.ParticleNumber	cAMP2_R2C2.ParticleNumber	cAMP3_R2C2.ParticleNumber	cAMP4_R2.ParticleNumber	cAMP4_R2C.ParticleNumber	cAMP4_R2C2.ParticleNumber	cAMP_PDE.ParticleNumber	cAMP_PDEP.ParticleNumber	cAMP_R2C2.ParticleNumber
5	0	50.6793	5.90548	86.2329	0.297477	5.29208	1967.15	251.288	7.86805	0	15.6224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	596.651	73.226	0	1.44644	0.00481576	0	0	4.49448	1.73942	0	11.8133	0.0394353	0	0	61.8955	5.79229	0	0	1204.43	0	0	0	106.969	0.169366	0	0	0	0	2.10105	185.397	12.1399	59.9776	3998.7	0	0	0	0	0	0	0	0	0
5.5	0	51.1478	5.14086	87.9657	0.348184	5.41873	1928.87	254.631	8.05159	0	15.7163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	625.593	79.6168	0	1.5646	0.00540519	0	0	4.85973	1.58464	0	12.3183	0.0426509	0	0	61.2434	4.92818	0	0	1204.43	0	0	0	106.337	0.174439	0	0	0	0	2.40678	184.333	12.8467	59.5184	3998.7	0	0	0	0	0	0	0	0	0
6	0	51.5784	4.58306	89.2183	0.398577	5.53653	1894.72	257.241	8.20623	0	15.7764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	651.447	85.528	0	1.67288	0.00596865	0	0	5.19457	1.46745	0	12.7638	0.0456283	0	0	60.6582	4.3002	0	0	1204.43	0	0	0	105.776	0.178994	0	0	0	0	2.71289	183.317	13.5063	59.1235	3998.7	0	0	0	0	0	0	0	0	0
6.5	0	51.9736	4.19216	90.0858	0.448214	5.64669	1864.07	259.398	8.34092	0	15.8171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	674.522	91.0193	0	1.77268	0.00650786	0	0	5.50271	1.38597	0	13.1571	0.0483856	0	0	60.1283	3.85541	0	0	1204.43	0	0	0	105.275	0.183136	0	0	0	0	3.01817	182.344	14.1248	58.7747	3998.7	0	0	0	0	0	0	0	0	0
7	0	52.336	3.93515	90.6463	0.496793	5.75016	1836.41	261.313	8.46265	0	15.8488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	695.088	96.1517	0	1.86537	0.0070254	0	0	5.78774	1.33689	0	13.5039	0.0509389	0	0	59.6441	3.55246	0	0	1204.43	0	0	0	104.829	0.186942	0	0	0	0	3.32172	181.409	14.7072	58.4579	3998.7	0	0	0	0	0	0	0	0	0
7.5	0	52.668	3.7849	90.9633	0.544122	5.8477	1811.31	263.142	8.57686	0	15.8789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	713.382	100.983	0	1.95221	0.00752429	0	0	6.05296	1.31623	0	13.8093	0.0533031	0	0	59.198	3.35901	0	0	1204.43	0	0	0	104.43	0.19047	0	0	0	0	3.6229	180.511	15.2573	58.1626	3998.7	0	0	0	0	0	0	0	0	0
8	0	52.9718	3.71925	91.0886	0.590089	5.93996	1788.41	265.003	8.68775	0	15.9127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	729.612	105.568	0	2.03434	0.00800761	0	0	6.30138	1.31985	0	14.0777	0.0554914	0	0	58.7832	3.24979	0	0	1204.43	0	0	0	104.074	0.193765	0	0	0	0	3.92121	179.645	15.7784	57.8804	3998.7	0	0	0	0	0	0	0	0	0
8.5	0	53.2497	3.72016	91.064	0.634641	6.02745	1767.4	266.981	8.79853	0	15.9538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	743.964	109.955	0	2.11275	0.0084784	0	0	6.53563	1.34374	0	14.3127	0.0575159	0	0	58.3946	3.20504	0	0	1204.43	0	0	0	103.755	0.19686	0	0	0	0	4.21626	178.811	16.2733	57.6051	3998.7	0	0	0	0	0	0	0	0	0
9	0	53.5036	3.77305	90.9233	0.677763	6.11061	1748.03	269.138	8.91164	0	16.0046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	756.607	114.186	0	2.1883	0.00893948	0	0	6.75799	1.38417	0	14.5177	0.0593877	0	0	58.0275	3.20929	0	0	1204.43	0	0	0	103.469	0.199781	0	0	0	0	4.50777	178.005	16.7441	57.3319	3998.7	0	0	0	0	0	0	0	0	0
9.5	0	53.7356	3.86612	90.6937	0.719473	6.18984	1730.06	271.516	9.02892	0	16.0668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	767.691	118.297	0	2.26174	0.00939339	0	0	6.97044	1.43779	0	14.6955	0.0611167	0	0	57.6783	3.25047	0	0	1204.43	0	0	0	103.212	0.202551	0	0	0	0	4.79552	177.227	17.193	57.0573	3998.7	0	0	0	0	0	0	0	0	0
