# time 'Ca' 'D34:75:137_PP2ACa' 'D34:75:137_PP2APCa' 'D34:75_PP2ACa' 'D34:75_PP2APCa' 'D75:137_PP2ACa' 'D75:137_PP2APCa' 'D75_PP2ACa' 'D75_PP2APCa' 'PP2ACa' 'PP2ACa_PKA' 'PP2APCa' 'PP2BinactiveCa2_1' 'PP2BinactiveCa2_2' 'PP2BinactiveCa2_3' 'PP2BinactiveCa2_4' 'PP2BinactiveCa2_5' 'PP2BinactiveCa2_6' 'all_Ca2+' 'PP2Ba_missingCa2+_1' 'D_PP2Ba__missingCa2+_2' 'D_PP2Ba__missingCa2+_3' 'D_CDK5_PP2Ba__missingCa2+_4' 'CK1_PP2Ba__missingCa2+_5' 'D_PP2Ba_missingCa2+_6'
 2.350000E+01 6 0 0 0 0 0 0 0 0 0 0 0 11 9 12 17 14 13 170 3 0 0 0 0 0
 2.400000E+01 6 0 0 0 0 0 0 0 0 0 0 0 12 12 11 14 11 15 172 4 0 0 0 0 0
 2.450000E+01 9 0 0 0 0 0 0 0 0 0 0 0 7 8 14 12 13 10 177 9 0 0 0 1 0
 2.500000E+01 7 0 0 0 0 0 0 0 0 0 0 0 8 6 11 24 7 14 179 7 0 0 0 1 0
 2.550000E+01 6 0 0 0 0 0 0 0 0 0 0 0 14 2 13 21 12 11 184 6 0 0 0 2 0
 2.600000E+01 5 0 0 0 0 0 0 0 0 0 0 0 15 5 16 20 10 11 183 4 0 0 0 2 0
 2.650000E+01 6 0 0 0 0 0 0 0 0 1 0 0 13 6 18 24 9 10 179 2 0 0 0 1 0
 2.700000E+01 8 0 0 0 0 0 0 0 0 1 0 0 13 8 15 18 11 12 187 6 0 0 0 0 0
 2.750000E+01 4 0 0 0 0 0 0 0 0 1 0 0 14 11 20 11 10 16 185 4 0 0 0 0 0
 2.800000E+01 9 0 0 0 0 0 0 0 0 1 0 0 12 12 19 13 10 14 182 3 0 0 0 0 0
 2.850000E+01 10 0 0 0 0 0 0 0 0 0 0 0 11 18 16 11 14 13 188 2 0 0 0 1 0
 2.900000E+01 9 0 0 0 0 0 0 0 0 0 0 0 14 19 13 14 14 11 187 2 0 0 0 0 0
 2.950000E+01 7 0 0 0 0 0 0 0 0 0 0 0 13 16 11 16 11 8 193 9 0 0 0 0 0
 3.000000E+01 8 0 0 0 0 0 0 0 0 0 0 0 12 15 13 18 12 11 194 5 0 0 0 1 0
 3.050000E+01 9 0 0 0 0 0 0 0 0 1 0 0 17 16 10 15 16 10 194 2 0 0 0 2 0
 3.100000E+01 10 0 0 0 0 0 0 0 0 0 0 0 15 12 8 13 13 18 200 7 0 0 0 1 0
 3.150000E+01 6 0 0 0 0 0 0 0 0 0 0 0 17 11 16 18 7 19 210 5 0 0 0 2 0
 3.200000E+01 5 0 0 0 0 0 0 0 0 0 0 0 19 8 23 14 12 16 209 4 0 0 0 1 0
 3.250000E+01 6 0 0 0 0 0 0 0 0 0 0 0 13 13 19 15 15 12 216 8 0 0 0 1 0
 3.300000E+01 6 0 0 0 0 0 0 0 0 0 0 0 15 10 24 19 14 9 220 7 0 0 0 1 0
 3.350000E+01 5 0 0 0 0 0 0 0 0 0 0 0 10 6 25 17 19 9 217 7 0 0 0 3 0
 3.400000E+01 5 0 0 0 0 0 0 0 0 0 0 0 13 10 21 12 24 11 215 5 0 0 0 2 0
 3.450000E+01 4 0 0 0 0 0 0 0 0 0 0 0 18 15 20 14 19 8 220 6 0 0 0 1 0
 3.500000E+01 8 0 0 0 0 0 0 0 0 0 0 0 16 13 13 15 19 12 220 8 0 0 0 1 0
 3.550000E+01 9 0 0 0 0 0 0 0 0 0 0 0 8 14 12 16 15 15 221 11 0 0 0 2 0
 3.600000E+01 8 0 0 0 0 0 0 0 0 0 0 0 16 14 19 13 17 15 224 7 0 0 0 0 0
 3.650000E+01 9 0 0 0 0 0 0 0 0 0 0 0 21 12 14 13 17 14 223 8 0 0 0 0 0
 3.700000E+01 9 0 0 0 0 0 0 0 0 0 0 0 15 15 16 15 13 17 219 7 0 0 0 0 0
 3.750000E+01 12 0 0 0 0 0 0 1 0 0 0 0 20 12 17 19 13 13 225 5 0 0 0 1 0
 3.800000E+01 9 0 0 0 0 0 0 0 0 0 0 0 15 15 16 19 17 13 231 5 0 0 0 3 0
 3.850000E+01 10 0 0 0 0 0 0 0 0 0 0 0 11 14 16 21 13 18 228 8 0 0 0 0 0
 3.900000E+01 10 0 0 0 0 0 0 0 0 0 0 0 15 16 16 22 15 13 232 7 0 0 0 0 0
 3.950000E+01 7 0 0 0 0 0 0 0 0 0 0 0 17 18 15 23 15 12 239 7 0 0 0 1 0
 4.000000E+01 7 0 0 0 0 0 0 0 0 0 0 0 14 19 15 20 17 17 235 6 0 0 0 0 0
 4.050000E+01 12 0 0 0 0 0 0 0 0 1 0 0 14 13 16 14 15 20 245 11 0 0 0 1 0
 4.100000E+01 4 0 0 0 0 0 0 0 0 1 0 0 17 14 15 18 12 13 247 16 0 0 0 0 0
 4.150000E+01 7 0 0 0 0 0 0 0 0 1 0 0 15 12 18 17 17 13 248 14 0 0 0 0 0
 4.200000E+01 9 0 0 0 0 0 0 0 0 0 0 0 16 12 16 24 19 14 247 8 0 0 0 1 0
 4.250000E+01 8 0 0 0 0 0 0 0 0 0 0 0 11 11 15 16 24 15 244 12 0 0 0 1 0
 4.300000E+01 8 0 0 0 0 0 0 0 0 0 0 0 19 11 14 22 19 14 242 7 0 0 0 2 0
 4.350000E+01 5 0 0 0 0 0 0 0 0 0 0 0 21 13 13 17 17 18 239 5 0 0 0 4 0
 4.400000E+01 7 0 0 0 0 0 0 0 0 0 0 0 26 14 12 15 20 15 243 7 0 0 0 1 0
 4.450000E+01 13 0 0 0 0 0 0 0 0 0 0 0 25 14 17 15 19 14 245 5 0 0 0 1 0
 4.500000E+01 9 0 0 0 0 0 0 0 0 0 0 0 20 15 14 15 22 11 247 8 0 0 0 3 0
 4.550000E+01 5 0 0 0 0 0 0 0 0 0 0 0 20 10 17 16 22 20 251 8 0 0 0 1 0
 4.600000E+01 13 0 0 0 0 0 0 0 0 0 0 0 23 15 11 17 11 20 251 10 0 0 0 1 0
 4.650000E+01 4 0 0 0 0 0 0 0 0 0 0 0 23 14 15 12 14 24 252 9 0 0 0 2 0
 4.700000E+01 13 0 0 0 0 0 0 0 0 0 0 0 19 20 19 12 13 17 253 10 0 0 0 0 0
 4.750000E+01 6 0 0 0 0 0 0 0 0 0 0 0 18 24 17 12 15 16 242 7 0 0 0 1 0
 4.800000E+01 9 0 0 0 0 0 0 0 0 0 0 0 21 19 13 15 13 17 237 5 0 0 0 3 0
 4.850000E+01 5 0 0 0 0 0 0 0 0 0 0 0 16 19 14 17 18 16 237 8 0 0 0 0 0
 4.900000E+01 8 0 0 0 0 0 0 0 0 0 0 0 17 18 12 21 21 19 244 4 0 0 0 1 0
 4.950000E+01 8 0 0 0 0 0 0 0 0 0 0 0 24 18 13 19 19 10 250 9 0 0 0 0 0
 5.000000E+01 6 0 0 0 0 0 0 0 0 0 0 0 20 17 22 20 13 15 256 8 0 0 0 1 0
 5.050000E+01 7 0 0 0 0 0 0 0 0 0 0 0 18 15 18 21 18 15 257 8 0 0 0 2 0
 5.100000E+01 6 0 0 0 0 0 0 0 0 0 0 0 21 19 13 15 12 20 254 11 0 0 0 1 0
 5.150000E+01 10 0 0 0 0 0 0 0 0 0 0 0 22 20 13 17 19 24 256 4 0 0 0 0 0
 5.200000E+01 9 0 0 0 0 0 0 0 0 0 0 0 18 17 13 19 18 25 257 7 0 0 0 0 0
 5.250000E+01 9 0 0 0 0 0 0 0 0 0 0 0 17 14 14 20 19 18 257 11 0 0 0 0 0
 5.300000E+01 9 0 0 0 0 0 0 0 0 0 0 0 17 13 18 23 10 16 255 11 0 0 0 2 0
 5.350000E+01 7 0 0 0 0 0 0 0 0 0 0 0 19 16 19 24 11 14 257 10 0 0 0 1 0
 5.400000E+01 8 0 0 0 0 0 0 0 0 0 0 0 17 15 17 15 14 10 256 16 0 0 0 2 0
 5.450000E+01 9 0 0 0 0 0 0 0 0 0 0 0 21 19 19 22 17 10 257 6 0 0 0 2 0
 5.500000E+01 7 0 0 0 0 0 0 0 0 0 0 0 19 15 21 20 18 18 257 6 0 0 0 1 0
 5.550000E+01 8 0 0 0 0 0 0 1 0 0 0 0 19 14 18 17 16 14 257 13 0 0 0 0 0
 5.600000E+01 9 0 0 0 0 0 0 0 0 0 0 0 18 13 21 24 20 15 259 6 0 0 0 1 0
 5.650000E+01 11 0 0 0 0 0 0 0 0 0 0 0 21 17 16 17 19 22 263 7 0 0 0 0 0
 5.700000E+01 14 0 0 0 0 0 0 0 0 0 0 0 20 25 23 13 15 14 274 9 0 0 0 1 0
 5.750000E+01 6 0 0 0 0 0 0 0 0 0 0 0 17 21 18 14 16 15 272 14 0 0 0 2 0
 5.800000E+01 3 0 0 0 0 0 0 0 0 0 0 0 12 23 18 17 17 17 267 11 0 0 0 3 0
 5.850000E+01 8 0 0 0 0 0 0 0 0 0 0 0 21 12 14 16 13 16 264 14 0 0 0 4 0
 5.900000E+01 9 0 0 0 0 0 0 0 0 0 0 0 20 18 15 22 12 16 263 11 0 0 0 1 0
 5.950000E+01 6 0 0 0 0 0 0 0 0 0 0 0 14 21 17 24 9 17 266 13 0 0 0 1 0
 6.000000E+01 9 0 0 0 0 0 0 0 0 0 0 0 15 20 19 23 13 21 275 10 0 0 0 1 0
 6.050000E+01 7 0 0 0 0 0 0 0 0 0 0 0 20 20 21 16 18 14 273 11 0 0 0 1 0
 6.100000E+01 7 0 0 0 0 0 0 0 0 0 0 0 17 18 16 12 21 17 273 16 0 0 0 0 0
 6.150000E+01 6 0 0 0 0 0 0 0 0 0 0 0 16 18 18 19 13 16 266 12 0 0 0 3 0
 6.200000E+01 7 0 0 0 0 0 0 1 0 0 0 0 15 19 14 22 20 15 270 13 0 0 0 0 0
 6.250000E+01 6 0 0 0 0 0 0 0 0 1 0 0 19 26 13 21 16 16 277 12 0 0 0 0 0
 6.300000E+01 14 0 0 0 0 0 0 1 0 0 0 0 13 24 20 14 17 18 279 11 0 0 0 2 0
 6.350000E+01 5 0 0 0 0 0 0 0 0 0 0 0 16 21 22 14 13 21 279 15 0 0 0 0 0
 6.400000E+01 8 0 0 0 0 0 0 0 0 0 0 0 23 15 16 15 9 24 280 14 0 0 0 3 0
 6.450000E+01 10 0 0 0 0 0 0 0 0 0 0 0 25 8 20 20 11 22 278 12 0 0 0 2 0
 6.500000E+01 9 0 0 0 0 0 0 0 0 0 0 0 25 10 12 21 17 19 277 15 0 0 0 0 0
 6.550000E+01 8 0 0 0 0 0 0 0 0 0 0 0 17 12 10 28 25 16 268 8 0 0 0 3 0
 6.600000E+01 9 0 0 0 0 0 0 0 0 0 0 0 21 13 14 22 21 13 269 11 0 0 0 2 0
 6.650000E+01 9 0 0 0 0 0 0 0 0 0 0 0 19 19 19 21 14 5 275 17 0 0 0 1 0
 6.700000E+01 8 0 0 0 0 0 0 0 0 0 0 0 22 17 16 23 17 11 280 13 0 0 0 2 0
 6.750000E+01 6 0 0 0 0 0 0 0 0 0 0 0 29 21 13 19 16 14 282 12 0 0 0 1 0
 6.800000E+01 12 0 0 0 0 0 0 0 0 0 0 0 20 19 12 21 23 17 280 9 0 0 0 2 0
 6.850000E+01 9 0 0 0 0 0 0 0 0 0 0 0 16 20 18 17 19 17 287 15 0 0 0 1 0
 6.900000E+01 9 0 0 0 0 0 0 0 0 0 0 0 14 20 13 23 19 23 285 11 0 0 0 2 0
 6.950000E+01 12 0 0 0 0 0 0 0 0 0 0 0 15 20 16 24 20 18 286 9 0 0 0 3 0
 7.000000E+01 12 0 0 0 0 0 0 0 0 0 0 0 23 15 12 21 19 25 282 7 0 0 0 3 0
 7.050000E+01 2 0 0 0 0 0 0 0 0 0 0 0 26 19 20 13 16 20 282 12 0 0 0 1 0
 7.100000E+01 9 0 0 0 0 0 0 0 0 0 0 0 18 20 17 17 15 15 281 14 0 0 0 3 0
 7.150000E+01 14 0 0 0 0 0 0 0 0 0 0 0 25 16 16 19 14 21 284 10 0 0 0 2 0
 7.200000E+01 14 0 0 0 0 0 0 0 0 0 0 0 19 16 19 11 18 27 286 10 0 0 0 3 0
 7.250000E+01 10 0 0 0 0 0 0 0 0 0 0 0 21 15 13 20 26 28 280 6 0 0 0 0 0
 7.300000E+01 9 0 0 0 0 0 0 0 0 0 0 0 16 16 14 21 21 25 283 11 0 0 0 1 0
 7.350000E+01 7 0 0 0 0 0 0 0 0 1 0 0 16 16 19 17 19 25 276 10 0 0 0 1 0
 7.400000E+01 13 0 0 0 0 0 0 0 0 2 0 0 14 15 15 19 19 25 281 11 0 0 0 2 0
 7.450000E+01 7 0 0 0 0 0 0 0 0 1 0 0 16 15 17 21 24 18 282 10 0 0 0 3 0
 7.500000E+01 9 0 0 0 0 1 0 0 0 0 0 0 21 11 14 14 20 18 282 17 0 0 0 2 0
 7.550000E+01 9 0 0 0 0 0 0 0 0 0 0 0 19 17 15 13 28 16 281 11 0 0 0 3 0
 7.600000E+01 10 0 0 0 0 0 0 0 0 0 0 0 20 21 13 15 24 20 280 8 0 0 0 3 0
 7.650000E+01 13 0 0 0 0 0 0 0 0 0 0 0 18 15 19 16 24 15 283 12 0 0 0 2 0
 7.700000E+01 16 0 0 0 0 0 0 0 0 0 0 0 19 9 21 17 20 16 284 16 0 0 0 0 0
 7.750000E+01 11 0 0 0 0 0 0 0 0 0 0 0 16 17 16 23 21 16 285 14 0 0 0 0 0
 7.800000E+01 13 0 0 0 0 0 0 0 0 0 0 0 12 18 11 16 27 20 277 13 0 0 0 1 0
 7.850000E+01 10 0 0 0 0 0 0 0 0 0 0 0 17 17 17 16 21 16 274 12 0 0 0 2 0
 7.900000E+01 7 0 0 0 0 0 0 0 0 1 0 0 20 16 10 15 20 20 270 15 0 0 0 0 0
 7.950000E+01 8 0 0 0 0 0 0 0 0 1 0 0 20 14 16 18 17 11 277 19 0 0 0 0 0
 8.000000E+01 6 0 0 0 0 0 0 0 0 1 0 0 20 17 15 16 18 13 273 15 0 0 0 2 0
