Time	Ca.ParticleNumber	cAMP.ParticleNumber
158.5	8.84909	0
159	8.84923	0
159.5	8.84935	0
160	8.84948	0
160.5	8.8496	0
161	8.84973	0
161.5	8.84985	0
162	8.84996	0
162.5	8.85008	0
163	8.85019	0
163.5	8.8503	0
164	8.85041	0
164.5	8.85051	0
165	8.85062	0
165.5	8.85072	0
166	8.85082	0
166.5	8.85092	0
167	8.85102	0
167.5	8.85111	0
168	8.85121	0
168.5	8.8513	0
169	8.85139	0
169.5	8.85147	0
170	8.85156	0
170.5	8.85165	0
171	8.85173	0
171.5	8.85181	0
172	8.85189	0
172.5	8.85197	0
173	8.85205	0
173.5	8.85212	0
174	8.8522	0
174.5	8.85227	0
175	8.85234	0
175.5	8.85241	0
176	8.85248	0
176.5	8.85255	0
177	8.85261	0
177.5	8.85268	0
178	8.85274	0
178.5	8.8528	0
179	8.85287	0
179.5	8.85293	0
180	8.85298	0
180.5	8.85304	0
181	8.8531	0
181.5	8.85316	0
182	8.85321	0
182.5	8.85326	0
183	8.85332	0
183.5	8.85337	0
184	8.85342	0
184.5	8.85347	0
185	8.85352	0
185.5	8.85357	0
186	8.85361	0
186.5	8.85366	0
187	8.85371	0
187.5	8.85375	0
188	8.85379	0
188.5	8.85384	0
189	8.85388	0
189.5	8.85392	0
190	8.85396	0
190.5	8.854	0
191	8.85404	0
191.5	8.85408	0
192	8.85411	0
192.5	8.85415	0
193	8.85419	0
193.5	8.85422	0
194	8.85426	0
194.5	8.85429	0
195	8.85433	0
195.5	8.85436	0
196	8.85439	0
196.5	8.85442	0
197	8.85445	0
197.5	8.85449	0
198	8.85452	0
198.5	8.85455	0
199	8.85457	0
199.5	8.8546	0
200	8.85463	0
200	8.85463	3974.61
200.5	8.6485	132.427
201	8.37589	121.717
201.5	8.18909	120.768
202	8.05981	120.425
202.5	7.96898	119.562
203	7.90464	118.175
203.5	7.85884	116.383
204	7.82619	114.295
204.5	7.80301	111.996
205	7.78675	109.548
205.5	7.77565	107
206	7.76851	104.385
206.5	7.76447	101.73
207	7.7629	99.0538
207.5	7.76338	96.3711
208	7.76557	93.6932
208.5	7.76922	91.0291
209	7.77413	88.3854
209.5	7.78017	85.7687
210	7.78719	83.1832
210.5	7.79509	80.6329
211	7.80378	78.1213
211.5	7.81318	75.6509
212	7.82321	73.2239
212.5	7.83382	70.8424
213	7.84495	68.5078
213.5	7.85653	66.2213
214	7.86854	63.984
214.5	7.88091	61.7966
215	7.89361	59.6597
215.5	7.9066	57.5737
216	7.91985	55.5388
216.5	7.93332	53.555
217	7.94699	51.6225
217.5	7.96081	49.741
218	7.97478	47.9104
218.5	7.98885	46.1303
219	8.00301	44.4003
219.5	8.01724	42.7202
220	8.03152	41.0892
220.5	8.04582	39.5071
221	8.06013	37.9731
221.5	8.07443	36.4866
222	8.08871	35.0471
222.5	8.10294	33.6538
223	8.11713	32.3061
223.5	8.13125	31.0031
224	8.14529	29.7443
224.5	8.15925	28.5287
225	8.17311	27.3557
225.5	8.18686	26.2243
226	8.20049	25.1338
226.5	8.214	24.0833
227	8.22738	23.0719
227.5	8.24063	22.0988
228	8.25373	21.1629
228.5	8.26669	20.2634
229	8.27949	19.3994
229.5	8.29214	18.5699
230	8.30463	17.7739
230.5	8.31696	17.0105
231	8.32913	16.2786
231.5	8.34114	15.5774
232	8.35297	14.9058
232.5	8.36464	14.2629
233	8.37615	13.6477
233.5	8.38748	13.0593
234	8.39865	12.4966
234.5	8.40965	11.9588
235	8.42048	11.4448
235.5	8.43115	10.9539
236	8.44165	10.4851
236.5	8.45198	10.0375
237	8.46216	9.61024
237.5	8.47217	9.20253
238	8.48202	8.81353
238.5	8.49171	8.44245
239	8.50124	8.08853
239.5	8.51062	7.751
240	8.51984	7.42915
240.5	8.52892	7.12228
241	8.53784	6.82971
241.5	8.54661	6.5508
242	8.55524	6.28492
242.5	8.56372	6.03147
243	8.57206	5.78987
243.5	8.58026	5.55956
244	8.58832	5.34001
244.5	8.59624	5.13073
245	8.60403	4.93121
245.5	8.61168	4.741
246	8.6192	4.55963
246.5	8.62659	4.3867
247	8.63386	4.22178
247.5	8.641	4.0645
248	8.64801	3.91448
248.5	8.6549	3.77137
249	8.66167	3.63483
249.5	8.66832	3.50453
250	8.67486	3.38017
250	8.67486	3.38017
250.5	1040.04	3.25966
251	1772.5	3.13803
251.5	2087.32	3.01676
252	2224.98	2.89736
252	2224.98	2.89736
252.5	957.237	2.78081
253	419.452	2.66772
253.5	190.371	2.55851
254	93.2691	2.45347
254	93.2691	2.45347
254.5	1373.93	2.35276
255	1918.97	2.25648
255.5	2153.23	2.16462
256	2255.35	2.07709
256	2255.35	2.07709
256.5	971.404	1.99378
257	426.163	1.91452
257.5	193.658	1.83913
258	95.0059	1.76747
258	95.0059	1.76747
258.5	1374.69	1.69939
259	1919.37	1.63477
259.5	2153.46	1.57348
260	2255.5	1.51535
