Time	[AMP]	[CDK5]	[CK1P]	[CK1P_PP2B]	[CK1]	[Ca]	[D137]	[D137_CDK5]	[D137_PKA]	[D137_PP2C]	[D34:137]	[D34:137_CDK5]	[D34:137_PP2B]	[D34:137_PP2C]	[D34:75:137]	[D34:75:137_PP2ACa]	[D34:75:137_PP2APCa]	[D34:75:137_PP2AP]	[D34:75:137_PP2A]	[D34:75:137_PP2B]	[D34:75:137_PP2C]	[D34:75]	[D34:75_CK1]	[D34:75_PP2ACa]	[D34:75_PP2APCa]	[D34:75_PP2AP]	[D34:75_PP2A]	[D34:75_PP2B]	[D34]	[D34_CDK5]	[D34_CK1]	[D34_PP2B]	[D75:137]	[D75:137_PKA]	[D75:137_PP2ACa]	[D75:137_PP2APCa]	[D75:137_PP2AP]	[D75:137_PP2A]	[D75:137_PP2C]	[D75]	[D75_CK1]	[D75_PKA]	[D75_PP2ACa]	[D75_PP2APCa]	[D75_PP2AP]	[D75_PP2A]	[D]	[D_CDK5]	[D_CK1]	[D_PKA]	[Empty]	[PDEP]	[PDE]	[PDE_PKA]	[PKA]	[PP2ACa]	[PP2ACa_PKA]	[PP2APCa]	[PP2AP]	[PP2A]	[PP2A_PKA]	[PP2B]	[PP2BinactiveCa2]	[PP2Binactive]	[PP2C]	[R2C2]	[cAMP2_R2C2]	[cAMP3_R2C2]	[cAMP4_R2C2]	[cAMP4_R2C]	[cAMP4_R2]	[cAMP]	[cAMP_PDEP]	[cAMP_PDE]	[cAMP_R2C2]
0	0	2e-07	0	0	1.66e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98e-06	0	0	0	0	0	2e-06	0	0	0	0	0	0	2e-07	0	0	0	3.32e-07	1.33e-07	6.64e-06	0	0	0	0	0	0	0	0	0
0.5	0	7.354e-08	3.31102e-08	5.43405e-13	5.5222e-08	5.16319e-09	1.06498e-07	2.56287e-09	0	5.97164e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00029e-09	0	2.76377e-14	0	0	5.81061e-11	1.43885e-10	1.64946e-07	2.37243e-09	0	1.70508e-12	0	0	3.41729e-09	4.49184e-06	1.23897e-07	7.52948e-08	0	0	0	2e-06	0	0	5.71346e-11	0	0	0	1.96466e-07	0	2.12984e-11	2.07598e-09	3.29902e-07	1.26884e-07	6.64e-06	0	0	0	0	0	0	0	0	0
1	0	7.50819e-08	5.81388e-08	7.96138e-12	4.52504e-08	5.95524e-09	1.81794e-07	4.84369e-09	0	1.05956e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16568e-08	0	2.72218e-13	0	0	2.38797e-10	6.31422e-10	3.13334e-07	4.01056e-09	0	7.71049e-12	0	0	6.59006e-09	4.26763e-06	1.20074e-07	5.85923e-08	0	0	0	2e-06	0	0	1.15803e-10	0	0	0	1.93047e-07	0	1.52433e-10	5.24163e-09	3.26598e-07	1.21773e-07	6.64e-06	0	0	0	0	0	0	0	0	0
1.5	0	7.65164e-08	7.85461e-08	2.88901e-11	3.69284e-08	6.52397e-09	2.30403e-07	6.41178e-09	0	1.33592e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27874e-08	0	7.79389e-13	0	0	4.70081e-10	1.26169e-09	4.42597e-07	4.74047e-09	0	1.55827e-11	0	0	9.25873e-09	4.08587e-06	1.17072e-07	4.57561e-08	0	0	0	2e-06	0	0	1.58089e-10	0	0	0	1.90097e-07	0	3.9212e-10	8.00458e-09	3.23574e-07	1.18379e-07	6.64e-06	0	0	0	0	0	0	0	0	0
2	0	7.78502e-08	9.50658e-08	6.52638e-11	3.00733e-08	6.9922e-09	2.59855e-07	7.44414e-09	0	1.49394e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.43161e-08	0	1.45385e-12	0	0	7.05822e-10	1.9088e-09	5.56735e-07	4.91377e-09	0	2.39942e-11	0	0	1.15441e-08	3.93702e-06	1.14706e-07	3.58819e-08	0	0	0	2e-06	0	0	1.89454e-10	0	0	0	1.87535e-07	0	7.17299e-10	1.0402e-08	3.20815e-07	1.16152e-07	6.64e-06	0	0	0	0	0	0	0	0	0
2.5	0	7.90885e-08	1.08339e-07	1.15999e-10	2.44926e-08	7.38935e-09	2.75612e-07	8.07551e-09	0	1.57444e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.50593e-08	0	2.1919e-12	0	0	9.21368e-10	2.5097e-09	6.58587e-07	4.7653e-09	0	3.23612e-11	0	0	1.35301e-08	3.81404e-06	1.12836e-07	2.82872e-08	0	0	0	2e-06	0	0	2.13482e-10	0	0	0	1.853e-07	0	1.10585e-09	1.25001e-08	3.18278e-07	1.14746e-07	6.64e-06	0	0	0	0	0	0	0	0	0
3	0	8.02362e-08	1.18919e-07	1.78559e-10	1.99998e-08	7.73402e-09	2.81667e-07	8.40895e-09	0	1.6033e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4407e-08	0	2.91628e-12	0	0	1.1051e-09	3.03498e-09	7.50206e-07	4.44952e-09	0	4.0432e-11	0	0	1.52761e-08	3.71156e-06	1.11355e-07	2.24534e-08	0	0	0	2e-06	0	0	2.32454e-10	0	0	0	1.83343e-07	0	1.53936e-09	1.43564e-08	3.15926e-07	1.13932e-07	6.64e-06	0	0	0	0	0	0	0	0	0
3.5	0	8.12981e-08	1.27277e-07	2.50018e-10	1.64226e-08	8.03871e-09	2.8095e-07	8.52359e-09	0	1.5976e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.21131e-08	0	3.5787e-12	0	0	1.25317e-09	3.47382e-09	8.33102e-07	4.06589e-09	0	4.81085e-11	0	0	1.68251e-08	3.6255e-06	1.10178e-07	1.79844e-08	0	0	0	2e-06	0	0	2.47859e-10	0	0	0	1.81622e-07	0	2.00362e-09	1.60178e-08	3.13729e-07	1.1355e-07	6.64e-06	0	0	0	0	0	0	0	0	0
4	0	8.22787e-08	1.33813e-07	3.27619e-10	1.36075e-08	8.31208e-09	2.75624e-07	8.48048e-09	0	1.56892e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.81543e-08	0	4.15378e-12	0	0	1.36623e-09	3.82588e-09	9.08412e-07	3.67642e-09	0	5.53629e-11	0	0	1.82087e-08	3.55269e-06	1.09241e-07	1.45756e-08	0	0	0	2e-06	0	0	2.6069e-10	0	0	0	1.80105e-07	0	2.48812e-09	1.75211e-08	3.11663e-07	1.13485e-07	6.64e-06	0	0	0	0	0	0	0	0	0
4.5	0	8.31828e-08	1.38861e-07	4.09029e-10	1.14207e-08	8.56031e-09	2.67279e-07	8.32653e-09	0	1.52534e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.26387e-08	0	4.63222e-12	0	0	1.44737e-09	4.09665e-09	9.77013e-07	3.31779e-09	0	6.21987e-11	0	0	1.94509e-08	3.49063e-06	1.08491e-07	1.19919e-08	0	0	0	2e-06	0	0	2.71623e-10	0	0	0	1.78763e-07	0	2.98529e-09	1.88945e-08	3.09711e-07	1.1365e-07	6.64e-06	0	0	0	0	0	0	0	0	0
5	0	8.4015e-08	1.42698e-07	4.92387e-10	9.74804e-09	8.78792e-09	2.57084e-07	8.09777e-09	0	1.47257e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.57439e-08	0	5.01512e-12	0	0	1.50083e-09	4.29465e-09	1.0396e-06	3.00985e-09	0	6.86321e-11	0	0	2.057e-08	3.43736e-06	1.07887e-07	1.00514e-08	0	0	0	2e-06	0	0	2.81128e-10	0	0	0	1.77574e-07	0	3.48971e-09	2.01598e-08	3.07858e-07	1.1398e-07	6.64e-06	0	0	0	0	0	0	0	0	0
5.5	0	8.47799e-08	1.45556e-07	5.76278e-10	8.49342e-09	8.99826e-09	2.45893e-07	7.82175e-09	0	1.4147e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.76777e-08	0	5.30978e-12	0	0	1.53127e-09	4.42978e-09	1.09673e-06	2.76142e-09	0	7.46836e-11	0	0	2.15805e-08	3.39133e-06	1.07398e-07	8.61274e-09	0	0	0	2e-06	0	0	2.89537e-10	0	0	0	1.76519e-07	0	3.99752e-09	2.13337e-08	3.06092e-07	1.14423e-07	6.64e-06	0	0	0	0	0	0	0	0	0
6	0	8.54819e-08	1.47624e-07	6.5966e-10	7.5767e-09	9.19391e-09	2.34326e-07	7.51941e-09	0	1.35471e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.86529e-08	0	5.52683e-12	0	0	1.54321e-09	4.51227e-09	1.1489e-06	2.57435e-09	0	8.03744e-11	0	0	2.24943e-08	3.35128e-06	1.06999e-07	7.56576e-09	0	0	0	2e-06	0	0	2.97087e-10	0	0	0	1.75579e-07	0	4.50595e-09	2.24292e-08	3.04405e-07	1.14941e-07	6.64e-06	0	0	0	0	0	0	0	0	0
6.5	0	8.61254e-08	1.49056e-07	7.41793e-10	6.9317e-09	9.37686e-09	2.22826e-07	7.2065e-09	0	1.29475e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.88723e-08	0	5.67833e-12	0	0	1.54086e-09	4.55202e-09	1.19649e-06	2.44618e-09	0	8.57247e-11	0	0	2.33213e-08	3.31621e-06	1.06668e-07	6.82449e-09	0	0	0	2e-06	0	0	3.03952e-10	0	0	0	1.74743e-07	0	5.01299e-09	2.34565e-08	3.02789e-07	1.15501e-07	6.64e-06	0	0	0	0	0	0	0	0	0
7	0	8.67147e-08	1.4998e-07	8.22173e-10	6.50418e-09	9.54869e-09	2.11704e-07	6.89468e-09	0	1.23634e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.85206e-08	0	5.7765e-12	0	0	1.52796e-09	4.55828e-09	1.23988e-06	2.37208e-09	0	9.07535e-11	0	0	2.40695e-08	3.2853e-06	1.06391e-07	6.32165e-09	0	0	0	2e-06	0	0	3.1026e-10	0	0	0	1.73996e-07	0	5.51717e-09	2.44237e-08	3.01237e-07	1.16078e-07	6.64e-06	0	0	0	0	0	0	0	0	0
7.5	0	8.72536e-08	1.50499e-07	9.00471e-10	6.24983e-09	9.7107e-09	2.01171e-07	6.59246e-09	0	1.1806e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.77598e-08	0	5.83295e-12	0	0	1.50771e-09	4.53938e-09	1.27939e-06	2.34603e-09	0	9.54782e-11	0	0	2.47464e-08	3.25789e-06	1.06154e-07	6.00448e-09	0	0	0	2e-06	0	0	3.16107e-10	0	0	0	1.73328e-07	0	6.01742e-09	2.53373e-08	2.99745e-07	1.16655e-07	6.64e-06	0	0	0	0	0	0	0	0	0
8	0	8.77462e-08	1.50698e-07	9.76491e-10	6.13266e-09	9.86391e-09	1.91366e-07	6.30586e-09	0	1.12827e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.67284e-08	0	5.85829e-12	0	0	1.48282e-09	4.50264e-09	1.31531e-06	2.36157e-09	0	9.99155e-11	0	0	2.53582e-08	3.23342e-06	1.05948e-07	5.8316e-09	0	0	0	2e-06	0	0	3.21567e-10	0	0	0	1.72732e-07	0	6.51291e-09	2.62029e-08	2.98308e-07	1.17215e-07	6.64e-06	0	0	0	0	0	0	0	0	0
8.5	0	8.8196e-08	1.50644e-07	1.05013e-09	6.12352e-09	1.00092e-08	1.8237e-07	6.03896e-09	0	1.07986e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.55419e-08	0	5.86187e-12	0	0	1.45549e-09	4.45437e-09	1.34792e-06	2.41233e-09	0	1.04081e-10	0	0	2.59106e-08	3.21145e-06	1.05765e-07	5.77043e-09	0	0	0	2e-06	0	0	3.26695e-10	0	0	0	1.72197e-07	0	7.00301e-09	2.70248e-08	2.96922e-07	1.17747e-07	6.64e-06	0	0	0	0	0	0	0	0	0
9	0	8.86065e-08	1.50392e-07	1.12136e-09	6.1989e-09	1.01473e-08	1.74226e-07	5.79439e-09	0	1.03566e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.42938e-08	0	5.85172e-12	0	0	1.42749e-09	4.39986e-09	1.37747e-06	2.49235e-09	0	1.07989e-10	0	0	2.64088e-08	3.19162e-06	1.05599e-07	5.79534e-09	0	0	0	2e-06	0	0	3.31537e-10	0	0	0	1.71718e-07	0	7.48727e-09	2.78069e-08	2.95585e-07	1.18244e-07	6.64e-06	0	0	0	0	0	0	0	0	0
9.5	0	8.89808e-08	1.49988e-07	1.19019e-09	6.33985e-09	1.02789e-08	1.66943e-07	5.57359e-09	0	9.95814e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.30588e-08	0	5.83462e-12	0	0	1.4002e-09	4.34347e-09	1.40421e-06	2.59618e-09	0	1.11655e-10	0	0	2.68573e-08	3.17361e-06	1.05446e-07	5.88618e-09	0	0	0	2e-06	0	0	3.36126e-10	0	0	0	1.71289e-07	0	7.9653e-09	2.85524e-08	2.94292e-07	1.18698e-07	6.64e-06	0	0	0	0	0	0	0	0	0
10	0	8.93221e-08	1.49466e-07	1.25667e-09	6.53114e-09	1.04045e-08	1.60513e-07	5.37718e-09	0	9.60356e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.18943e-08	0	5.81608e-12	0	0	1.37468e-09	4.28866e-09	1.42835e-06	2.719e-09	0	1.15091e-10	0	0	2.72604e-08	3.15717e-06	1.05301e-07	6.02698e-09	0	0	0	2e-06	0	0	3.40493e-10	0	0	0	1.70903e-07	0	8.43684e-09	2.92643e-08	2.93042e-07	1.19108e-07	6.64e-06	0	0	0	0	0	0	0	0	0
10.5	0	8.9633e-08	1.48857e-07	1.32087e-09	6.76059e-09	1.05246e-08	1.54911e-07	5.20511e-09	0	9.29223e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.08434e-08	0	5.80058e-12	0	0	1.3517e-09	4.23816e-09	1.4501e-06	2.85654e-09	0	1.18311e-10	0	0	2.76221e-08	3.14209e-06	1.05162e-07	6.20529e-09	0	0	0	2e-06	0	0	3.44658e-10	0	0	0	1.70557e-07	0	8.90167e-09	2.99449e-08	2.91833e-07	1.1947e-07	6.64e-06	0	0	0	0	0	0	0	0	0
11	0	8.99163e-08	1.48182e-07	1.38287e-09	7.01842e-09	1.06395e-08	1.50099e-07	5.05686e-09	0	9.02287e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.99366e-08	0	5.79153e-12	0	0	1.33179e-09	4.194e-09	1.46966e-06	3.00522e-09	0	1.21327e-10	0	0	2.7946e-08	3.12818e-06	1.05027e-07	6.41117e-09	0	0	0	2e-06	0	0	3.48642e-10	0	0	0	1.70246e-07	0	9.35963e-09	3.05964e-08	2.90661e-07	1.19783e-07	6.64e-06	0	0	0	0	0	0	0	0	0
11.5	0	9.01742e-08	1.47462e-07	1.44276e-09	7.29685e-09	1.07497e-08	1.46037e-07	4.93156e-09	0	8.79372e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.91945e-08	0	5.79158e-12	0	0	1.31531e-09	4.15764e-09	1.48721e-06	3.16193e-09	0	1.24152e-10	0	0	2.82354e-08	3.1153e-06	1.04894e-07	6.6369e-09	0	0	0	2e-06	0	0	3.52461e-10	0	0	0	1.69967e-07	0	9.81062e-09	3.12209e-08	2.89526e-07	1.20049e-07	6.64e-06	0	0	0	0	0	0	0	0	0
12	0	9.0409e-08	1.46709e-07	1.50064e-09	7.5897e-09	1.08555e-08	1.42677e-07	4.82811e-09	0	8.60271e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.86297e-08	0	5.80259e-12	0	0	1.30243e-09	4.13002e-09	1.50292e-06	3.32408e-09	0	1.26797e-10	0	0	2.84934e-08	3.10332e-06	1.04763e-07	6.87635e-09	0	0	0	2e-06	0	0	3.56127e-10	0	0	0	1.69715e-07	0	1.02545e-08	3.18199e-08	2.88425e-07	1.20267e-07	6.64e-06	0	0	0	0	0	0	0	0	0
12.5	0	9.06227e-08	1.45937e-07	1.5566e-09	7.89205e-09	1.09571e-08	1.39971e-07	4.74528e-09	0	8.4475e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.82478e-08	0	5.82585e-12	0	0	1.29324e-09	4.11172e-09	1.51695e-06	3.48953e-09	0	1.29274e-10	0	0	2.87227e-08	3.09213e-06	1.04632e-07	7.12475e-09	0	0	0	2e-06	0	0	3.59653e-10	0	0	0	1.69489e-07	0	1.06914e-08	3.23952e-08	2.87357e-07	1.20441e-07	6.64e-06	0	0	0	0	0	0	0	0	0
13	0	9.08173e-08	1.45154e-07	1.61072e-09	8.20002e-09	1.10549e-08	1.37869e-07	4.68172e-09	0	8.32567e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.80495e-08	0	5.86213e-12	0	0	1.28773e-09	4.10294e-09	1.52944e-06	3.65652e-09	0	1.31594e-10	0	0	2.8926e-08	3.08164e-06	1.04501e-07	7.37837e-09	0	0	0	2e-06	0	0	3.63048e-10	0	0	0	1.69286e-07	0	1.11211e-08	3.29482e-08	2.8632e-07	1.20571e-07	6.64e-06	0	0	0	0	0	0	0	0	0
13.5	0	9.09944e-08	1.44368e-07	1.6631e-09	8.51057e-09	1.1149e-08	1.36324e-07	4.63606e-09	0	8.23473e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.80315e-08	0	5.91177e-12	0	0	1.28579e-09	4.10367e-09	1.54053e-06	3.82361e-09	0	1.33766e-10	0	0	2.91057e-08	3.07178e-06	1.0437e-07	7.63431e-09	0	0	0	2e-06	0	0	3.66321e-10	0	0	0	1.69103e-07	0	1.15436e-08	3.348e-08	2.85313e-07	1.20662e-07	6.64e-06	0	0	0	0	0	0	0	0	0
14	0	9.11556e-08	1.43585e-07	1.71382e-09	8.8213e-09	1.12397e-08	1.35288e-07	4.6069e-09	0	8.17217e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.81875e-08	0	5.97482e-12	0	0	1.28728e-09	4.11366e-09	1.55036e-06	3.98966e-09	0	1.358e-10	0	0	2.9264e-08	3.06246e-06	1.04238e-07	7.89031e-09	0	0	0	2e-06	0	0	3.69479e-10	0	0	0	1.68937e-07	0	1.19591e-08	3.3992e-08	2.84335e-07	1.20714e-07	6.64e-06	0	0	0	0	0	0	0	0	0
14.5	0	9.13023e-08	1.42808e-07	1.76295e-09	9.13038e-09	1.13272e-08	1.34717e-07	4.5929e-09	0	8.13557e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.85091e-08	0	6.05105e-12	0	0	1.29203e-09	4.13253e-09	1.55903e-06	4.15374e-09	0	1.37706e-10	0	0	2.94029e-08	3.05364e-06	1.04105e-07	8.14467e-09	0	0	0	2e-06	0	0	3.72529e-10	0	0	0	1.68789e-07	0	1.23675e-08	3.44851e-08	2.83384e-07	1.20732e-07	6.64e-06	0	0	0	0	0	0	0	0	0
15	0	9.14359e-08	1.42042e-07	1.81057e-09	9.43638e-09	1.14116e-08	1.34567e-07	4.59273e-09	0	8.12255e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.89865e-08	0	6.14004e-12	0	0	1.29983e-09	4.15978e-09	1.56665e-06	4.31517e-09	0	1.39491e-10	0	0	2.95242e-08	3.04527e-06	1.03971e-07	8.39606e-09	0	0	0	2e-06	0	0	3.75478e-10	0	0	0	1.68655e-07	0	1.27688e-08	3.49605e-08	2.8246e-07	1.20718e-07	6.64e-06	0	0	0	0	0	0	0	0	0
15.5	0	9.15575e-08	1.41288e-07	1.85676e-09	9.73822e-09	1.14932e-08	1.34797e-07	4.60513e-09	0	8.13085e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.96089e-08	0	6.24122e-12	0	0	1.31046e-09	4.19483e-09	1.57332e-06	4.4734e-09	0	1.41166e-10	0	0	2.96296e-08	3.0373e-06	1.03837e-07	8.64349e-09	0	0	0	2e-06	0	0	3.78331e-10	0	0	0	1.68534e-07	0	1.31631e-08	3.5419e-08	2.81561e-07	1.20674e-07	6.64e-06	0	0	0	0	0	0	0	0	0
16	0	9.16684e-08	1.40549e-07	1.90157e-09	1.00351e-08	1.1572e-08	1.35371e-07	4.6289e-09	0	8.15832e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.03651e-08	0	6.35391e-12	0	0	1.3237e-09	4.23709e-09	1.57913e-06	4.62803e-09	0	1.42736e-10	0	0	2.97207e-08	3.02969e-06	1.03703e-07	8.88627e-09	0	0	0	2e-06	0	0	3.81092e-10	0	0	0	1.68425e-07	0	1.35505e-08	3.58614e-08	2.80686e-07	1.20605e-07	6.64e-06	0	0	0	0	0	0	0	0	0
16.5	0	9.17693e-08	1.39826e-07	1.94507e-09	1.03264e-08	1.16482e-08	1.36253e-07	4.66292e-09	0	8.20297e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.12436e-08	0	6.47738e-12	0	0	1.33932e-09	4.2859e-09	1.58417e-06	4.77876e-09	0	1.4421e-10	0	0	2.97989e-08	3.02242e-06	1.03568e-07	9.12386e-09	0	0	0	2e-06	0	0	3.83766e-10	0	0	0	1.68327e-07	0	1.39311e-08	3.62887e-08	2.79835e-07	1.20511e-07	6.64e-06	0	0	0	0	0	0	0	0	0
17	0	9.18613e-08	1.3912e-07	1.98731e-09	1.06118e-08	1.1722e-08	1.3741e-07	4.70612e-09	0	8.26289e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.22331e-08	0	6.61084e-12	0	0	1.35711e-09	4.34064e-09	1.58851e-06	4.92542e-09	0	1.45594e-10	0	0	2.98654e-08	3.01545e-06	1.03433e-07	9.35591e-09	0	0	0	2e-06	0	0	3.86358e-10	0	0	0	1.68239e-07	0	1.43049e-08	3.67014e-08	2.79006e-07	1.20396e-07	6.64e-06	0	0	0	0	0	0	0	0	0
17.5	0	9.19452e-08	1.38431e-07	2.02835e-09	1.08909e-08	1.17934e-08	1.38812e-07	4.75753e-09	0	8.33635e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.33226e-08	0	6.75348e-12	0	0	1.37683e-09	4.40067e-09	1.59221e-06	5.06788e-09	0	1.46894e-10	0	0	2.99215e-08	3.00876e-06	1.03297e-07	9.5822e-09	0	0	0	2e-06	0	0	3.88871e-10	0	0	0	1.68159e-07	0	1.46719e-08	3.71004e-08	2.78199e-07	1.20263e-07	6.64e-06	0	0	0	0	0	0	0	0	0
18	0	9.20217e-08	1.3776e-07	2.06824e-09	1.11636e-08	1.18626e-08	1.40432e-07	4.81623e-09	0	8.42173e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.45015e-08	0	6.90449e-12	0	0	1.39829e-09	4.46538e-09	1.59535e-06	5.20607e-09	0	1.48117e-10	0	0	2.99681e-08	3.00232e-06	1.03162e-07	9.80258e-09	0	0	0	2e-06	0	0	3.91308e-10	0	0	0	1.68087e-07	0	1.50324e-08	3.74862e-08	2.77413e-07	1.20113e-07	6.64e-06	0	0	0	0	0	0	0	0	0
18.5	0	9.20915e-08	1.37106e-07	2.10701e-09	1.14298e-08	1.19297e-08	1.42244e-07	4.88138e-09	0	8.51755e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.57596e-08	0	7.06307e-12	0	0	1.42129e-09	4.53419e-09	1.59797e-06	5.34001e-09	0	1.49267e-10	0	0	3.00063e-08	2.99612e-06	1.03027e-07	1.0017e-08	0	0	0	2e-06	0	0	3.93674e-10	0	0	0	1.68022e-07	0	1.53863e-08	3.78595e-08	2.76647e-07	1.19948e-07	6.64e-06	0	0	0	0	0	0	0	0	0
19	0	9.21553e-08	1.36471e-07	2.14473e-09	1.16894e-08	1.19947e-08	1.44225e-07	4.95221e-09	0	8.62244e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.70874e-08	0	7.22845e-12	0	0	1.44565e-09	4.60655e-09	1.60014e-06	5.4697e-09	0	1.5035e-10	0	0	3.00369e-08	2.99014e-06	1.02893e-07	1.02255e-08	0	0	0	2e-06	0	0	3.9597e-10	0	0	0	1.67964e-07	0	1.57338e-08	3.82208e-08	2.75901e-07	1.19771e-07	6.64e-06	0	0	0	0	0	0	0	0	0
19.5	0	9.22135e-08	1.35853e-07	2.18142e-09	1.19426e-08	1.20578e-08	1.46354e-07	5.02801e-09	0	8.73518e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.84758e-08	0	7.39989e-12	0	0	1.47119e-09	4.68195e-09	1.60189e-06	5.59521e-09	0	1.51371e-10	0	0	3.00608e-08	2.98436e-06	1.02759e-07	1.0428e-08	0	0	0	2e-06	0	0	3.98201e-10	0	0	0	1.67911e-07	0	1.6075e-08	3.85706e-08	2.75173e-07	1.19583e-07	6.64e-06	0	0	0	0	0	0	0	0	0
20	0	9.22667e-08	1.35252e-07	2.21713e-09	1.21892e-08	1.2119e-08	1.4861e-07	5.10813e-09	0	8.85464e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.99166e-08	0	7.57665e-12	0	0	1.49774e-09	4.7599e-09	1.60328e-06	5.71662e-09	0	1.52334e-10	0	0	3.00785e-08	2.97877e-06	1.02625e-07	1.06248e-08	0	0	0	2e-06	0	0	4.00367e-10	0	0	0	1.67863e-07	0	1.64099e-08	3.89095e-08	2.74464e-07	1.19385e-07	6.64e-06	0	0	0	0	0	0	0	0	0
20.5	0	9.23154e-08	1.34669e-07	2.25189e-09	1.24296e-08	1.21785e-08	1.50978e-07	5.19197e-09	0	8.97978e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.14021e-08	0	7.75807e-12	0	0	1.52517e-09	4.83996e-09	1.60433e-06	5.83402e-09	0	1.53243e-10	0	0	3.00909e-08	2.97336e-06	1.02493e-07	1.08158e-08	0	0	0	2e-06	0	0	4.02473e-10	0	0	0	1.6782e-07	0	1.67387e-08	3.92378e-08	2.73772e-07	1.1918e-07	6.64e-06	0	0	0	0	0	0	0	0	0
21	0	9.236e-08	1.34102e-07	2.28573e-09	1.26637e-08	1.22362e-08	1.5344e-07	5.279e-09	0	9.10969e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.29251e-08	0	7.9435e-12	0	0	1.55334e-09	4.92174e-09	1.60509e-06	5.94753e-09	0	1.54102e-10	0	0	3.00984e-08	2.96811e-06	1.02361e-07	1.10013e-08	0	0	0	2e-06	0	0	4.0452e-10	0	0	0	1.67782e-07	0	1.70614e-08	3.95562e-08	2.73097e-07	1.18969e-07	6.64e-06	0	0	0	0	0	0	0	0	0
