Time	AMP.ParticleNumber	CDK5.ParticleNumber	CK1.ParticleNumber	CK1P.ParticleNumber	CK1P_PP2B.ParticleNumber	Ca.ParticleNumber	D.ParticleNumber	D137.ParticleNumber	D137_CDK5.ParticleNumber	D137_PKA.ParticleNumber	D137_PP2C.ParticleNumber	D34.ParticleNumber	D34:137.ParticleNumber	D34:137_CDK5.ParticleNumber	D34:137_PP2B.ParticleNumber	D34:137_PP2C.ParticleNumber	D34:75.ParticleNumber	D34:75:137.ParticleNumber	D34:75:137_PP2A.ParticleNumber	D34:75:137_PP2ACa.ParticleNumber	D34:75:137_PP2AP.ParticleNumber	D34:75:137_PP2APCa.ParticleNumber	D34:75:137_PP2B.ParticleNumber	D34:75:137_PP2C.ParticleNumber	D34:75_CK1.ParticleNumber	D34:75_PP2A.ParticleNumber	D34:75_PP2ACa.ParticleNumber	D34:75_PP2AP.ParticleNumber	D34:75_PP2APCa.ParticleNumber	D34:75_PP2B.ParticleNumber	D34_CDK5.ParticleNumber	D34_CK1.ParticleNumber	D34_PP2B.ParticleNumber	D75.ParticleNumber	D75:137.ParticleNumber	D75:137_PKA.ParticleNumber	D75:137_PP2A.ParticleNumber	D75:137_PP2ACa.ParticleNumber	D75:137_PP2AP.ParticleNumber	D75:137_PP2APCa.ParticleNumber	D75:137_PP2C.ParticleNumber	D75_CK1.ParticleNumber	D75_PKA.ParticleNumber	D75_PP2A.ParticleNumber	D75_PP2ACa.ParticleNumber	D75_PP2AP.ParticleNumber	D75_PP2APCa.ParticleNumber	D_CDK5.ParticleNumber	D_CK1.ParticleNumber	D_PKA.ParticleNumber	Empty.ParticleNumber	PDE.ParticleNumber	PDEP.ParticleNumber	PDE_PKA.ParticleNumber	PKA.ParticleNumber	PP2A.ParticleNumber	PP2ACa.ParticleNumber	PP2ACa_PKA.ParticleNumber	PP2AP.ParticleNumber	PP2APCa.ParticleNumber	PP2A_PKA.ParticleNumber	PP2B.ParticleNumber	PP2Binactive.ParticleNumber	PP2BinactiveCa2.ParticleNumber	PP2C.ParticleNumber	R2C2.ParticleNumber	cAMP.ParticleNumber	cAMP2_R2C2.ParticleNumber	cAMP3_R2C2.ParticleNumber	cAMP4_R2.ParticleNumber	cAMP4_R2C.ParticleNumber	cAMP4_R2C2.ParticleNumber	cAMP_PDE.ParticleNumber	cAMP_PDEP.ParticleNumber	cAMP_R2C2.ParticleNumber
6	0	40	3	92	0	3	1947	163	4	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	715	59	0	1	0	0	0	2	0	0	18	0	0	0	76	5	0	0	1204	0	0	0	100	1	0	0	0	0	4	182	14	69	3999	0	0	0	0	0	0	0	0	0
6.5	0	56	1	95	0	6	1984	152	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	719	49	0	1	0	0	0	3	2	0	13	1	0	0	62	2	0	0	1204	0	0	0	105	0	0	0	0	0	4	181	15	68	3999	0	0	0	0	0	0	0	0	0
7	0	53	4	93	0	8	1973	145	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	749	40	0	2	0	0	0	4	0	0	8	1	0	0	60	3	0	0	1204	0	0	0	109	0	0	0	0	0	4	184	12	69	3999	0	0	0	0	0	0	0	0	0
7.5	0	48	1	94	0	7	1954	141	7	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	761	46	0	0	0	0	0	1	2	0	13	0	0	0	65	3	0	0	1204	0	0	0	106	1	0	0	0	0	5	183	12	73	3999	0	0	0	0	0	0	0	0	0
8	0	50	2	93	1	7	1946	130	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	779	44	0	0	0	0	0	3	0	0	17	0	0	0	67	4	0	0	1204	0	0	0	102	1	0	0	0	0	5	181	13	71	3999	0	0	0	0	0	0	0	0	0
8.5	0	57	6	89	1	2	1939	119	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	803	43	0	1	0	0	0	1	2	0	16	0	0	0	60	2	0	0	1204	0	0	0	103	0	0	0	0	0	6	179	14	69	3999	0	0	0	0	0	0	0	0	0
9	0	58	8	86	1	5	1922	122	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	827	34	0	0	0	0	0	5	0	0	15	0	0	0	61	5	0	0	1204	0	0	0	105	0	0	0	0	0	7	181	11	68	3999	0	0	0	0	0	0	0	0	0
9.5	0	49	5	87	0	9	1880	125	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	852	41	0	3	0	0	0	1	0	0	15	0	0	0	66	8	0	0	1204	0	0	0	102	0	0	0	0	0	5	177	18	76	3999	0	0	0	0	0	0	0	0	0
10	0	53	6	86	1	1	1862	116	5	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	875	44	0	0	0	0	0	2	2	0	17	0	0	0	62	5	0	0	1204	0	0	0	103	0	0	0	0	0	5	174	20	69	3999	0	0	0	0	0	0	0	0	0
10.5	0	39	4	87	0	8	1814	121	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	897	47	0	2	0	0	0	6	1	0	18	0	0	0	77	8	0	0	1204	0	0	0	100	0	0	0	0	0	6	175	19	70	3999	0	0	0	0	0	0	0	0	0
11	0	56	7	88	0	11	1848	126	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	883	46	0	1	0	0	0	4	1	0	18	0	0	0	62	4	0	0	1204	0	0	0	101	0	0	0	0	0	9	175	16	72	3999	0	0	0	0	0	0	0	0	0
11.5	0	57	3	86	1	6	1854	116	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	895	43	0	0	0	0	0	3	3	0	11	0	0	0	60	7	0	0	1204	0	0	0	109	0	0	0	0	0	9	174	16	73	3999	0	0	0	0	0	0	0	0	0
12	0	59	6	84	2	8	1843	112	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	898	54	0	0	0	0	0	1	0	0	19	0	0	0	57	8	0	0	1204	0	0	0	101	0	0	0	0	0	10	176	12	76	3999	0	0	0	0	0	0	0	0	0
12.5	0	61	7	87	0	8	1823	116	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	933	47	0	0	0	0	0	1	3	0	12	0	0	0	56	3	0	0	1204	0	0	0	108	0	0	0	0	0	8	175	17	77	3999	0	0	0	0	0	0	0	0	0
13	0	54	4	83	2	7	1814	111	5	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	918	46	0	1	0	0	0	3	5	0	21	0	0	0	61	6	0	0	1204	0	0	0	98	0	0	0	0	0	4	173	21	69	3999	0	0	0	0	0	0	0	0	0
13.5	0	53	9	82	1	6	1814	114	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	927	47	0	0	0	0	0	6	4	0	13	0	0	0	63	4	0	0	1204	0	0	0	107	0	0	0	0	0	8	174	17	71	3999	0	0	0	0	0	0	0	0	0
14	0	54	11	82	1	5	1820	105	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	923	56	0	0	0	0	0	1	2	0	16	0	0	0	61	4	0	0	1204	0	0	0	104	0	0	0	0	0	7	175	17	73	3999	0	0	0	0	0	0	0	0	0
14.5	0	50	4	81	3	7	1790	108	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	948	52	0	3	0	0	0	1	7	0	9	0	0	0	65	5	0	0	1204	0	0	0	108	0	0	0	0	0	4	175	18	73	3999	0	0	0	0	0	0	0	0	0
15	0	54	7	85	1	10	1803	106	2	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	933	47	0	2	0	0	0	2	2	0	21	0	0	0	64	5	0	0	1204	0	0	0	97	0	0	0	0	0	6	178	15	66	3999	0	0	0	0	0	0	0	0	0
