"'kon1_-'",0.00929923613417469
"'koff1_-'",12
"'kcat1_-'",3
"'kon2_-'",0.00730654267685154
"'koff2_-'",12
"'kcat2_-'",3
"'kon3_-'",0.00929923613417469
"'koff3_-'",10.8
"'kcat3_-'",2.7
"'kcat8_-'",0
"'kon6_-'",0.0166057788110262
"'koff6_-'",16
"'kcat6_-'",4
"'kon17_-'",0.0166057788110262
"'koff17_-'",1600
"'kcat17_-'",4
"'kon19_-'",0.000124543341082697
"'koff19_-'",0.12
"'kcat19_-'",0.03
"'kon27_-'",0.000124543341082697
"'koff27_-'",120
"'kcat27_-'",0.03
"'kon13_-'",0.0124543341082697
"'koff13_-'",12
"'kcat13_-'",3
"'kon9_-'",0.00631019594818997
"'koff9_-'",24
"'kcat9_-'",10
"'kon10_-'",0.0282298239787446
"'koff10_-'",40
"'kcat10_-'",24
"'kon29_-'",0.0498173364330787
"'koff29_-'",24
"'kcat29_-'",6
"'kcat30_-'",1
"'kon31_-'",0.00996346728661574
"'koff31_-'",36
"'kcat31_-'",9
"'kcat32_-'",0.1
"'kon33_-'",0.0166057788110262
"'koff33_-'",16
"'kcat33_-'",4
"'kcat34_-'",5
"'kon35_-'",0.00275751889920728
"'koff35_-'",1
"'kon36_-'",0.00827255669762184
"'koff36_-'",1
"'kon37_-'",0.0896712055795417
"'koff37_-'",33
"'kon38_-'",0.0896712055795417
"'koff38_-'",33
"'kon39_-'",0.124543341082697
"'koff39_-'",110
"'kon40_-'",0.124543341082697
"'koff40_-'",32.5
"'kon41_-'",0.0298904018598472
"'koff41_-'",60
"'kon44_-'",0.00418465626037861
"'koff44_-'",40
"'kcat44_-'",10
"'kon45_-'",0.00836931252075722
"'koff45_-'",80
"'kcat45_-'",20
"'k57_-'",10
"'k58_-'",0.6
"'kon54_-'",0.000332115576220525
"'koff54_-'",1
"'koff46_-'",6
"'koff50_-'",10
