# time 'cAMP_on' 'free_Ca2+' 'bound_Ca2+!_' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1p~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 1.733333E+01 0 2 131 0 0 70 96 0 1 1 5 0 1980 959 0 38 23 0 0 0 0 982 61
 1.766667E+01 0 3 131 0 0 64 96 0 1 5 2 0 1978 959 0 39 24 0 0 0 0 983 63
 1.800000E+01 0 1 139 0 0 52 96 0 1 3 3 0 1995 945 0 36 24 0 0 0 0 969 60
 1.833333E+01 0 5 139 0 0 60 96 1 1 4 2 0 2013 925 0 37 25 0 0 0 0 950 62
 1.866667E+01 0 13 133 0 0 73 97 0 1 1 4 0 2008 936 0 38 18 0 0 0 0 954 56
 1.900000E+01 0 6 139 0 0 65 95 1 1 1 3 0 2020 930 0 33 17 0 0 0 0 947 50
 1.933333E+01 0 10 141 0 0 60 97 1 1 1 6 0 2033 917 0 33 17 0 0 0 0 934 50
 1.966667E+01 0 11 144 0 0 76 97 0 0 1 5 0 2033 916 0 36 15 0 0 0 0 931 51
 2.000000E+01 0 4 151 0 0 67 95 1 1 3 3 0 2013 932 0 41 14 0 0 0 0 946 55
 2.033333E+01 0 3 155 0 0 64 96 1 1 3 2 0 2008 935 0 44 13 0 0 0 0 948 57
 2.066667E+01 0 4 155 0 0 67 96 1 1 2 5 0 2008 929 0 50 13 0 0 0 0 942 63
 2.100000E+01 0 7 155 0 0 68 95 1 1 2 5 0 1994 944 0 48 14 0 0 0 0 958 62
 2.133333E+01 0 9 159 0 0 73 93 1 1 6 5 0 2016 919 0 48 17 0 0 0 0 936 65
 2.166667E+01 0 5 164 0 0 76 96 0 0 2 6 0 2018 922 0 42 18 0 0 0 0 940 60
 2.200000E+01 0 5 166 0 0 69 95 0 0 3 3 0 2003 935 0 41 21 0 0 0 0 956 62
 2.233333E+01 0 14 158 0 0 60 96 0 0 5 5 0 1995 940 0 44 21 0 0 0 0 961 65
 2.266667E+01 0 7 166 0 0 57 94 0 0 2 8 0 1970 964 0 47 19 0 0 0 0 983 66
 2.300000E+01 0 8 171 0 0 69 93 1 1 2 6 0 1972 957 0 50 21 0 0 0 0 978 71
 2.333333E+01 0 7 171 0 0 64 90 1 1 2 3 0 1969 961 0 48 22 0 0 0 0 983 70
 2.366667E+01 0 5 176 0 0 61 91 0 0 4 6 0 1957 972 0 47 24 0 0 0 0 996 71
 2.400000E+01 0 5 178 0 0 64 91 0 0 3 3 0 1958 970 0 51 21 0 0 0 0 991 72
 2.433333E+01 0 6 180 0 0 71 90 0 0 5 7 0 1953 972 0 51 24 0 0 0 0 996 75
 2.466667E+01 0 3 182 0 0 64 88 0 0 6 9 0 1953 966 0 55 26 0 0 0 0 992 81
 2.500000E+01 0 7 179 0 0 60 90 0 1 4 4 0 1940 978 0 59 23 0 0 0 0 1001 82
 2.533333E+01 0 6 179 0 0 72 89 1 1 8 7 0 1937 976 0 59 28 0 0 0 0 1004 87
 2.566667E+01 0 2 187 0 0 56 87 1 1 5 4 0 1921 995 0 54 30 0 0 0 0 1025 84
 2.600000E+01 0 6 186 0 0 56 85 0 0 5 4 0 1920 993 0 55 32 0 0 0 0 1025 87
 2.633333E+01 0 6 188 0 0 57 85 0 0 5 6 0 1905 1007 0 55 33 0 0 0 0 1040 88
 2.666667E+01 0 8 188 0 0 71 86 0 0 6 6 0 1880 1031 0 57 32 0 0 0 0 1063 89
 2.700000E+01 0 5 196 0 0 62 87 0 0 7 5 0 1867 1039 0 65 29 0 0 0 0 1068 94
 2.733333E+01 0 10 194 0 0 74 87 0 0 9 6 0 1861 1041 0 67 31 0 0 0 0 1072 98
 2.766667E+01 0 10 194 0 0 60 86 0 0 5 4 0 1859 1038 0 68 35 0 0 0 0 1073 103
 2.800000E+01 0 4 204 0 0 68 85 0 0 5 6 0 1862 1038 0 65 35 0 0 0 0 1073 100
 2.833333E+01 0 7 204 0 0 60 84 0 0 5 5 0 1849 1046 0 67 38 0 0 0 0 1084 105
 2.866667E+01 0 4 208 0 0 57 83 0 0 3 5 0 1847 1047 0 70 36 0 0 0 0 1083 106
 2.900000E+01 0 8 204 0 0 69 82 0 0 6 9 0 1843 1043 0 75 39 0 0 0 0 1082 114
 2.933333E+01 0 10 202 0 0 59 82 0 0 7 4 0 1844 1039 0 81 36 0 0 0 0 1075 117
