# time 'cAMP_on' 'free_Ca2+' 'bound_Ca2+!_' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1p~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 1.733333E+01 0 4 136 0 0 71 94 0 0 3 2 0 1915 1023 0 39 23 0 0 0 0 1046 62
 1.766667E+01 0 7 136 0 0 55 95 0 0 3 3 0 1916 1025 0 36 23 0 0 0 0 1048 59
 1.800000E+01 0 6 136 0 0 60 94 0 0 5 4 0 1901 1039 0 36 24 0 0 0 0 1063 60
 1.833333E+01 0 7 138 0 0 58 95 0 0 0 2 0 1917 1025 0 31 27 0 0 0 0 1052 58
 1.866667E+01 0 4 150 0 0 64 96 0 0 4 5 0 1930 1013 0 28 29 0 0 0 0 1042 57
 1.900000E+01 0 7 146 0 0 57 96 0 0 2 4 0 1931 1011 0 31 27 0 0 0 0 1038 58
 1.933333E+01 0 5 154 0 0 67 97 0 0 2 4 0 1924 1019 0 31 26 0 0 0 0 1045 57
 1.966667E+01 0 11 148 0 0 64 95 0 0 3 1 0 1928 1016 0 26 30 0 0 0 0 1046 56
 2.000000E+01 0 3 158 0 0 59 97 0 0 3 0 0 1939 1010 0 22 29 0 0 0 0 1039 51
 2.033333E+01 0 7 154 0 0 63 98 0 0 5 2 0 1932 1019 0 23 26 0 0 0 0 1045 49
 2.066667E+01 0 3 162 0 0 68 99 0 0 5 4 0 1931 1023 0 24 22 0 0 0 0 1045 46
 2.100000E+01 0 5 164 0 0 61 97 0 0 2 3 0 1921 1034 0 22 23 0 0 0 0 1057 45
 2.133333E+01 0 5 166 0 0 67 94 0 0 3 6 0 1916 1040 0 20 24 0 0 0 0 1064 44
 2.166667E+01 0 7 164 0 0 72 94 0 0 1 4 0 1904 1049 0 20 27 0 0 0 0 1076 47
 2.200000E+01 0 11 162 0 0 56 96 0 0 2 4 0 1921 1027 0 23 29 0 0 0 0 1056 52
 2.233333E+01 0 8 168 0 0 69 95 0 0 5 2 0 1916 1033 0 23 28 0 0 0 0 1061 51
 2.266667E+01 0 3 174 0 0 70 96 0 0 4 6 0 1924 1026 0 26 24 0 0 0 0 1050 50
 2.300000E+01 0 6 176 0 0 59 97 0 0 7 3 0 1915 1038 0 25 22 0 0 0 0 1060 47
 2.333333E+01 0 7 176 0 0 59 96 0 0 5 7 0 1920 1033 0 23 24 0 0 0 0 1057 47
 2.366667E+01 0 6 178 0 0 70 94 0 0 6 5 0 1906 1047 0 28 19 0 0 0 0 1066 47
 2.400000E+01 0 10 172 0 0 59 92 0 0 4 6 0 1911 1038 0 31 20 0 0 0 0 1058 51
 2.433333E+01 0 7 174 0 0 63 91 0 0 2 6 0 1905 1042 0 33 20 0 0 0 0 1062 53
 2.466667E+01 0 3 179 0 0 71 92 0 1 0 4 0 1888 1057 0 36 19 0 0 0 0 1076 55
 2.500000E+01 0 7 175 0 0 58 91 0 1 1 3 0 1871 1073 0 36 20 0 0 0 0 1093 56
 2.533333E+01 0 2 180 0 0 56 93 0 0 3 6 0 1875 1064 0 40 21 0 0 0 0 1085 61
 2.566667E+01 0 5 178 0 0 59 93 0 0 2 3 0 1889 1048 0 45 18 0 0 0 0 1066 63
 2.600000E+01 0 8 178 0 0 63 92 0 0 4 1 0 1900 1035 0 45 20 0 0 0 0 1055 65
 2.633333E+01 0 4 184 0 0 64 93 0 0 2 5 0 1900 1039 0 42 19 0 0 0 0 1058 61
 2.666667E+01 0 7 180 0 0 64 93 0 0 5 3 0 1909 1027 0 44 20 0 0 0 0 1047 64
 2.700000E+01 0 5 182 0 0 52 94 0 0 3 7 0 1902 1033 0 44 21 0 0 0 0 1054 65
 2.733333E+01 0 4 182 0 0 70 93 0 0 5 4 0 1905 1031 0 42 22 0 0 0 0 1053 64
 2.766667E+01 0 3 182 0 0 57 92 0 0 3 6 0 1874 1062 0 42 22 0 0 0 0 1084 64
 2.800000E+01 0 5 182 0 0 69 93 0 0 2 4 0 1872 1064 0 40 24 0 0 0 0 1088 64
 2.833333E+01 0 9 183 0 0 68 90 0 1 3 6 0 1899 1033 0 39 29 0 0 0 0 1062 68
 2.866667E+01 0 5 189 0 0 61 92 0 1 4 6 0 1892 1037 0 43 28 0 0 0 0 1065 71
 2.900000E+01 0 6 187 0 0 64 92 1 1 2 8 0 1898 1036 0 39 27 0 0 0 0 1063 66
 2.933333E+01 0 8 183 0 0 72 92 1 1 5 5 0 1899 1034 0 37 30 0 0 0 0 1064 67
 2.966667E+01 0 5 189 0 0 67 91 1 1 5 3 0 1884 1048 0 39 29 0 0 0 0 1077 68
 3.000000E+01 0 3 194 0 0 73 92 0 0 1 4 0 1902 1027 0 39 32 0 0 0 0 1059 71
 3.033333E+01 0 6 190 0 0 59 92 0 0 3 4 0 1893 1032 0 43 32 0 0 0 0 1064 75
 3.066667E+01 0 7 189 0 0 69 91 0 1 8 6 0 1893 1029 0 45 33 0 0 0 0 1062 78
 3.100000E+01 0 7 189 0 0 63 89 0 1 3 6 0 1877 1047 0 46 30 0 0 0 0 1077 76
 3.133333E+01 0 5 194 0 0 60 90 0 0 6 5 0 1866 1055 0 50 29 0 0 0 0 1084 79
 3.166667E+01 0 4 198 0 0 65 92 0 0 2 3 0 1873 1045 0 50 32 0 0 0 0 1077 82
 3.200000E+01 0 12 190 0 0 67 90 0 0 5 4 0 1888 1033 0 45 34 0 0 0 0 1067 79
 3.233333E+01 0 7 196 0 0 70 90 1 2 9 3 0 1903 1018 0 43 36 0 0 0 0 1054 79
 3.266667E+01 0 6 199 0 0 64 89 1 1 2 7 0 1916 1003 0 46 35 0 0 0 0 1038 81
 3.300000E+01 0 10 197 0 0 63 91 2 1 3 5 0 1919 1004 0 45 32 0 0 0 0 1036 77
 3.333333E+01 0 5 209 0 0 51 90 2 3 5 10 0 1921 1000 0 47 32 0 0 0 0 1032 79
 3.366667E+01 0 5 214 0 0 64 89 2 2 5 12 0 1922 997 0 49 32 0 0 0 0 1029 81
 3.400000E+01 0 8 215 0 0 66 87 1 1 3 12 0 1931 987 0 49 33 0 0 0 0 1020 82
 3.433333E+01 0 9 216 0 0 77 87 1 0 8 13 0 1922 989 0 58 31 0 0 0 0 1020 89
 3.466667E+01 0 3 222 0 0 64 88 1 0 4 11 0 1947 963 0 58 32 0 0 0 0 995 90
 3.500000E+01 0 5 218 0 0 67 89 0 0 3 6 0 1954 956 0 54 36 0 0 0 0 992 90
 3.533333E+01 0 6 218 0 0 64 87 0 0 9 6 0 1945 964 0 57 34 0 0 0 0 998 91
 3.566667E+01 0 6 221 0 0 70 86 0 1 6 10 0 1927 986 0 54 33 0 0 0 0 1019 87
 3.600000E+01 0 10 221 0 0 65 82 1 1 4 9 0 1909 999 0 55 37 0 0 0 0 1036 92
 3.633333E+01 0 10 217 0 0 71 84 1 1 2 7 0 1892 1012 0 57 39 0 0 0 0 1051 96
 3.666667E+01 0 10 218 0 0 65 80 1 0 5 9 0 1880 1020 0 59 41 0 0 0 0 1061 100
 3.700000E+01 0 5 226 0 0 67 79 0 0 6 13 0 1875 1010 0 63 52 0 0 0 0 1062 115
 3.733333E+01 0 7 224 0 0 67 83 0 0 11 6 0 1872 1002 0 69 57 0 0 0 0 1059 126
 3.766667E+01 0 4 228 0 0 67 86 0 0 4 7 0 1876 992 0 76 56 0 0 0 0 1048 132
 3.800000E+01 0 14 222 0 0 73 88 0 0 11 8 0 1877 999 0 72 52 0 0 0 0 1051 124
 3.833333E+01 0 11 228 0 0 58 86 0 0 4 7 0 1872 1003 0 74 51 0 0 0 0 1054 125
 3.866667E+01 0 9 232 0 0 64 86 0 0 6 12 0 1858 1010 0 76 56 0 0 0 0 1066 132
 3.900000E+01 0 7 232 0 0 56 83 0 0 7 11 0 1861 998 0 75 66 0 0 0 0 1064 141
 3.933333E+01 0 3 235 0 0 64 82 0 1 9 10 0 1852 1005 0 79 64 0 0 0 0 1069 143
 3.966667E+01 0 7 233 0 0 53 81 0 1 10 8 0 1861 987 0 89 63 0 0 0 0 1050 152
 4.000000E+01 0 12 230 0 0 68 83 0 0 8 6 0 1842 1006 0 97 55 0 0 0 0 1061 152
 4.033333E+01 0 4 241 0 0 60 83 1 1 9 9 0 1836 1014 0 96 54 0 0 0 0 1068 150
 4.066667E+01 0 3 243 0 0 64 85 1 1 9 12 0 1842 1014 0 90 54 0 0 0 0 1068 144
 4.100000E+01 0 6 246 0 0 73 85 0 0 13 13 0 1855 1002 0 86 57 0 0 0 0 1059 143
 4.133333E+01 0 10 243 0 0 67 84 0 1 5 9 0 1860 998 0 82 60 0 0 0 0 1058 142
 4.166667E+01 0 7 246 0 0 67 81 0 0 9 17 0 1868 996 0 79 57 0 0 0 0 1053 136
 4.200000E+01 0 6 247 0 0 67 77 0 1 12 9 0 1853 1003 0 86 58 0 0 0 0 1061 144
 4.233333E+01 0 12 245 0 0 70 76 1 1 8 14 0 1865 990 0 91 54 0 0 0 0 1044 145
 4.266667E+01 0 5 255 0 0 65 78 1 1 11 8 0 1851 989 0 105 55 0 0 0 0 1044 160
 4.300000E+01 0 5 260 0 0 63 78 1 0 5 8 0 1830 1002 0 109 59 0 0 0 0 1061 168
 4.333333E+01 0 8 256 0 0 66 80 0 0 13 8 0 1841 990 0 112 57 0 0 0 0 1047 169
 4.366667E+01 0 9 260 0 0 68 79 0 0 10 16 0 1843 988 0 112 57 0 0 0 0 1045 169
 4.400000E+01 0 12 256 0 0 67 76 0 0 8 16 0 1817 1009 0 116 58 0 0 0 0 1067 174
 4.433333E+01 0 10 262 0 0 65 78 0 0 10 7 0 1819 1003 0 112 66 0 0 0 0 1069 178
 4.466667E+01 0 4 270 0 0 66 80 0 0 11 15 0 1810 1010 0 111 69 0 0 0 0 1079 180
 4.500000E+01 0 16 260 0 0 66 80 0 0 8 12 0 1808 1010 0 113 69 0 0 0 0 1079 182
 4.533333E+01 0 13 266 0 0 64 81 0 0 10 13 0 1819 1005 0 114 62 0 0 0 0 1067 176
 4.566667E+01 0 5 276 0 0 50 80 0 0 8 11 0 1826 996 0 113 65 0 0 0 0 1061 178
 4.600000E+01 0 7 278 0 0 76 78 0 0 11 14 0 1843 974 0 120 63 0 0 0 0 1037 183
 4.633333E+01 0 8 276 0 0 80 76 0 0 9 15 0 1829 983 0 125 63 0 0 0 0 1046 188
 4.666667E+01 0 11 272 0 0 64 76 0 0 8 15 0 1834 976 0 122 68 0 0 0 0 1044 190
 4.700000E+01 0 12 270 0 0 67 77 0 0 8 11 0 1824 990 0 119 67 0 0 0 0 1057 186
 4.733333E+01 0 6 278 0 0 76 74 0 0 12 13 0 1816 995 0 117 72 0 0 0 0 1067 189
 4.766667E+01 0 9 278 0 0 63 71 0 0 9 15 0 1816 987 0 125 72 0 0 0 0 1059 197
 4.800000E+01 0 12 276 0 0 70 73 0 0 10 13 0 1804 993 0 135 68 0 0 0 0 1061 203
