# time 'Ca' 'D34:75:137_PP2ACa' 'D34:75:137_PP2APCa' 'D34:75_PP2ACa' 'D34:75_PP2APCa' 'D75:137_PP2ACa' 'D75:137_PP2APCa' 'D75_PP2ACa' 'D75_PP2APCa' 'PP2ACa' 'PP2ACa_PKA' 'PP2APCa' 'PP2BinactiveCa2_1' 'PP2BinactiveCa2_2' 'PP2BinactiveCa2_3' 'PP2BinactiveCa2_4' 'PP2BinactiveCa2_5' 'PP2BinactiveCa2_6'
 3.250000E+01 7 0 0 0 0 0 0 0 0 0 0 0 14 13 16 10 16 15
 3.300000E+01 6 0 0 0 0 0 0 0 0 0 0 0 10 17 16 9 18 12
 3.350000E+01 8 0 0 0 0 0 0 0 0 0 0 0 10 16 14 8 19 11
 3.400000E+01 7 0 0 0 0 0 0 0 0 0 0 0 19 18 15 10 14 13
 3.450000E+01 6 0 0 0 0 0 0 0 0 0 0 0 20 17 19 11 13 14
 3.500000E+01 2 0 0 0 0 0 0 0 0 0 0 0 18 19 11 9 20 13
 3.550000E+01 4 0 0 0 0 0 0 0 0 1 0 0 18 15 14 10 16 14
 3.600000E+01 10 0 0 0 0 0 0 0 0 0 0 0 14 12 18 13 16 17
 3.650000E+01 10 0 0 0 0 0 0 0 0 0 0 0 18 17 20 10 11 17
 3.700000E+01 6 0 0 0 0 0 0 0 0 0 0 0 15 15 14 7 19 12
 3.750000E+01 9 0 0 0 0 0 0 0 0 0 0 0 17 18 13 8 15 12
 3.800000E+01 12 0 0 0 0 0 0 0 0 0 0 0 17 14 11 15 11 8
 3.850000E+01 7 0 0 0 0 0 0 1 0 0 0 0 16 12 17 11 15 16
 3.900000E+01 5 0 0 0 0 0 0 1 0 0 0 0 13 13 15 11 15 13
 3.950000E+01 7 0 0 0 0 0 0 0 0 0 0 0 14 16 16 15 19 7
 4.000000E+01 11 0 0 0 0 0 0 0 0 0 0 0 22 13 21 11 21 12
 4.050000E+01 11 0 0 0 0 0 0 0 0 0 0 0 15 11 13 17 20 18
 4.100000E+01 6 0 0 0 0 0 0 0 0 0 0 0 17 8 14 15 17 21
 4.150000E+01 4 0 0 0 0 0 0 0 0 0 0 0 21 12 14 16 24 12
 4.200000E+01 9 0 0 0 0 0 0 0 0 0 0 0 6 15 17 11 25 11
 4.250000E+01 5 0 0 0 0 0 0 0 0 1 0 0 10 12 18 16 19 17
 4.300000E+01 7 0 0 0 0 0 0 1 0 0 0 0 11 15 23 15 19 11
 4.350000E+01 9 0 0 0 0 0 0 0 0 0 0 0 13 16 21 15 18 11
 4.400000E+01 9 0 0 0 0 0 0 0 0 0 0 0 12 17 15 23 18 13
 4.450000E+01 9 0 0 0 0 0 0 0 0 0 0 0 14 14 13 22 18 20
 4.500000E+01 10 0 0 0 0 0 0 0 0 0 0 0 14 15 12 21 21 21
 4.550000E+01 12 0 0 0 0 0 0 0 0 0 0 0 12 17 16 17 16 18
 4.600000E+01 8 0 0 0 0 0 0 0 0 0 0 0 13 21 14 16 16 15
 4.650000E+01 8 0 0 0 0 0 0 0 0 0 0 0 15 16 20 20 18 12
 4.700000E+01 8 0 0 0 0 0 0 0 0 0 0 0 17 17 18 15 18 16
 4.750000E+01 10 0 0 0 0 0 0 0 0 0 0 0 14 16 14 16 21 13
 4.800000E+01 3 0 0 0 0 0 0 0 0 0 0 0 20 14 16 20 16 15
 4.850000E+01 6 0 0 0 0 0 0 0 0 1 0 0 21 18 21 16 11 19
 4.900000E+01 10 0 0 0 0 0 0 0 0 1 0 0 20 16 20 16 11 19
 4.950000E+01 10 0 0 0 0 0 0 0 0 1 0 0 19 15 18 22 17 17
 5.000000E+01 4 0 0 0 0 0 0 0 0 1 0 0 16 11 24 23 15 19
 5.050000E+01 4 0 0 0 0 0 0 0 0 0 0 0 20 16 21 18 18 13
 5.100000E+01 8 0 0 0 0 0 0 0 0 0 0 0 11 17 18 18 24 13
 5.150000E+01 7 0 0 0 0 0 0 0 0 0 0 0 19 15 23 14 23 13
 5.200000E+01 9 0 0 0 0 0 0 0 0 0 0 0 14 19 15 17 14 11
 5.250000E+01 9 0 0 0 0 0 0 0 0 0 0 0 23 20 18 19 6 16
 5.300000E+01 12 0 0 0 0 0 0 0 0 0 0 0 25 16 19 19 14 12
 5.350000E+01 12 0 0 0 0 0 0 0 0 0 0 0 22 13 17 15 17 14
 5.400000E+01 13 0 0 0 0 0 0 0 0 0 0 0 20 17 15 15 15 16
 5.450000E+01 8 0 0 0 0 0 0 0 0 0 0 0 15 21 16 14 15 26
 5.500000E+01 5 0 0 0 0 0 0 0 0 0 0 0 20 17 14 13 18 25
 5.550000E+01 4 0 0 0 0 0 0 0 0 0 0 0 23 15 14 15 21 29
 5.600000E+01 10 0 0 0 0 0 0 0 0 0 0 0 23 14 20 24 12 18
 5.650000E+01 9 0 0 0 0 0 0 0 0 0 0 0 22 9 24 24 18 11
 5.700000E+01 9 0 0 0 0 0 0 0 0 0 0 0 24 16 16 24 15 22
 5.750000E+01 9 0 0 0 0 0 0 0 0 0 0 0 15 19 12 24 21 17
 5.800000E+01 13 0 0 0 0 0 0 0 0 0 0 0 10 17 14 20 19 21
 5.850000E+01 13 0 0 0 0 0 0 0 0 1 0 0 17 15 12 15 19 21
 5.900000E+01 7 0 0 0 0 0 0 0 0 0 0 0 16 15 14 17 16 19
 5.950000E+01 10 0 0 0 0 0 0 0 0 1 0 0 11 25 18 18 21 20
 6.000000E+01 8 0 0 0 0 0 0 0 0 0 0 0 24 27 15 18 17 15
 6.050000E+01 8 0 0 0 0 0 0 0 0 0 0 0 21 22 17 21 19 17
 6.100000E+01 12 0 0 0 0 0 0 0 0 0 0 0 15 20 16 17 17 19
 6.150000E+01 13 0 0 0 0 0 0 0 0 0 0 0 19 19 15 15 13 21
 6.200000E+01 6 0 0 0 0 0 0 0 0 0 0 0 21 20 18 15 19 19
 6.250000E+01 8 0 0 0 0 0 0 0 0 0 0 0 21 17 18 19 21 20
 6.300000E+01 9 0 0 0 0 0 0 0 0 0 0 0 19 14 15 15 24 29
 6.350000E+01 8 0 0 0 0 0 0 0 0 0 0 0 22 12 12 18 17 21
 6.400000E+01 4 0 0 0 0 0 0 0 0 0 0 0 23 18 14 19 12 13
 6.450000E+01 9 0 0 0 0 0 0 0 0 0 0 0 16 20 18 22 17 16
