'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?'
0 9 235 0 58 14 0 0 31 9 0 1503 780 0 464 253 0 0 0
0 9 237 0 62 13 0 0 28 15 0 1486 784 0 473 257 0 0 0
0 5 237 0 55 16 0 0 41 6 0 1455 807 0 478 260 0 0 0
0 7 237 0 58 14 0 0 27 10 0 1458 794 0 483 265 0 0 0
0 7 239 0 59 15 0 0 37 9 0 1450 793 0 494 263 0 0 0
0 8 242 0 64 16 0 0 29 9 0 1447 785 0 509 259 0 0 0
0 9 237 0 69 12 0 0 39 4 0 1443 777 0 509 271 0 0 0
0 5 235 0 68 11 0 0 39 5 0 1457 756 0 519 268 0 0 0
0 6 232 0 64 6 0 0 40 11 0 1447 758 0 516 279 0 0 0
0 4 228 0 55 9 0 0 35 15 0 1451 748 0 521 280 0 0 0
0 6 228 0 67 8 0 0 30 9 0 1446 749 0 528 277 0 0 0
0 9 233 0 64 7 0 0 33 4 0 1423 763 0 538 276 0 0 0
0 6 228 0 73 8 0 0 37 9 0 1431 748 0 547 274 0 0 0
0 9 225 0 74 5 0 0 34 4 0 1424 747 0 559 270 0 0 0
0 8 233 0 65 6 0 1 32 9 0 1415 754 0 542 289 0 0 0
0 10 235 0 66 7 0 1 36 12 0 1421 746 0 546 287 0 0 0
0 3 238 0 67 9 0 1 36 14 0 1424 737 0 549 290 0 0 0
0 4 237 0 60 8 0 1 32 8 0 1395 756 0 569 280 0 0 0
0 7 231 0 68 8 0 0 35 10 0 1416 733 0 557 294 0 0 0
0 10 235 0 64 4 0 1 36 7 0 1400 744 0 561 295 0 0 0
0 9 238 0 62 6 0 1 35 11 0 1401 741 0 556 302 0 0 0
0 4 239 0 68 8 0 1 31 8 0 1388 746 0 564 302 0 0 0
0 7 240 0 52 10 0 1 40 6 0 1378 747 0 564 311 0 0 0
