# 'time' 'PP2A_PKA' 'D75_PP2A' 'D75_PKA' 'D34_PKA'
149. 0 25 0 0
149.5 0 26 0 0
150. 0 13 0 0
150.5 0 17 0 0
151. 0 25 0 0
151.5 0 16 0 0
152. 0 15 0 0
152.5 0 21 0 0
153. 0 19 0 0
153.5 0 15 0 0
154. 0 18 0 0
154.5 0 18 0 0
155. 0 13 0 0
155.5 0 17 0 0
156. 0 19 0 0
156.5 0 25 0 0
157. 0 18 0 0
157.5 0 20 0 0
158. 0 19 0 0
158.5 0 22 0 0
159. 0 12 0 0
159.5 0 28 0 0
160. 0 20 0 0
160.5 0 18 0 0
161. 0 25 0 0
161.5 0 19 0 0
162. 0 16 0 0
162.5 0 12 0 0
163. 0 12 0 0
163.5 0 17 0 0
164. 0 19 0 0
164.5 0 21 0 0
165. 0 21 0 0
165.5 0 22 0 0
166. 0 22 0 0
166.5 0 17 0 0
167. 0 20 0 0
167.5 0 24 0 0
168. 0 20 0 0
168.5 0 24 0 0
169. 0 15 0 0
169.5 0 16 0 0
170. 0 20 0 0
170.5 0 26 0 0
171. 0 14 0 0
171.5 0 24 0 0
172. 0 13 0 0
172.5 0 15 0 0
173. 0 8 0 0
173.5 0 20 0 0
174. 0 20 0 0
174.5 0 15 0 0
175. 0 19 0 0
175.5 0 11 0 0
176. 0 23 0 0
176.5 0 17 0 0
177. 0 14 0 0
177.5 0 17 0 0
178. 0 22 0 0
178.5 0 21 0 0
179. 0 24 0 0
179.5 0 22 0 0
180. 0 18 0 0
180.5 0 27 0 0
181. 0 18 0 0
181.5 0 16 0 0
182. 0 19 0 0
182.5 0 21 0 0
183. 0 18 0 0
183.5 0 16 0 0
184. 0 24 0 0
184.5 0 18 0 0
185. 0 14 0 0
185.5 0 18 0 0
186. 0 12 0 0
186.5 0 13 0 0
187. 0 24 0 0
187.5 0 14 0 0
188. 0 27 0 0
188.5 0 17 0 0
189. 0 18 0 0
189.5 0 16 0 0
190. 0 24 0 0
190.5 0 18 0 0
191. 0 17 0 0
191.5 0 21 0 0
192. 0 21 0 0
192.5 0 20 0 0
193. 0 21 0 0
193.5 0 21 0 0
194. 0 13 0 0
194.5 0 19 0 0
195. 0 14 0 0
195.5 0 10 0 0
196. 0 13 0 0
196.5 0 16 0 0
197. 0 24 0 0
197.5 0 19 0 0
198. 0 17 0 0
198.5 0 20 0 0
199. 0 15 0 0
199.5 0 16 0 0
200. 0 22 0 0
200.5 9 20 0 371
201. 14 20 0 366
201.5 17 19 0 351
202. 14 21 0 313
202.5 13 16 0 301
203. 14 26 0 300
203.5 16 25 0 266
204. 17 13 0 256
204.5 17 11 0 224
205. 15 26 0 232
205.5 10 15 0 181
206. 10 17 0 163
206.5 19 17 0 157
207. 21 15 0 142
207.5 22 12 0 131
208. 21 23 0 96
208.5 14 19 0 101
209. 12 25 0 97
209.5 14 12 0 107
210. 17 15 0 85
210.5 14 11 0 88
211. 17 15 0 89
211.5 13 22 0 76
212. 20 9 0 67
212.5 14 16 0 64
213. 15 12 0 47
213.5 14 17 0 54
214. 14 18 0 49
214.5 16 15 0 50
215. 10 15 0 51
215.5 7 22 0 54
216. 19 14 0 32
216.5 15 18 0 54
217. 15 18 0 51
217.5 16 19 0 37
218. 12 19 0 30
218.5 14 14 0 45
219. 7 16 0 35
219.5 11 9 0 27
220. 12 11 0 35
220.5 16 13 0 28
221. 10 13 0 27
221.5 7 24 0 28
222. 13 19 0 27
222.5 7 16 0 33
223. 6 26 0 31
223.5 7 15 0 21
224. 11 9 0 25
224.5 13 23 0 38
225. 12 13 0 31
225.5 9 12 0 29
226. 13 14 0 19
226.5 7 20 0 29
227. 14 20 0 27
227.5 8 14 0 29
228. 11 14 0 33
228.5 4 13 0 19
229. 11 16 0 21
229.5 6 13 0 41
230. 8 21 0 20
230.5 7 18 0 23
231. 8 20 0 20
231.5 13 17 0 19
232. 9 15 0 31
232.5 4 12 0 26
233. 7 10 0 30
233.5 7 18 0 24
234. 14 17 0 23
234.5 2 17 0 26
235. 3 19 0 25
235.5 12 24 0 20
236. 7 23 0 30
236.5 10 14 0 29
237. 10 17 0 17
237.5 8 17 0 27
238. 7 21 0 34
238.5 7 20 0 20
239. 5 19 0 27
239.5 9 8 0 24
240. 9 16 0 23
240.5 7 19 0 20
241. 7 18 0 16
241.5 6 17 0 24
242. 8 22 0 24
242.5 1 16 0 21
243. 5 15 0 21
243.5 5 21 0 27
244. 5 22 0 21
244.5 5 20 0 18
245. 7 14 0 23
245.5 2 18 0 26
246. 6 15 0 30
246.5 6 12 0 15
247. 4 20 0 20
247.5 4 15 0 24
248. 4 19 0 18
248.5 8 22 0 22
249. 4 14 0 24
249.5 8 20 0 24
250. 3 16 0 13
250.5 5 17 0 22
251. 2 22 0 33
251.5 5 23 0 35
252. 2 21 0 31
252.5 4 23 0 35
253. 4 23 0 43
253.5 3 23 0 41
254. 4 25 0 48
254.5 3 20 0 38
255. 5 12 0 44
255.5 1 26 0 40
256. 4 15 0 39
256.5 2 19 0 42
257. 2 19 0 43
257.5 1 18 0 49
258. 0 21 0 48
258.5 3 14 0 46
259. 5 27 0 43
259.5 3 17 0 48
260. 2 20 0 46
260.5 1 27 0 43
261. 2 25 0 47
261.5 4 19 0 42
262. 4 18 0 48
262.5 3 20 0 49
263. 0 21 0 47
263.5 1 20 0 52
264. 2 29 0 43
264.5 1 18 0 49
265. 0 24 0 43
265.5 2 22 0 49
266. 3 18 0 52
266.5 2 17 0 43
267. 1 21 0 43
267.5 4 34 0 48
268. 4 16 0 42
268.5 4 22 0 41
269. 2 23 0 41
269.5 1 12 0 50
270. 0 20 0 46
270.5 2 21 0 42
271. 5 20 0 38
271.5 1 12 0 46
272. 2 25 0 48
272.5 2 20 0 42
273. 3 20 0 39
273.5 1 18 0 39
274. 2 19 0 39
274.5 3 17 0 47
275. 3 20 0 40
275.5 2 18 0 45
276. 4 25 0 33
276.5 2 20 0 39
277. 1 23 0 40
277.5 1 14 0 39
278. 2 24 0 42
278.5 2 21 0 33
279. 1 21 0 35
279.5 0 23 0 45
280. 4 26 0 30
280.5 1 20 0 43
281. 3 28 0 41
281.5 1 14 0 50
282. 1 14 0 40
282.5 2 21 0 40
283. 2 28 0 40
283.5 2 22 0 41
284. 2 18 0 45
284.5 2 18 0 37
285. 2 20 0 33
285.5 2 20 0 30
286. 1 20 0 36
286.5 2 18 0 46
287. 0 16 0 38
287.5 2 23 0 41
288. 2 17 0 35
288.5 1 22 0 45
289. 0 21 0 34
289.5 0 14 0 40
290. 2 21 0 41
290.5 1 11 0 42
291. 1 16 0 41
291.5 1 18 0 39
292. 1 19 0 42
292.5 2 22 0 37
293. 0 17 0 38
293.5 1 10 0 35
294. 4 20 0 34
294.5 5 18 0 30
295. 2 17 0 32
295.5 1 17 0 42
296. 0 16 0 28
296.5 0 16 0 41
297. 1 26 0 37
297.5 3 18 0 38
298. 2 15 0 39
298.5 0 19 0 38
299. 4 21 0 40
299.5 1 19 0 28
300. 1 20 0 33
300.5 1 19 0 29
301. 1 19 0 33
301.5 1 13 0 25
302. 2 16 0 25
302.5 2 18 0 33
303. 0 21 0 30
303.5 0 16 0 29
304. 0 23 0 29
304.5 0 24 0 39
305. 2 22 0 28
305.5 5 22 0 26
306. 0 20 0 35
306.5 1 16 0 33
307. 1 17 0 26
307.5 1 24 0 24
308. 1 16 0 30
308.5 2 16 0 27
309. 1 20 0 31
309.5 2 18 0 26
310. 2 14 0 28
310.5 1 21 0 26
311. 1 23 0 25
311.5 3 21 0 28
312. 0 32 0 30
312.5 0 15 0 26
313. 0 17 0 28
313.5 2 22 0 28
314. 2 14 0 25
314.5 1 16 0 30
315. 2 20 0 26
315.5 2 26 0 27
316. 0 18 0 26
316.5 2 22 0 25
317. 1 12 0 26
317.5 3 15 0 26
318. 0 18 0 26
318.5 2 15 0 27
319. 1 14 0 24
319.5 2 17 0 24
320. 1 22 0 29
320.5 0 16 0 25
321. 2 12 0 27
321.5 0 18 0 26
322. 0 23 0 24
322.5 0 21 0 27
323. 4 21 0 30
323.5 0 24 0 31
324. 3 15 0 19
324.5 2 19 0 24
325. 1 18 0 21
325.5 1 26 0 21
326. 4 21 0 26
326.5 0 20 0 28
327. 2 21 0 26
327.5 0 21 0 26
328. 1 25 0 19
328.5 1 22 0 22
329. 1 16 0 21
329.5 2 20 0 27
330. 3 17 0 22
330.5 2 23 0 22
331. 3 23 0 24
331.5 0 17 0 23
332. 2 18 0 24
332.5 1 12 0 20
333. 0 15 0 27
333.5 1 19 0 19
334. 1 20 0 16
334.5 2 19 0 17
335. 1 20 0 20
335.5 1 14 0 19
336. 0 17 0 24
336.5 0 17 0 20
337. 2 22 0 21
337.5 1 18 0 15
338. 1 23 0 19
338.5 2 17 0 24
339. 2 15 0 21
339.5 1 12 0 21
340. 1 21 0 21
340.5 0 16 0 23
341. 0 17 0 25
341.5 0 17 0 22
342. 3 14 0 22
342.5 3 30 0 20
343. 1 31 0 24
343.5 0 24 0 21
344. 1 17 0 24
344.5 1 15 0 27
345. 2 19 0 17
345.5 0 21 0 24
346. 2 17 0 21
346.5 0 24 0 23
347. 2 23 0 20
347.5 0 16 0 21
348. 0 23 0 16
348.5 1 20 0 22
349. 2 27 0 28
349.5 2 22 0 21
350. 1 18 0 16
350.5 3 17 0 18
351. 3 19 0 20
351.5 0 15 0 18
352. 0 18 0 21
352.5 3 25 0 18
353. 3 16 0 18
353.5 1 22 0 24
354. 2 23 0 19
354.5 0 16 0 17
355. 1 15 0 23
355.5 0 15 0 18
356. 0 19 0 22
356.5 0 17 0 19
357. 1 20 0 25
357.5 1 18 0 19
358. 3 22 0 24
358.5 2 20 0 18
359. 0 23 0 23
359.5 0 18 0 19
360. 0 18 0 21
360.5 3 18 0 15
361. 1 22 0 28
361.5 0 21 0 18
362. 2 20 0 15
362.5 0 15 0 22
363. 2 23 0 17
363.5 2 17 0 21
364. 2 20 0 27
364.5 0 18 0 26
365. 3 14 0 22
365.5 3 14 0 19
366. 0 21 0 17
366.5 0 10 0 19
367. 3 18 0 18
367.5 0 20 0 24
368. 1 16 0 19
368.5 3 19 0 22
369. 0 14 0 21
369.5 1 20 0 22
370. 6 15 0 18
370.5 3 18 0 21
371. 2 17 0 17
371.5 1 15 0 26
372. 2 26 0 17
372.5 2 12 0 16
373. 1 17 0 18
373.5 0 23 0 26
374. 1 19 0 22
374.5 3 15 0 17
375. 0 20 0 15
375.5 1 25 0 12
376. 2 16 0 20
376.5 2 17 0 14
377. 1 12 0 21
377.5 2 22 0 17
378. 1 18 0 16
378.5 1 18 0 25
379. 2 14 0 15
379.5 0 12 0 15
380. 2 19 0 19
380.5 1 16 0 21
381. 2 17 0 23
381.5 1 19 0 22
382. 3 12 0 22
382.5 1 7 0 17
383. 1 23 0 21
383.5 0 17 0 21
384. 0 16 0 20
384.5 2 25 0 13
385. 1 17 0 24
385.5 4 22 0 19
386. 0 18 0 15
386.5 1 9 0 18
387. 1 29 0 22
387.5 1 17 0 19
388. 1 17 0 15
388.5 0 22 0 18
389. 1 18 0 16
389.5 0 15 0 20
390. 0 13 0 21
390.5 0 25 0 23
391. 1 22 0 16
391.5 1 24 0 19
392. 1 17 0 17
392.5 1 17 0 19
393. 2 22 0 18
393.5 4 17 0 19
394. 0 26 0 20
394.5 1 15 0 15
395. 4 16 0 16
395.5 0 13 0 13
396. 1 20 0 21
396.5 1 16 0 15
397. 1 19 0 20
397.5 1 20 0 18
398. 4 19 0 14
398.5 5 14 0 14
399. 0 25 0 21
399.5 0 13 0 15
400. 1 14 0 17
400.5 1 21 0 17
401. 4 18 0 15
401.5 3 16 0 17
402. 1 20 0 17
402.5 3 16 0 17
403. 1 19 0 16
403.5 1 10 0 18
404. 0 17 0 19
404.5 1 19 0 18
405. 2 19 0 19
405.5 2 24 0 19
406. 0 21 0 20
406.5 0 24 0 16
407. 1 22 0 16
407.5 0 15 0 19
408. 0 23 0 18
408.5 1 20 0 12
409. 2 18 0 15
409.5 0 22 0 17
410. 1 18 0 20
410.5 0 21 0 20
411. 1 22 0 18
411.5 2 26 0 16
412. 0 23 0 14
412.5 0 18 0 17
413. 2 19 0 13
413.5 0 14 0 17
414. 3 25 0 15
414.5 0 23 0 22
415. 0 19 0 22
415.5 0 22 0 17
416. 0 26 0 21
416.5 1 16 0 17
417. 0 12 0 19
417.5 1 16 0 15
418. 1 19 0 8
418.5 1 16 0 16
419. 2 15 0 17
419.5 2 16 0 19
420. 3 16 0 16
420.5 0 26 0 15
421. 1 15 0 17
421.5 1 11 0 18
422. 2 20 0 17
422.5 3 21 0 20
423. 0 14 0 16
423.5 0 16 0 18
424. 2 18 0 16
424.5 0 24 0 16
425. 0 25 0 16
425.5 1 25 0 16
426. 3 25 0 10
426.5 0 21 0 10
427. 0 24 0 16
427.5 0 17 0 23
428. 0 22 0 16
428.5 0 20 0 18
429. 0 18 0 19
429.5 2 18 0 12
430. 1 18 0 17
430.5 0 21 0 17
431. 0 28 0 15
431.5 0 21 0 18
432. 0 20 0 13
432.5 1 21 0 18
433. 2 20 0 15
433.5 1 22 0 21
434. 0 26 0 12
434.5 1 20 0 14
435. 2 21 0 11
435.5 2 15 0 14
436. 0 16 0 14
436.5 0 14 0 14
437. 1 21 0 12
437.5 1 20 0 16
438. 2 20 0 16
438.5 0 19 0 10
439. 1 14 0 13
439.5 0 14 0 14
440. 0 21 0 18
440.5 3 21 0 14
441. 0 24 0 15
441.5 0 18 0 12
442. 1 24 0 13
442.5 1 17 0 13
443. 1 20 0 15
443.5 0 15 0 20
444. 2 21 0 16
444.5 2 17 0 17
445. 1 16 0 15
445.5 0 16 0 18
446. 0 18 0 16
446.5 0 17 0 17
447. 1 19 0 14
447.5 3 19 0 17
448. 1 27 0 13
448.5 1 24 0 12
449. 1 24 0 15
449.5 0 19 0 18
450. 0 19 0 13
450.5 3 15 0 9
451. 0 17 0 13
451.5 1 18 0 14
452. 3 20 0 12
452.5 2 17 0 10
453. 0 25 0 13
453.5 1 22 0 16
454. 1 20 0 15
454.5 0 20 0 15
455. 1 16 0 14
455.5 2 27 0 17
456. 4 26 0 11
456.5 1 26 0 13
457. 0 20 0 20
457.5 1 14 0 10
458. 1 15 0 16
458.5 3 26 0 14
459. 0 20 0 13
459.5 1 13 0 16
460. 1 12 0 12
460.5 1 25 0 14
461. 2 14 0 12
461.5 0 23 0 14
462. 1 14 0 11
462.5 1 18 0 12
463. 2 18 0 17
463.5 0 20 0 18
464. 1 20 0 16
464.5 2 31 0 14
465. 0 17 0 17
465.5 3 18 0 13
466. 0 18 0 18
466.5 4 19 0 9
467. 1 17 0 12
467.5 2 17 0 16
468. 2 20 0 15
468.5 1 20 0 10
469. 0 23 0 14
469.5 0 17 0 15
470. 0 22 0 15
470.5 1 14 0 10
471. 0 20 0 19
471.5 0 18 0 11
472. 0 20 0 10
472.5 0 19 0 13
473. 1 24 0 10
473.5 1 12 0 17
474. 2 19 0 14
474.5 2 14 0 11
475. 2 15 0 13
475.5 1 19 0 10
476. 2 24 0 15
476.5 2 18 0 13
477. 1 10 0 13
477.5 1 17 0 13
478. 3 15 0 11
478.5 0 17 0 11
479. 1 26 0 13
479.5 3 11 0 16
480. 0 15 0 10
480.5 1 19 0 12
481. 0 14 0 19
481.5 0 23 0 14
482. 2 17 0 9
482.5 0 20 0 9
483. 0 15 0 16
483.5 2 18 0 14
484. 1 27 0 12
484.5 1 22 0 11
485. 3 15 0 13
485.5 0 15 0 14
486. 1 22 0 12
486.5 1 18 0 14
487. 2 23 0 6
487.5 0 21 0 16
488. 2 17 0 15
488.5 1 19 0 12
489. 1 23 0 13
489.5 0 17 0 9
490. 2 23 0 17
490.5 1 15 0 15
491. 1 16 0 17
491.5 0 17 0 13
492. 0 21 0 14
492.5 0 23 0 14
493. 0 23 0 12
493.5 0 21 0 20
494. 1 17 0 13
494.5 0 14 0 12
495. 0 22 0 14
495.5 1 14 0 12
496. 0 19 0 16
496.5 0 17 0 13
497. 3 21 0 16
497.5 0 22 0 12
498. 1 19 0 17
498.5 1 22 0 11
499. 1 24 0 9
499.5 1 24 0 15
500. 2 17 0 7
500.5 1 15 0 11
501. 1 22 0 14
501.5 1 25 0 14
502. 1 24 0 13
502.5 1 22 0 11
503. 0 23 0 13
503.5 0 27 0 16
504. 3 14 0 10
504.5 2 18 0 13
505. 2 25 0 12
505.5 0 21 0 11
506. 1 11 0 12
506.5 1 18 0 11
507. 0 20 0 13
507.5 1 22 0 10
508. 3 19 0 13
508.5 1 15 0 8
509. 0 14 0 13
509.5 0 17 0 13
510. 0 17 0 18
510.5 0 17 0 17
511. 0 24 0 16
511.5 0 21 0 16
512. 0 18 0 16
512.5 2 27 0 13
513. 1 14 0 19
513.5 0 14 0 11
514. 0 16 0 16
514.5 0 22 0 11
515. 1 15 0 13
515.5 1 19 0 14
516. 2 23 0 13
516.5 1 18 0 11
517. 0 20 0 22
517.5 0 22 0 11
518. 0 24 0 12
518.5 1 23 0 9
519. 0 22 0 15
519.5 0 19 0 15
520. 0 17 0 10
520.5 1 19 0 9
521. 1 18 0 11
521.5 0 23 0 13
522. 2 10 0 14
522.5 1 18 0 15
523. 1 23 0 14
523.5 2 24 0 12
524. 1 17 0 13
524.5 1 18 0 16
525. 2 18 0 11
525.5 0 23 0 11
526. 0 23 0 10
526.5 0 18 0 14
527. 2 19 0 9
527.5 0 16 0 13
528. 2 17 0 12
528.5 3 11 0 13
529. 0 30 0 11
529.5 0 19 0 15
530. 0 19 0 10
530.5 2 22 0 12
531. 0 22 0 12
531.5 1 16 0 18
532. 1 13 0 14
532.5 1 23 0 12
533. 1 22 0 16
533.5 0 19 0 16
534. 1 18 0 7
534.5 0 25 0 15
535. 2 25 0 13
535.5 0 12 0 12
536. 0 12 0 14
536.5 2 11 0 14
537. 0 15 0 18
537.5 0 20 0 13
538. 0 19 0 10
538.5 2 18 0 13
539. 0 17 0 14
539.5 0 21 0 16
540. 1 23 0 16
540.5 0 17 0 13
541. 1 22 0 10
541.5 0 18 0 14
542. 1 16 0 16
542.5 2 23 0 10
543. 1 16 0 12
543.5 0 24 0 14
544. 3 22 0 11
544.5 1 29 0 16
545. 0 19 0 20
545.5 1 25 0 12
546. 1 23 0 17
546.5 0 15 0 17
547. 0 15 0 16
547.5 1 21 0 9
548. 0 21 0 14
548.5 0 23 0 9
549. 1 22 0 16
549.5 0 24 0 10
550. 1 16 0 16
550.5 1 24 0 11
551. 1 11 0 18
551.5 1 17 0 13
552. 1 20 0 16
552.5 1 25 0 14
553. 2 21 0 13
553.5 0 15 0 22
554. 2 18 0 14
554.5 4 23 0 10
555. 0 21 0 19
555.5 1 15 0 10
556. 0 19 0 16
556.5 1 18 0 11
557. 0 25 0 17
557.5 0 21 0 17
558. 0 23 0 12
558.5 0 20 0 14
559. 0 23 0 15
559.5 2 15 0 10
560. 1 25 0 17
560.5 2 14 0 13
561. 0 17 0 13
561.5 1 21 0 12
562. 0 20 0 16
562.5 1 21 0 14
563. 1 15 0 21
563.5 0 18 0 12
564. 1 15 0 11
564.5 0 17 0 14
565. 1 25 0 16
565.5 0 21 0 14
566. 2 20 0 12
566.5 1 15 0 13
567. 0 19 0 14
567.5 0 21 0 12
568. 0 18 0 11
568.5 1 15 0 11
569. 1 17 0 15
569.5 1 15 0 17
570. 0 19 0 5
570.5 1 10 0 19
571. 1 30 0 13
571.5 0 13 0 11
572. 0 16 0 17
572.5 2 13 0 15
573. 1 23 0 18
573.5 0 20 0 14
574. 1 23 0 14
574.5 1 20 0 12
575. 1 16 0 13
575.5 1 14 0 17
576. 0 17 0 15
576.5 0 15 0 13
577. 0 24 0 15
577.5 1 23 0 14
578. 2 21 0 16
578.5 0 17 0 15
579. 0 26 0 12
579.5 0 26 0 15
580. 0 19 0 13
580.5 2 24 0 15
581. 3 16 0 13
581.5 1 17 0 10
582. 1 20 0 14
582.5 0 19 0 18
583. 1 22 0 11
583.5 1 15 0 11
584. 2 10 0 15
584.5 0 17 0 12
585. 0 20 0 16
585.5 0 27 0 12
586. 2 17 0 16
586.5 1 19 0 10
587. 2 23 0 15
587.5 0 23 0 12
588. 1 16 0 10
588.5 1 16 0 14
589. 2 25 0 11
589.5 4 13 0 14
590. 1 16 0 8
590.5 1 19 0 12
591. 0 21 0 15
591.5 3 22 0 12
592. 0 21 0 16
592.5 1 20 0 17
593. 0 16 0 11
593.5 1 17 0 17
594. 0 20 0 20
594.5 0 18 0 11
595. 1 23 0 17
595.5 2 22 0 15
596. 1 27 0 13
596.5 1 21 0 15
597. 2 15 0 9
597.5 1 17 0 15
598. 1 12 0 15
598.5 0 19 0 9
599. 0 23 0 15
599.5 1 14 0 18
600. 1 16 0 13
600.5 1 17 0 15
601. 1 18 0 10
601.5 0 11 0 20
602. 3 20 0 11
602.5 1 16 0 16
603. 0 23 0 12
603.5 0 24 0 12
604. 0 20 0 10
