# time 'cAMP_on' 'cAMP_on?'
 0.000000E+00 0 0
 5.000000E-01 0 0
 1.000000E+00 0 0
 1.500000E+00 0 0
 2.000000E+00 0 0
 2.500000E+00 0 0
 3.000000E+00 0 0
 3.500000E+00 0 0
 4.000000E+00 0 0
 4.500000E+00 0 0
 5.000000E+00 0 0
 5.500000E+00 0 0
 6.000000E+00 0 0
 6.500000E+00 0 0
 7.000000E+00 0 0
 7.500000E+00 0 0
 8.000000E+00 0 0
 8.500000E+00 0 0
 9.000000E+00 0 0
 9.500000E+00 0 0
 1.000000E+01 0 0
 1.050000E+01 0 0
 1.100000E+01 0 0
 1.150000E+01 0 0
 1.200000E+01 0 0
 1.250000E+01 0 0
 1.300000E+01 0 0
 1.350000E+01 0 0
 1.400000E+01 0 0
 1.450000E+01 0 0
 1.500000E+01 0 0
 1.550000E+01 0 0
 1.600000E+01 0 0
 1.650000E+01 0 0
 1.700000E+01 0 0
 1.750000E+01 0 0
 1.800000E+01 0 0
 1.850000E+01 0 0
 1.900000E+01 0 0
 1.950000E+01 0 0
 2.000000E+01 0 0
 2.050000E+01 0 0
 2.100000E+01 0 0
 2.150000E+01 0 0
 2.200000E+01 0 0
 2.250000E+01 0 0
 2.300000E+01 0 0
 2.350000E+01 0 0
 2.400000E+01 0 0
 2.450000E+01 0 0
 2.500000E+01 0 0
 2.550000E+01 0 0
 2.600000E+01 0 0
 2.650000E+01 0 0
 2.700000E+01 0 0
 2.750000E+01 0 0
 2.800000E+01 0 0
 2.850000E+01 0 0
 2.900000E+01 0 0
 2.950000E+01 0 0
 3.000000E+01 0 0
 3.050000E+01 0 0
 3.100000E+01 0 0
 3.150000E+01 0 0
 3.200000E+01 0 0
 3.250000E+01 0 0
 3.300000E+01 0 0
 3.350000E+01 0 0
 3.400000E+01 0 0
 3.450000E+01 0 0
 3.500000E+01 0 0
 3.550000E+01 0 0
 3.600000E+01 0 0
 3.650000E+01 0 0
 3.700000E+01 0 0
 3.750000E+01 0 0
 3.800000E+01 0 0
 3.850000E+01 0 0
 3.900000E+01 0 0
 3.950000E+01 0 0
 4.000000E+01 0 0
 4.050000E+01 0 0
 4.100000E+01 0 0
 4.150000E+01 0 0
 4.200000E+01 0 0
 4.250000E+01 0 0
 4.300000E+01 0 0
 4.350000E+01 0 0
 4.400000E+01 0 0
 4.450000E+01 0 0
 4.500000E+01 0 0
 4.550000E+01 0 0
 4.600000E+01 0 0
 4.650000E+01 0 0
 4.700000E+01 0 0
 4.750000E+01 0 0
 4.800000E+01 0 0
 4.850000E+01 0 0
 4.900000E+01 0 0
 4.950000E+01 0 0
 5.000000E+01 0 0
 5.050000E+01 0 0
 5.100000E+01 0 0
 5.150000E+01 0 0
 5.200000E+01 0 0
 5.250000E+01 0 0
 5.300000E+01 0 0
 5.350000E+01 0 0
 5.400000E+01 0 0
 5.450000E+01 0 0
 5.500000E+01 0 0
 5.550000E+01 0 0
 5.600000E+01 0 0
 5.650000E+01 0 0
 5.700000E+01 0 0
 5.750000E+01 0 0
 5.800000E+01 0 0
 5.850000E+01 0 0
 5.900000E+01 0 0
 5.950000E+01 0 0
 6.000000E+01 0 0
 6.050000E+01 0 0
 6.100000E+01 0 0
 6.150000E+01 0 0
 6.200000E+01 0 0
 6.250000E+01 0 0
 6.300000E+01 0 0
 6.350000E+01 0 0
 6.400000E+01 0 0
 6.450000E+01 0 0
 6.500000E+01 0 0
 6.550000E+01 0 0
 6.600000E+01 0 0
 6.650000E+01 0 0
 6.700000E+01 0 0
 6.750000E+01 0 0
 6.800000E+01 0 0
 6.850000E+01 0 0
 6.900000E+01 0 0
 6.950000E+01 0 0
 7.000000E+01 0 0
 7.050000E+01 0 0
 7.100000E+01 0 0
 7.150000E+01 0 0
 7.200000E+01 0 0
 7.250000E+01 0 0
 7.300000E+01 0 0
 7.350000E+01 0 0
 7.400000E+01 0 0
 7.450000E+01 0 0
 7.500000E+01 0 0
 7.550000E+01 0 0
 7.600000E+01 0 0
 7.650000E+01 0 0
 7.700000E+01 0 0
 7.750000E+01 0 0
 7.800000E+01 0 0
 7.850000E+01 0 0
 7.900000E+01 0 0
 7.950000E+01 0 0
 8.000000E+01 0 0
 8.050000E+01 0 0
 8.100000E+01 0 0
 8.150000E+01 0 0
 8.200000E+01 0 0
 8.250000E+01 0 0
 8.300000E+01 0 0
 8.350000E+01 0 0
 8.400000E+01 0 0
 8.450000E+01 0 0
 8.500000E+01 0 0
 8.550000E+01 0 0
 8.600000E+01 0 0
 8.650000E+01 0 0
 8.700000E+01 0 0
 8.750000E+01 0 0
 8.800000E+01 0 0
 8.850000E+01 0 0
 8.900000E+01 0 0
 8.950000E+01 0 0
 9.000000E+01 0 0
 9.050000E+01 0 0
 9.100000E+01 0 0
 9.150000E+01 0 0
 9.200000E+01 0 0
 9.250000E+01 0 0
 9.300000E+01 0 0
 9.350000E+01 0 0
 9.400000E+01 0 0
 9.450000E+01 0 0
 9.500000E+01 0 0
 9.550000E+01 0 0
 9.600000E+01 0 0
 9.650000E+01 0 0
 9.700000E+01 0 0
 9.750000E+01 0 0
 9.800000E+01 0 0
 9.850000E+01 0 0
 9.900000E+01 0 0
 9.950000E+01 0 0
 1.000000E+02 0 0
 1.005000E+02 0 0
 1.010000E+02 0 0
 1.015000E+02 0 0
 1.020000E+02 0 0
 1.025000E+02 0 0
 1.030000E+02 0 0
 1.035000E+02 0 0
 1.040000E+02 0 0
 1.045000E+02 0 0
 1.050000E+02 0 0
 1.055000E+02 0 0
 1.060000E+02 0 0
 1.065000E+02 0 0
 1.070000E+02 0 0
 1.075000E+02 0 0
 1.080000E+02 0 0
 1.085000E+02 0 0
 1.090000E+02 0 0
 1.095000E+02 0 0
 1.100000E+02 0 0
 1.105000E+02 0 0
 1.110000E+02 0 0
 1.115000E+02 0 0
 1.120000E+02 0 0
 1.125000E+02 0 0
 1.130000E+02 0 0
 1.135000E+02 0 0
 1.140000E+02 0 0
 1.145000E+02 0 0
 1.150000E+02 0 0
 1.155000E+02 0 0
 1.160000E+02 0 0
 1.165000E+02 0 0
 1.170000E+02 0 0
 1.175000E+02 0 0
 1.180000E+02 0 0
 1.185000E+02 0 0
 1.190000E+02 0 0
 1.195000E+02 0 0
 1.200000E+02 0 0
 1.205000E+02 0 0
 1.210000E+02 0 0
 1.215000E+02 0 0
 1.220000E+02 0 0
 1.225000E+02 0 0
 1.230000E+02 0 0
 1.235000E+02 0 0
 1.240000E+02 0 0
 1.245000E+02 0 0
 1.250000E+02 0 0
 1.255000E+02 0 0
 1.260000E+02 0 0
 1.265000E+02 0 0
 1.270000E+02 0 0
 1.275000E+02 0 0
 1.280000E+02 0 0
 1.285000E+02 0 0
 1.290000E+02 0 0
 1.295000E+02 0 0
 1.300000E+02 0 0
 1.305000E+02 0 0
 1.310000E+02 0 0
 1.315000E+02 0 0
 1.320000E+02 0 0
 1.325000E+02 0 0
 1.330000E+02 0 0
 1.335000E+02 0 0
 1.340000E+02 0 0
 1.345000E+02 0 0
 1.350000E+02 0 0
 1.355000E+02 0 0
 1.360000E+02 0 0
 1.365000E+02 0 0
 1.370000E+02 0 0
 1.375000E+02 0 0
 1.380000E+02 0 0
 1.385000E+02 0 0
 1.390000E+02 0 0
 1.395000E+02 0 0
 1.400000E+02 0 0
 1.405000E+02 0 0
 1.410000E+02 0 0
 1.415000E+02 0 0
 1.420000E+02 0 0
 1.425000E+02 0 0
 1.430000E+02 0 0
 1.435000E+02 0 0
 1.440000E+02 0 0
 1.445000E+02 0 0
 1.450000E+02 0 0
 1.455000E+02 0 0
 1.460000E+02 0 0
 1.465000E+02 0 0
 1.470000E+02 0 0
 1.475000E+02 0 0
 1.480000E+02 0 0
 1.485000E+02 0 0
 1.490000E+02 0 0
 1.495000E+02 0 0
 1.500000E+02 0 0
 1.505000E+02 0 0
 1.510000E+02 0 0
 1.515000E+02 0 0
 1.520000E+02 0 0
 1.525000E+02 0 0
 1.530000E+02 0 0
 1.535000E+02 0 0
 1.540000E+02 0 0
 1.545000E+02 0 0
 1.550000E+02 0 0
 1.555000E+02 0 0
 1.560000E+02 0 0
 1.565000E+02 0 0
 1.570000E+02 0 0
 1.575000E+02 0 0
 1.580000E+02 0 0
 1.585000E+02 0 0
 1.590000E+02 0 0
 1.595000E+02 0 0
 1.600000E+02 0 0
 1.605000E+02 0 0
 1.610000E+02 0 0
 1.615000E+02 0 0
 1.620000E+02 0 0
 1.625000E+02 0 0
 1.630000E+02 0 0
 1.635000E+02 0 0
 1.640000E+02 0 0
 1.645000E+02 0 0
 1.650000E+02 0 0
 1.655000E+02 0 0
 1.660000E+02 0 0
 1.665000E+02 0 0
 1.670000E+02 0 0
 1.675000E+02 0 0
 1.680000E+02 0 0
 1.685000E+02 0 0
 1.690000E+02 0 0
 1.695000E+02 0 0
 1.700000E+02 0 0
 1.705000E+02 0 0
 1.710000E+02 0 0
 1.715000E+02 0 0
 1.720000E+02 0 0
 1.725000E+02 0 0
 1.730000E+02 0 0
 1.735000E+02 0 0
 1.740000E+02 0 0
 1.745000E+02 0 0
 1.750000E+02 0 0
 1.755000E+02 0 0
 1.760000E+02 0 0
 1.765000E+02 0 0
 1.770000E+02 0 0
 1.775000E+02 0 0
 1.780000E+02 0 0
 1.785000E+02 0 0
 1.790000E+02 0 0
 1.795000E+02 0 0
 1.800000E+02 0 0
 1.805000E+02 0 0
 1.810000E+02 0 0
 1.815000E+02 0 0
 1.820000E+02 0 0
 1.825000E+02 0 0
 1.830000E+02 0 0
 1.835000E+02 0 0
 1.840000E+02 0 0
 1.845000E+02 0 0
 1.850000E+02 0 0
 1.855000E+02 0 0
 1.860000E+02 0 0
 1.865000E+02 0 0
 1.870000E+02 0 0
 1.875000E+02 0 0
 1.880000E+02 0 0
 1.885000E+02 0 0
 1.890000E+02 0 0
 1.895000E+02 0 0
 1.900000E+02 0 0
 1.905000E+02 0 0
 1.910000E+02 0 0
 1.915000E+02 0 0
 1.920000E+02 0 0
 1.925000E+02 0 0
 1.930000E+02 0 0
 1.935000E+02 0 0
 1.940000E+02 0 0
 1.945000E+02 0 0
 1.950000E+02 0 0
 1.955000E+02 0 0
 1.960000E+02 0 0
 1.965000E+02 0 0
 1.970000E+02 0 0
 1.975000E+02 0 0
 1.980000E+02 0 0
 1.985000E+02 0 0
 1.990000E+02 0 0
 1.995000E+02 0 0
 2.000000E+02 0 0
 2.005000E+02 71 3955
 2.010000E+02 77 3923
 2.015000E+02 59 3875
 2.020000E+02 77 3825
 2.025000E+02 65 3761
 2.030000E+02 78 3703
 2.035000E+02 59 3651
 2.040000E+02 71 3582
 2.045000E+02 72 3539
 2.050000E+02 67 3479
 2.055000E+02 62 3404
 2.060000E+02 78 3340
 2.065000E+02 71 3298
 2.070000E+02 74 3246
 2.075000E+02 79 3193
 2.080000E+02 83 3134
 2.085000E+02 71 3073
 2.090000E+02 70 3010
 2.095000E+02 50 2950
 2.100000E+02 61 2888
 2.105000E+02 35 2831
 2.110000E+02 59 2778
 2.115000E+02 56 2726
 2.120000E+02 58 2677
 2.125000E+02 54 2638
 2.130000E+02 53 2601
 2.135000E+02 61 2556
 2.140000E+02 36 2498
 2.145000E+02 57 2450
 2.150000E+02 29 2411
 2.155000E+02 46 2366
 2.160000E+02 43 2319
 2.165000E+02 44 2283
 2.170000E+02 52 2248
 2.175000E+02 44 2207
 2.180000E+02 37 2166
 2.185000E+02 37 2119
 2.190000E+02 48 2079
 2.195000E+02 46 2047
 2.200000E+02 34 2009
 2.205000E+02 41 1980
 2.210000E+02 35 1942
 2.215000E+02 32 1902
 2.220000E+02 35 1859
 2.225000E+02 42 1818
 2.230000E+02 31 1791
 2.235000E+02 36 1761
 2.240000E+02 29 1724
 2.245000E+02 32 1690
 2.250000E+02 41 1664
 2.255000E+02 21 1636
 2.260000E+02 32 1601
 2.265000E+02 32 1567
 2.270000E+02 41 1546
 2.275000E+02 31 1525
 2.280000E+02 22 1503
 2.285000E+02 25 1473
 2.290000E+02 28 1446
 2.295000E+02 22 1426
 2.300000E+02 34 1407
 2.305000E+02 21 1382
 2.310000E+02 30 1358
 2.315000E+02 28 1327
 2.320000E+02 36 1309
 2.325000E+02 27 1290
 2.330000E+02 23 1273
 2.335000E+02 31 1257
 2.340000E+02 25 1238
 2.345000E+02 23 1224
 2.350000E+02 18 1201
 2.355000E+02 9 1174
 2.360000E+02 20 1156
 2.365000E+02 26 1139
 2.370000E+02 17 1119
 2.375000E+02 15 1104
 2.380000E+02 17 1086
 2.385000E+02 10 1066
 2.390000E+02 17 1059
 2.395000E+02 23 1049
 2.400000E+02 17 1036
 2.405000E+02 18 1020
 2.410000E+02 13 1005
 2.415000E+02 15 983
 2.420000E+02 17 972
 2.425000E+02 12 959
 2.430000E+02 18 948
 2.435000E+02 18 936
 2.440000E+02 15 924
 2.445000E+02 16 905
 2.450000E+02 17 897
 2.455000E+02 14 881
 2.460000E+02 14 867
 2.465000E+02 15 860
 2.470000E+02 14 848
 2.475000E+02 12 836
 2.480000E+02 14 825
 2.485000E+02 10 811
 2.490000E+02 15 797
 2.495000E+02 16 789
 2.500000E+02 8 781
 2.505000E+02 10 775
 2.510000E+02 16 763
 2.515000E+02 9 749
 2.520000E+02 8 735
 2.525000E+02 13 727
 2.530000E+02 12 718
 2.535000E+02 9 714
 2.540000E+02 8 703
 2.545000E+02 12 694
 2.550000E+02 13 682
 2.555000E+02 14 670
 2.560000E+02 17 665
 2.565000E+02 9 658
 2.570000E+02 15 653
 2.575000E+02 10 649
 2.580000E+02 12 637
 2.585000E+02 12 627
 2.590000E+02 13 620
 2.595000E+02 7 615
 2.600000E+02 13 606
 2.605000E+02 10 597
 2.610000E+02 12 592
 2.615000E+02 11 586
 2.620000E+02 10 577
 2.625000E+02 14 573
 2.630000E+02 7 569
 2.635000E+02 9 564
 2.640000E+02 8 560
 2.645000E+02 10 552
 2.650000E+02 7 547
 2.655000E+02 7 541
 2.660000E+02 4 537
 2.665000E+02 6 534
 2.670000E+02 6 524
 2.675000E+02 8 521
 2.680000E+02 3 516
 2.685000E+02 6 509
 2.690000E+02 8 506
 2.695000E+02 8 498
 2.700000E+02 7 493
 2.705000E+02 5 485
 2.710000E+02 6 480
 2.715000E+02 11 473
 2.720000E+02 6 468
 2.725000E+02 6 465
 2.730000E+02 7 462
 2.735000E+02 6 459
 2.740000E+02 8 452
 2.745000E+02 7 445
 2.750000E+02 6 441
 2.755000E+02 4 435
 2.760000E+02 6 430
 2.765000E+02 4 420
 2.770000E+02 5 411
 2.775000E+02 5 409
 2.780000E+02 4 405
 2.785000E+02 7 400
 2.790000E+02 6 399
 2.795000E+02 9 395
 2.800000E+02 9 390
 2.805000E+02 9 384
 2.810000E+02 8 380
 2.815000E+02 3 374
 2.820000E+02 5 372
 2.825000E+02 7 368
 2.830000E+02 9 368
 2.835000E+02 7 366
 2.840000E+02 4 363
 2.845000E+02 8 360
 2.850000E+02 4 357
 2.855000E+02 6 356
 2.860000E+02 7 353
 2.865000E+02 8 353
 2.870000E+02 2 346
 2.875000E+02 3 342
 2.880000E+02 3 338
 2.885000E+02 5 334
 2.890000E+02 4 332
 2.895000E+02 3 326
 2.900000E+02 4 323
 2.905000E+02 5 320
 2.910000E+02 4 316
 2.915000E+02 2 312
 2.920000E+02 4 309
 2.925000E+02 3 303
 2.930000E+02 3 300
 2.935000E+02 3 296
 2.940000E+02 1 295
 2.945000E+02 4 289
 2.950000E+02 2 284
 2.955000E+02 3 282
 2.960000E+02 7 281
 2.965000E+02 2 279
 2.970000E+02 6 277
 2.975000E+02 5 275
 2.980000E+02 4 273
 2.985000E+02 3 272
 2.990000E+02 1 269
 2.995000E+02 2 268
 3.000000E+02 6 267
 3.005000E+02 2 265
 3.010000E+02 6 261
 3.015000E+02 4 260
 3.020000E+02 2 259
 3.025000E+02 1 256
 3.030000E+02 3 253
 3.035000E+02 5 250
 3.040000E+02 4 249
 3.045000E+02 2 249
 3.050000E+02 4 246
 3.055000E+02 5 246
 3.060000E+02 4 245
 3.065000E+02 1 244
 3.070000E+02 4 242
 3.075000E+02 2 241
 3.080000E+02 2 238
 3.085000E+02 3 235
 3.090000E+02 4 233
 3.095000E+02 3 231
 3.100000E+02 4 229
 3.105000E+02 1 228
 3.110000E+02 2 227
 3.115000E+02 5 225
 3.120000E+02 2 222
 3.125000E+02 2 219
 3.130000E+02 0 217
 3.135000E+02 3 216
 3.140000E+02 3 214
 3.145000E+02 1 210
 3.150000E+02 4 209
 3.155000E+02 1 209
 3.160000E+02 0 208
 3.165000E+02 0 208
 3.170000E+02 1 207
 3.175000E+02 1 207
 3.180000E+02 1 207
 3.185000E+02 1 207
 3.190000E+02 1 204
 3.195000E+02 3 200
 3.200000E+02 1 200
 3.205000E+02 3 198
 3.210000E+02 0 197
 3.215000E+02 1 196
 3.220000E+02 1 196
 3.225000E+02 2 195
 3.230000E+02 3 194
 3.235000E+02 2 193
 3.240000E+02 2 192
 3.245000E+02 1 190
 3.250000E+02 0 189
 3.255000E+02 1 188
 3.260000E+02 2 187
 3.265000E+02 1 184
 3.270000E+02 2 183
 3.275000E+02 1 182
 3.280000E+02 1 182
 3.285000E+02 1 182
 3.290000E+02 4 182
 3.295000E+02 0 182
 3.300000E+02 0 179
 3.305000E+02 2 178
 3.310000E+02 3 178
 3.315000E+02 2 178
 3.320000E+02 2 178
 3.325000E+02 1 177
 3.330000E+02 0 175
 3.335000E+02 2 175
 3.340000E+02 0 175
 3.345000E+02 0 174
 3.350000E+02 0 173
 3.355000E+02 1 170
 3.360000E+02 1 169
 3.365000E+02 3 167
 3.370000E+02 2 165
 3.375000E+02 2 165
 3.380000E+02 3 165
 3.385000E+02 0 165
 3.390000E+02 2 165
 3.395000E+02 0 164
 3.400000E+02 1 164
 3.405000E+02 1 163
 3.410000E+02 2 162
 3.415000E+02 1 162
 3.420000E+02 0 161
 3.425000E+02 1 161
 3.430000E+02 0 161
 3.435000E+02 1 160
 3.440000E+02 1 159
 3.445000E+02 1 157
 3.450000E+02 1 157
 3.455000E+02 0 157
 3.460000E+02 0 157
 3.465000E+02 1 157
 3.470000E+02 1 157
 3.475000E+02 1 156
 3.480000E+02 2 156
 3.485000E+02 0 156
 3.490000E+02 1 156
 3.495000E+02 0 156
 3.500000E+02 2 156
 3.505000E+02 1 156
 3.510000E+02 1 156
 3.515000E+02 1 155
 3.520000E+02 2 155
 3.525000E+02 2 153
 3.530000E+02 0 152
 3.535000E+02 1 152
 3.540000E+02 1 152
 3.545000E+02 2 150
 3.550000E+02 1 149
